oa_code,All people,Very good health,Good health,Fair health,Bad health,Very bad health
S00099558,127,85,33,7,2,-
S00099559,111,69,33,8,1,-
S00099560,109,71,30,5,3,-
S00099561,68,30,15,13,9,1
S00099562,75,44,20,7,2,2
S00099563,104,65,35,4,-,-
S00099564,91,40,38,8,2,3
S00099565,82,55,17,4,4,2
S00099566,63,40,18,4,1,-
S00099567,487,327,134,24,2,-
S00099568,136,87,45,4,-,-
S00099569,549,403,125,17,-,4
S00099570,100,65,30,4,1,-
S00099571,109,67,33,4,4,1
S00099572,152,109,36,5,2,-
S00099573,84,64,15,5,-,-
S00099574,74,39,17,14,3,1
S00099575,143,99,34,9,1,-
S00099576,130,92,32,5,-,1
S00099577,64,45,15,3,1,-
S00099578,114,69,32,9,2,2
S00099579,112,86,21,3,2,-
S00099580,120,72,32,11,5,-
S00099581,126,76,40,5,4,1
S00099582,75,57,15,1,2,-
S00099583,54,27,16,6,5,-
S00099584,80,29,29,16,5,1
S00099585,137,89,40,7,1,-
S00099586,117,72,38,7,-,-
S00099587,145,111,26,7,1,-
S00099588,185,139,35,9,1,1
S00099589,140,32,29,67,9,3
S00099590,109,34,34,24,16,1
S00099591,59,31,19,5,4,-
S00099592,91,45,26,11,9,-
S00099593,143,74,38,17,8,6
S00099594,80,50,22,6,2,-
S00099595,68,17,19,19,10,3
S00099596,64,8,9,25,13,9
S00099597,72,22,17,20,11,2
S00099598,115,32,47,25,10,1
S00099599,78,35,17,16,7,3
S00099600,67,34,18,9,4,2
S00099601,112,52,36,16,7,1
S00099602,79,33,27,14,4,1
S00099603,86,50,23,9,3,1
S00099604,56,10,14,19,9,4
S00099605,75,27,31,9,7,1
S00099606,85,28,18,32,4,3
S00099607,67,35,20,10,2,-
S00099608,150,72,49,17,8,4
S00099609,125,58,30,23,14,-
S00099610,88,56,21,8,2,1
S00099611,76,26,25,15,6,4
S00099612,65,21,13,16,9,6
S00099613,121,52,42,18,6,3
S00099614,82,27,30,12,11,2
S00099615,51,19,16,10,3,3
S00099616,67,23,18,22,4,-
S00099617,86,34,36,10,4,2
S00099618,61,22,15,15,7,2
S00099619,163,71,57,25,9,1
S00099620,120,46,27,29,13,5
S00099621,79,39,24,8,6,2
S00099622,133,79,35,11,2,6
S00099623,91,69,17,3,2,-
S00099624,59,32,14,7,3,3
S00099625,91,48,31,8,3,1
S00099626,70,34,26,7,3,-
S00099627,59,24,30,2,3,-
S00099628,166,98,47,17,3,1
S00099629,110,52,27,23,7,1
S00099630,59,22,17,13,3,4
S00099631,80,37,23,15,5,-
S00099632,52,29,19,3,1,-
S00099633,80,47,19,11,3,-
S00099634,112,57,22,20,6,7
S00099635,56,24,16,7,6,3
S00099636,91,44,32,10,2,3
S00099637,59,14,23,10,8,4
S00099638,66,21,22,14,6,3
S00099639,66,26,25,13,2,-
S00099640,98,28,26,27,12,5
S00099641,119,34,33,28,21,3
S00099642,141,73,45,16,4,3
S00099643,55,28,20,3,2,2
S00099644,108,64,31,11,2,-
S00099645,105,62,30,9,3,1
S00099646,94,48,33,9,3,1
S00099647,87,50,25,5,7,-
S00099648,74,53,17,4,-,-
S00099649,133,72,40,15,5,1
S00099650,123,69,38,9,7,-
S00099651,136,79,37,10,9,1
S00099652,92,39,26,18,9,-
S00099653,83,47,24,12,-,-
S00099654,130,52,47,14,14,3
S00099655,85,38,26,16,5,-
S00099656,114,62,30,15,3,4
S00099657,78,45,28,5,-,-
S00099658,78,47,21,9,1,-
S00099659,101,63,28,8,2,-
S00099660,115,67,29,10,6,3
S00099661,97,53,35,7,1,1
S00099662,98,65,21,8,4,-
S00099663,83,46,30,3,1,3
S00099664,94,53,31,8,2,-
S00099665,114,50,40,20,2,2
S00099666,58,16,22,14,3,3
S00099667,79,22,31,19,6,1
S00099668,87,51,17,7,7,5
S00099669,139,92,38,7,2,-
S00099670,127,77,34,13,3,-
S00099671,125,83,31,6,5,-
S00099672,82,37,35,6,2,2
S00099673,102,51,24,16,7,4
S00099674,113,45,49,10,7,2
S00099675,127,90,30,6,1,-
S00099676,131,94,26,8,3,-
S00099677,71,45,13,7,2,4
S00099678,54,28,13,12,-,1
S00099679,105,54,32,15,3,1
S00099680,70,40,18,3,7,2
S00099681,137,95,29,11,2,-
S00099682,169,106,42,14,6,1
S00099683,111,83,21,6,-,1
S00099684,166,117,38,7,3,1
S00099685,82,55,19,7,1,-
S00099686,106,60,30,12,3,1
S00099687,148,86,42,10,7,3
S00099688,75,40,29,4,1,1
S00099689,206,124,52,19,8,3
S00099690,166,105,51,8,-,2
S00099691,123,64,23,24,6,6
S00099692,120,57,43,11,7,2
S00099693,119,78,21,12,7,1
S00099694,74,28,19,11,10,6
S00099695,180,110,42,17,3,8
S00099696,102,46,32,15,6,3
S00099697,103,53,23,17,9,1
S00099698,157,95,41,15,4,2
S00099699,147,101,26,14,2,4
S00099700,141,89,44,6,1,1
S00099701,93,45,31,12,5,-
S00099702,126,68,43,7,7,1
S00099703,149,90,48,7,4,-
S00099704,95,50,33,11,-,1
S00099705,91,53,22,14,1,1
S00099706,159,100,40,16,2,1
S00099707,62,28,19,10,5,-
S00099708,130,60,45,23,-,2
S00099709,129,59,41,23,4,2
S00099710,70,19,26,19,4,2
S00099711,108,64,25,15,2,2
S00099712,100,56,31,11,2,-
S00099713,53,19,23,7,4,-
S00099714,92,38,35,17,1,1
S00099715,60,33,18,4,4,1
S00099716,79,51,23,5,-,-
S00099717,88,51,29,8,-,-
S00099718,71,25,26,15,4,1
S00099719,100,62,25,10,2,1
S00099720,73,40,22,10,1,-
S00099721,74,21,21,18,11,3
S00099722,151,96,42,12,-,1
S00099723,64,38,18,5,3,-
S00099724,113,71,33,5,3,1
S00099725,92,61,21,9,1,-
S00099726,60,25,21,8,4,2
S00099727,116,45,41,22,6,2
S00099728,155,103,35,12,4,1
S00099729,80,45,22,9,3,1
S00099730,67,45,15,5,2,-
S00099731,109,69,33,7,-,-
S00099732,161,84,58,10,7,2
S00099733,69,40,20,5,4,-
S00099734,120,67,36,11,3,3
S00099735,62,31,19,10,1,1
S00099736,190,121,50,14,-,5
S00099737,120,63,38,13,5,1
S00099738,80,26,39,11,3,1
S00099739,126,70,39,15,2,-
S00099740,129,38,39,31,17,4
S00099741,122,77,31,13,1,-
S00099742,128,98,27,1,2,-
S00099743,185,149,33,2,1,-
S00099744,152,117,30,2,2,1
S00099745,152,120,27,4,1,-
S00099746,165,111,35,13,4,2
S00099747,177,54,30,44,34,15
S00099748,122,87,26,9,-,-
S00099749,163,131,29,3,-,-
S00099750,133,82,41,9,1,-
S00099751,136,81,45,4,5,1
S00099752,108,77,21,7,2,1
S00099753,91,43,39,5,3,1
S00099754,73,47,23,2,1,-
S00099755,213,122,62,19,9,1
S00099756,95,57,29,4,5,-
S00099757,214,119,50,28,14,3
S00099758,59,20,20,13,6,-
S00099759,179,69,63,28,10,9
S00099760,119,43,32,19,19,6
S00099761,69,24,26,13,2,4
S00099762,64,29,25,8,-,2
S00099763,118,50,48,14,6,-
S00099764,137,52,47,29,7,2
S00099765,126,48,47,27,3,1
S00099766,97,34,35,18,9,1
S00099767,126,77,33,13,3,-
S00099768,123,78,36,6,3,-
S00099769,139,85,43,9,2,-
S00099770,134,75,41,13,4,1
S00099771,99,34,40,15,8,2
S00099772,67,18,15,16,15,3
S00099773,94,23,29,25,14,3
S00099774,57,31,21,4,1,-
S00099775,115,66,33,11,5,-
S00099776,84,44,33,4,1,2
S00099777,130,75,34,10,6,5
S00099778,155,72,44,23,9,7
S00099779,221,164,48,9,-,-
S00099780,93,50,27,11,3,2
S00099781,201,151,36,9,5,-
S00099782,"1,124",725,335,57,6,1
S00099783,79,48,20,7,2,2
S00099784,69,49,14,5,-,1
S00099785,147,83,40,15,7,2
S00099786,221,83,99,32,5,2
S00099787,138,63,43,16,13,3
S00099788,143,76,50,8,9,-
S00099789,135,77,38,19,1,-
S00099790,180,91,57,21,8,3
S00099791,109,76,22,10,1,-
S00099792,89,62,17,8,2,-
S00099793,93,53,27,8,4,1
S00099794,114,34,40,24,8,8
S00099795,75,29,24,15,5,2
S00099796,132,58,35,18,21,-
S00099797,86,43,29,10,3,1
S00099798,90,54,24,9,2,1
S00099799,209,80,54,45,24,6
S00099800,117,57,35,10,9,6
S00099801,165,87,58,15,5,-
S00099802,111,59,34,11,7,-
S00099803,198,142,42,12,1,1
S00099804,148,71,52,21,3,1
S00099805,142,100,30,10,2,-
S00099806,154,88,47,15,3,1
S00099807,90,46,30,9,5,-
S00099808,61,35,14,4,4,4
S00099809,140,87,36,9,5,3
S00099810,81,37,24,10,9,1
S00099811,135,70,48,12,4,1
S00099812,81,55,18,6,2,-
S00099813,142,74,42,16,8,2
S00099814,95,56,23,13,2,1
S00099815,161,92,35,29,3,2
S00099816,90,40,41,7,2,-
S00099817,82,33,25,13,10,1
S00099818,103,48,32,17,5,1
S00099819,94,63,25,3,2,1
S00099820,115,67,34,11,3,-
S00099821,191,130,50,8,2,1
S00099822,64,27,22,8,5,2
S00099823,150,73,42,28,4,3
S00099824,191,59,52,46,26,8
S00099825,56,26,21,5,4,-
S00099826,144,94,42,7,1,-
S00099827,170,121,37,11,1,-
S00099828,139,105,23,10,1,-
S00099829,104,78,23,1,1,1
S00099830,231,156,58,15,1,1
S00099831,150,95,42,12,1,-
S00099832,193,138,43,10,2,-
S00099833,85,57,24,3,1,-
S00099834,100,67,28,3,1,1
S00099835,129,91,29,7,2,-
S00099836,108,67,27,11,3,-
S00099837,194,140,47,5,1,1
S00099838,148,105,36,5,2,-
S00099839,127,88,30,4,4,1
S00099840,103,75,22,2,4,-
S00099841,234,162,62,6,3,1
S00099842,111,59,28,14,9,1
S00099843,132,85,38,7,2,-
S00099844,144,101,34,7,1,1
S00099845,195,112,58,17,6,2
S00099846,82,54,21,6,-,1
S00099847,130,78,37,12,3,-
S00099848,118,75,31,5,6,1
S00099849,95,71,20,3,1,-
S00099850,79,37,28,9,2,3
S00099851,89,67,15,4,3,-
S00099852,104,49,35,14,5,1
S00099853,215,108,62,31,11,3
S00099854,63,33,20,7,3,-
S00099855,107,57,37,9,2,2
S00099856,60,32,19,3,3,3
S00099857,74,48,19,4,2,1
S00099858,101,56,29,12,3,1
S00099859,128,85,29,12,2,-
S00099860,121,62,34,20,5,-
S00099861,108,54,39,7,6,2
S00099862,89,48,32,6,1,2
S00099863,123,76,32,14,1,-
S00099864,52,23,13,9,6,1
S00099865,177,77,52,25,16,7
S00099866,136,54,30,31,15,6
S00099867,66,25,24,8,5,4
S00099868,151,67,54,19,7,4
S00099869,82,38,24,13,4,3
S00099870,94,38,31,17,5,3
S00099871,118,38,34,25,15,6
S00099872,99,33,37,15,13,1
S00099873,90,30,29,15,12,4
S00099874,132,57,45,16,11,3
S00099875,172,90,43,26,9,4
S00099876,148,59,43,30,13,3
S00099877,120,43,43,21,10,3
S00099878,116,44,37,21,11,3
S00099879,128,44,34,32,13,5
S00099880,128,52,29,30,10,7
S00099881,102,36,34,21,8,3
S00099882,129,60,38,18,6,7
S00099883,139,79,25,24,10,1
S00099884,140,67,33,20,17,3
S00099885,95,54,21,17,3,-
S00099886,82,39,27,9,5,2
S00099887,136,49,48,22,9,8
S00099888,119,49,26,27,12,5
S00099889,110,53,32,15,8,2
S00099890,111,46,31,22,10,2
S00099891,146,64,42,19,18,3
S00099892,110,46,37,19,5,3
S00099893,77,33,23,13,8,-
S00099894,77,18,33,19,6,1
S00099895,57,18,16,12,9,2
S00099896,99,41,28,16,11,3
S00099897,114,49,36,19,6,4
S00099898,119,50,38,17,11,3
S00099899,70,25,29,15,1,-
S00099900,113,45,34,25,8,1
S00099901,134,67,31,20,12,4
S00099902,92,34,27,24,1,6
S00099903,93,37,35,12,7,2
S00099904,68,29,16,15,7,1
S00099905,87,39,26,15,5,2
S00099906,94,36,33,18,6,1
S00099907,108,46,40,10,9,3
S00099908,71,15,25,21,7,3
S00099909,54,22,16,12,3,1
S00099910,91,30,28,25,6,2
S00099911,77,18,28,16,13,2
S00099912,92,25,27,24,11,5
S00099913,70,17,15,18,14,6
S00099914,105,44,25,25,10,1
S00099915,141,79,33,19,7,3
S00099916,100,35,30,22,11,2
S00099917,101,25,32,32,6,6
S00099918,129,54,39,27,7,2
S00099919,94,38,42,8,4,2
S00099920,100,60,27,10,2,1
S00099921,91,56,22,9,3,1
S00099922,103,45,29,17,9,3
S00099923,138,50,59,20,7,2
S00099924,74,22,29,16,5,2
S00099925,212,132,57,18,3,2
S00099926,136,72,38,17,5,4
S00099927,154,74,45,27,4,4
S00099928,84,32,29,13,5,5
S00099929,146,87,37,17,3,2
S00099930,203,122,50,22,6,3
S00099931,107,50,33,15,6,3
S00099932,139,80,25,21,12,1
S00099933,96,42,29,16,7,2
S00099934,170,72,51,33,12,2
S00099935,165,63,55,32,12,3
S00099936,86,27,20,24,9,6
S00099937,70,26,23,17,2,2
S00099938,134,63,42,13,15,1
S00099939,112,55,33,16,6,2
S00099940,122,63,30,20,4,5
S00099941,161,87,45,23,5,1
S00099942,115,63,29,13,8,2
S00099943,116,60,32,15,8,1
S00099944,118,59,38,17,3,1
S00099945,105,51,36,9,9,-
S00099946,132,61,35,22,12,2
S00099947,94,39,30,17,6,2
S00099948,107,49,26,20,9,3
S00099949,83,27,22,25,7,2
S00099950,138,62,39,27,7,3
S00099951,108,55,35,9,9,-
S00099952,135,51,38,25,18,3
S00099953,161,60,45,41,12,3
S00099954,108,47,32,24,5,-
S00099955,89,45,37,4,2,1
S00099956,55,19,19,14,2,1
S00099957,83,32,29,11,7,4
S00099958,135,72,46,10,6,1
S00099959,126,54,41,21,7,3
S00099960,90,34,35,15,5,1
S00099961,139,76,40,12,9,2
S00099962,153,72,38,21,18,4
S00099963,113,43,43,21,4,2
S00099964,126,62,43,14,6,1
S00099965,79,31,22,17,6,3
S00099966,107,61,33,10,2,1
S00099967,115,60,26,17,9,3
S00099968,136,58,42,26,8,2
S00099969,112,44,48,14,5,1
S00099970,183,78,41,30,17,17
S00099971,142,52,47,27,15,1
S00099972,147,74,31,23,16,3
S00099973,97,51,31,11,3,1
S00099974,73,36,18,11,5,3
S00099975,106,37,43,14,10,2
S00099976,105,61,20,16,6,2
S00099977,109,42,40,16,7,4
S00099978,87,38,27,14,6,2
S00099979,102,40,36,14,8,4
S00099980,119,61,40,13,4,1
S00099981,84,18,33,21,8,4
S00099982,77,25,17,24,10,1
S00099983,71,19,20,21,5,6
S00099984,83,21,30,22,8,2
S00099985,83,39,21,15,6,2
S00099986,109,42,38,21,8,-
S00099987,81,32,23,16,8,2
S00099988,94,39,11,28,9,7
S00099989,124,75,38,7,2,2
S00099990,97,52,36,7,2,-
S00099991,117,50,41,21,4,1
S00099992,80,36,26,13,1,4
S00099993,208,133,53,16,4,2
S00099994,72,34,24,12,2,-
S00099995,162,91,50,14,6,1
S00099996,93,45,28,15,4,1
S00099997,180,98,43,27,11,1
S00099998,157,65,55,25,11,1
S00099999,121,59,41,11,7,3
S00100000,99,39,41,14,4,1
S00100001,135,62,39,23,10,1
S00100002,109,51,34,14,8,2
S00100003,126,56,32,21,17,-
S00100004,165,87,41,22,10,5
S00100005,102,43,31,20,5,3
S00100006,81,26,32,13,8,2
S00100007,170,74,65,23,5,3
S00100008,119,68,24,13,10,4
S00100009,132,54,54,18,6,-
S00100010,135,56,45,22,9,3
S00100011,83,30,27,13,9,4
S00100012,103,38,38,17,9,1
S00100013,103,31,33,24,12,3
S00100014,87,50,23,10,4,-
S00100015,60,26,20,10,1,3
S00100016,108,45,35,14,12,2
S00100017,74,40,23,9,1,1
S00100018,153,85,36,22,9,1
S00100019,103,54,27,15,4,3
S00100020,136,69,28,25,11,3
S00100021,133,77,41,9,4,2
S00100022,117,64,29,19,5,-
S00100023,154,92,46,15,1,-
S00100024,118,75,32,10,1,-
S00100025,130,65,44,13,7,1
S00100026,122,63,33,20,6,-
S00100027,113,47,31,20,10,5
S00100028,120,46,42,12,20,-
S00100029,93,38,27,18,7,3
S00100030,117,66,25,16,7,3
S00100031,100,38,28,19,9,6
S00100032,130,62,39,15,13,1
S00100033,128,59,38,21,7,3
S00100034,109,30,38,27,7,7
S00100035,106,27,46,23,7,3
S00100036,89,34,34,14,6,1
S00100037,163,101,38,14,9,1
S00100038,60,19,23,7,9,2
S00100039,104,44,27,25,6,2
S00100040,109,41,30,25,11,2
S00100041,168,71,59,26,9,3
S00100042,69,31,21,13,4,-
S00100043,95,33,31,25,5,1
S00100044,121,69,28,15,7,2
S00100045,106,57,26,12,10,1
S00100046,94,49,22,15,6,2
S00100047,75,22,27,13,11,2
S00100048,87,41,15,17,11,3
S00100049,107,35,39,18,14,1
S00100050,59,11,21,14,12,1
S00100051,142,52,51,21,13,5
S00100052,128,34,34,41,17,2
S00100053,72,32,23,11,3,3
S00100054,100,43,29,24,3,1
S00100055,115,51,44,15,4,1
S00100056,80,33,21,19,6,1
S00100057,66,38,13,11,3,1
S00100058,123,59,48,13,2,1
S00100059,151,75,37,25,11,3
S00100060,92,49,26,14,3,-
S00100061,111,67,28,10,6,-
S00100062,118,53,43,13,6,3
S00100063,106,48,27,21,5,5
S00100064,104,44,35,18,4,3
S00100065,167,93,50,14,9,1
S00100066,99,30,39,19,9,2
S00100067,84,31,29,17,6,1
S00100068,87,27,31,20,8,1
S00100069,138,54,46,22,14,2
S00100070,87,36,30,11,5,5
S00100071,112,42,34,19,8,9
S00100072,125,55,25,33,11,1
S00100073,126,52,38,18,12,6
S00100074,160,93,46,14,7,-
S00100075,83,37,20,15,10,1
S00100076,81,40,27,10,3,1
S00100077,125,85,25,11,4,-
S00100078,128,66,45,14,2,1
S00100079,84,32,29,19,4,-
S00100080,84,51,19,10,3,1
S00100081,139,61,44,17,11,6
S00100082,131,52,41,25,13,-
S00100083,137,73,35,20,7,2
S00100084,156,71,62,16,6,1
S00100085,134,65,48,15,6,-
S00100086,140,61,55,18,6,-
S00100087,152,62,55,26,3,6
S00100088,122,71,43,7,1,-
S00100089,122,58,39,14,7,4
S00100090,105,37,37,18,9,4
S00100091,92,37,35,18,2,-
S00100092,167,81,57,21,6,2
S00100093,96,59,18,11,8,-
S00100094,124,49,30,30,11,4
S00100095,115,42,37,18,14,4
S00100096,116,56,35,16,8,1
S00100097,98,43,22,22,10,1
S00100098,104,51,23,18,10,2
S00100099,143,62,36,25,13,7
S00100100,93,37,27,20,9,-
S00100101,90,36,23,19,8,4
S00100102,89,32,24,19,11,3
S00100103,61,16,19,21,3,2
S00100104,124,63,37,16,6,2
S00100105,122,57,29,20,12,4
S00100106,137,45,44,33,12,3
S00100107,202,134,54,13,1,-
S00100108,136,78,34,18,6,-
S00100109,187,124,55,7,1,-
S00100110,104,55,30,15,3,1
S00100111,99,48,31,16,3,1
S00100112,129,51,53,18,6,1
S00100113,116,60,40,14,1,1
S00100114,93,52,34,7,-,-
S00100115,93,44,33,11,4,1
S00100116,101,63,22,16,-,-
S00100117,134,81,44,7,2,-
S00100118,102,54,38,9,1,-
S00100119,103,57,27,12,6,1
S00100120,126,74,29,18,4,1
S00100121,116,70,36,9,1,-
S00100122,92,65,19,7,1,-
S00100123,69,34,24,5,4,2
S00100124,121,76,28,15,2,-
S00100125,129,88,26,11,4,-
S00100126,66,28,21,13,4,-
S00100127,53,27,18,7,-,1
S00100128,109,58,30,18,3,-
S00100129,130,68,47,14,1,-
S00100130,87,45,27,11,3,1
S00100131,113,73,25,12,2,1
S00100132,72,49,12,8,2,1
S00100133,57,33,22,2,-,-
S00100134,93,54,29,9,1,-
S00100135,75,50,14,8,2,1
S00100136,83,26,31,19,4,3
S00100137,120,54,47,17,1,1
S00100138,165,97,41,25,2,-
S00100139,118,41,40,23,11,3
S00100140,131,56,38,26,7,4
S00100141,78,36,29,12,1,-
S00100142,96,49,23,13,9,2
S00100143,71,30,22,12,4,3
S00100144,110,46,35,20,7,2
S00100145,101,42,39,13,3,4
S00100146,76,29,25,14,6,2
S00100147,118,58,42,11,6,1
S00100148,62,32,19,10,1,-
S00100149,105,46,40,17,2,-
S00100150,133,48,41,28,14,2
S00100151,146,83,42,17,2,2
S00100152,74,47,18,6,3,-
S00100153,105,41,34,18,9,3
S00100154,81,24,23,21,8,5
S00100155,118,67,33,15,3,-
S00100156,88,38,36,8,6,-
S00100157,65,27,21,14,2,1
S00100158,101,50,36,13,1,1
S00100159,124,50,40,22,8,4
S00100160,117,62,36,14,4,1
S00100161,61,33,18,8,2,-
S00100162,167,79,47,26,11,4
S00100163,180,95,42,42,-,1
S00100164,119,79,29,7,3,1
S00100165,123,68,38,13,3,1
S00100166,75,41,27,6,1,-
S00100167,100,8,29,38,19,6
S00100168,106,36,32,30,5,3
S00100169,105,46,34,16,4,5
S00100170,83,49,19,11,1,3
S00100171,72,20,24,14,13,1
S00100172,55,17,12,22,4,-
S00100173,69,18,26,15,9,1
S00100174,89,31,28,20,7,3
S00100175,55,21,15,12,7,-
S00100176,73,23,25,17,7,1
S00100177,95,67,20,5,2,1
S00100178,96,56,26,12,2,-
S00100179,68,28,22,10,6,2
S00100180,79,48,19,10,1,1
S00100181,65,30,27,8,-,-
S00100182,160,91,53,12,3,1
S00100183,107,59,34,10,4,-
S00100184,103,37,32,28,5,1
S00100185,110,51,35,14,7,3
S00100186,99,33,34,24,7,1
S00100187,108,44,42,13,8,1
S00100188,124,59,36,17,12,-
S00100189,152,67,50,24,8,3
S00100190,86,34,38,11,-,3
S00100191,87,44,17,14,7,5
S00100192,123,54,31,28,8,2
S00100193,132,67,37,22,4,2
S00100194,93,34,41,13,4,1
S00100195,149,62,35,36,12,4
S00100196,169,84,49,24,9,3
S00100197,97,49,25,15,7,1
S00100198,116,49,40,18,7,2
S00100199,109,54,30,15,7,3
S00100200,136,86,27,18,3,2
S00100201,99,41,40,16,1,1
S00100202,96,37,27,18,12,2
S00100203,115,43,33,24,13,2
S00100204,132,63,42,17,8,2
S00100205,109,40,43,15,9,2
S00100206,111,39,37,26,5,4
S00100207,92,40,29,15,7,1
S00100208,99,45,34,13,6,1
S00100209,174,87,57,21,7,2
S00100210,150,63,43,31,10,3
S00100211,147,64,51,18,10,4
S00100212,112,51,45,13,3,-
S00100213,101,48,27,19,6,1
S00100214,115,60,43,9,1,2
S00100215,100,42,35,15,5,3
S00100216,124,54,37,21,11,1
S00100217,103,41,36,20,5,1
S00100218,109,58,29,19,3,-
S00100219,63,34,23,5,1,-
S00100220,116,67,28,10,4,7
S00100221,150,78,48,16,4,4
S00100222,105,34,23,29,12,7
S00100223,139,83,41,11,3,1
S00100224,142,55,51,29,4,3
S00100225,130,67,41,14,5,3
S00100226,110,55,33,13,6,3
S00100227,108,51,34,14,8,1
S00100228,93,40,31,16,4,2
S00100229,193,117,55,12,6,3
S00100230,88,47,17,16,6,2
S00100231,98,35,36,19,5,3
S00100232,84,33,31,9,9,2
S00100233,102,43,25,23,7,4
S00100234,124,65,34,12,11,2
S00100235,123,65,29,21,5,3
S00100236,137,85,35,8,7,2
S00100237,117,65,27,14,9,2
S00100238,141,79,41,11,5,5
S00100239,122,63,30,21,7,1
S00100240,106,46,35,19,4,2
S00100241,176,78,58,22,11,7
S00100242,153,75,52,22,3,1
S00100243,111,42,37,16,8,8
S00100244,87,39,20,19,4,5
S00100245,98,34,27,23,13,1
S00100246,122,70,28,17,3,4
S00100247,89,30,28,19,8,4
S00100248,113,56,36,10,7,4
S00100249,140,70,41,19,6,4
S00100250,109,44,39,15,8,3
S00100251,113,44,48,13,7,1
S00100252,140,66,40,20,11,3
S00100253,114,59,35,17,3,-
S00100254,92,38,32,13,8,1
S00100255,125,55,40,20,6,4
S00100256,57,28,19,10,-,-
S00100257,117,59,24,22,8,4
S00100258,66,28,22,13,3,-
S00100259,121,59,50,10,1,1
S00100260,73,25,21,18,9,-
S00100261,71,30,26,11,3,1
S00100262,173,90,57,20,4,2
S00100263,116,56,41,14,4,1
S00100264,102,52,35,14,1,-
S00100265,78,54,20,2,2,-
S00100266,141,91,39,7,4,-
S00100267,51,27,16,5,3,-
S00100268,119,45,32,22,18,2
S00100269,122,50,32,22,7,11
S00100270,81,34,23,16,6,2
S00100271,94,40,32,12,6,4
S00100272,100,44,25,18,11,2
S00100273,73,41,17,10,2,3
S00100274,122,73,28,17,3,1
S00100275,80,39,19,13,6,3
S00100276,103,44,39,14,6,-
S00100277,52,18,21,8,5,-
S00100278,86,33,29,15,6,3
S00100279,68,19,21,20,6,2
S00100280,67,24,17,18,5,3
S00100281,101,28,41,17,12,3
S00100282,82,31,25,17,5,4
S00100283,114,40,37,23,12,2
S00100284,140,63,50,16,10,1
S00100285,51,19,13,10,5,4
S00100286,76,33,28,10,4,1
S00100287,64,14,18,20,10,2
S00100288,115,63,35,11,3,3
S00100289,97,52,26,15,3,1
S00100290,61,22,18,12,8,1
S00100291,73,46,19,6,2,-
S00100292,82,35,34,9,1,3
S00100293,67,19,24,12,10,2
S00100294,56,18,26,6,6,-
S00100295,176,79,51,24,15,7
S00100296,207,121,63,18,4,1
S00100297,169,69,56,19,19,6
S00100298,140,77,36,19,6,2
S00100299,78,34,19,16,6,3
S00100300,206,139,38,17,7,5
S00100301,151,68,55,19,6,3
S00100302,84,38,22,16,4,4
S00100303,126,67,36,15,5,3
S00100304,178,114,46,13,5,-
S00100305,106,67,26,7,5,1
S00100306,147,94,35,15,2,1
S00100307,131,67,41,18,5,-
S00100308,142,70,48,13,9,2
S00100309,102,52,29,9,8,4
S00100310,111,50,47,10,4,-
S00100311,120,65,42,8,4,1
S00100312,114,61,37,14,2,-
S00100313,156,85,49,17,5,-
S00100314,136,80,33,18,5,-
S00100315,178,100,54,20,4,-
S00100316,107,49,43,9,4,2
S00100317,63,27,17,14,5,-
S00100318,109,52,35,10,11,1
S00100319,108,51,29,17,11,-
S00100320,96,41,32,15,7,1
S00100321,137,65,44,15,8,5
S00100322,157,71,45,24,13,4
S00100323,107,50,31,16,8,2
S00100324,179,74,59,26,14,6
S00100325,116,44,42,21,6,3
S00100326,121,44,41,20,13,3
S00100327,94,54,23,16,1,-
S00100328,103,25,23,36,13,6
S00100329,106,51,38,10,3,4
S00100330,84,41,24,15,2,2
S00100331,119,53,41,16,9,-
S00100332,125,44,39,31,9,2
S00100333,99,56,24,11,6,2
S00100334,165,93,43,11,17,1
S00100335,84,56,14,13,1,-
S00100336,131,74,36,12,8,1
S00100337,62,23,21,10,6,2
S00100338,69,32,29,7,1,-
S00100339,77,30,24,16,5,2
S00100340,114,55,38,14,5,2
S00100341,91,42,24,15,9,1
S00100342,145,83,38,20,4,-
S00100343,97,48,30,17,2,-
S00100344,119,73,34,9,3,-
S00100345,105,53,37,11,3,1
S00100346,113,68,42,2,1,-
S00100347,131,85,34,9,2,1
S00100348,97,54,27,13,2,1
S00100349,115,61,36,14,3,1
S00100350,53,31,20,1,1,-
S00100351,112,60,32,17,2,1
S00100352,99,57,29,7,5,1
S00100353,111,58,30,15,6,2
S00100354,84,38,25,17,4,-
S00100355,103,44,38,14,5,2
S00100356,88,42,26,14,4,2
S00100357,96,43,35,14,3,1
S00100358,145,80,44,13,5,3
S00100359,98,50,28,15,3,2
S00100360,133,71,38,18,5,1
S00100361,74,42,21,6,4,1
S00100362,56,33,14,8,-,1
S00100363,61,28,14,14,5,-
S00100364,80,36,25,10,7,2
S00100365,87,34,37,12,4,-
S00100366,115,49,41,20,4,1
S00100367,94,52,20,14,5,3
S00100368,91,47,21,20,3,-
S00100369,121,67,31,14,7,2
S00100370,106,49,41,12,4,-
S00100371,102,38,28,21,12,3
S00100372,79,33,29,11,2,4
S00100373,94,36,26,20,10,2
S00100374,147,84,38,21,4,-
S00100375,129,59,39,18,10,3
S00100376,101,42,37,16,6,-
S00100377,129,51,62,13,2,1
S00100378,99,47,33,14,3,2
