oa_code,All people,Church of Scotland,Roman Catholic,Other Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
S00106957,137,51,11,12,-,7,-,5,-,-,47,4
S00106958,71,35,5,1,-,-,-,-,-,2,28,-
S00106959,138,64,1,7,-,-,1,3,-,-,50,12
S00106960,108,27,11,7,-,-,-,8,-,-,52,3
S00106961,108,39,10,5,1,8,-,-,-,-,37,8
S00106962,111,29,19,11,4,-,-,1,-,3,38,6
S00106963,135,24,18,9,-,-,-,4,-,-,69,11
S00106964,82,13,15,5,-,-,-,1,-,-,41,7
S00106965,122,11,21,6,1,-,-,1,-,-,75,7
S00106966,116,21,20,5,-,-,-,8,-,-,54,8
S00106967,82,12,11,10,-,-,-,-,-,-,41,8
S00106968,174,31,26,13,-,-,1,-,-,1,97,5
S00106969,142,27,17,7,-,-,-,8,-,-,77,6
S00106970,191,17,37,9,-,-,-,17,-,2,96,13
S00106971,132,30,22,2,-,-,-,-,-,-,73,5
S00106972,123,27,15,4,-,-,-,10,1,-,61,5
S00106973,152,30,19,12,-,-,-,8,-,-,72,11
S00106974,131,17,30,6,-,-,-,2,-,-,70,6
S00106975,133,12,31,7,-,-,-,-,-,-,78,5
S00106976,121,40,11,13,-,-,-,1,-,1,49,6
S00106977,121,43,16,11,2,1,-,5,-,-,40,3
S00106978,101,47,8,4,-,-,-,6,-,-,29,7
S00106979,65,42,3,9,-,-,-,-,-,-,10,1
S00106980,120,44,12,4,-,-,-,6,-,-,48,6
S00106981,104,26,11,6,-,-,-,4,-,1,51,5
S00106982,58,20,5,2,-,-,-,-,-,-,23,8
S00106983,79,34,8,4,-,3,-,7,-,-,13,10
S00106984,103,25,9,10,-,-,-,3,-,-,51,5
S00106985,122,58,16,2,-,-,-,-,-,-,38,8
S00106986,80,28,16,7,-,-,-,1,-,-,17,11
S00106987,91,15,9,3,-,-,-,5,-,2,49,8
S00106988,91,24,7,4,-,-,-,2,-,-,41,13
S00106989,52,6,5,4,1,-,-,2,-,2,28,4
S00106990,54,19,6,5,-,-,-,1,-,2,17,4
S00106991,87,10,9,4,-,-,-,5,1,1,45,12
S00106992,132,20,20,7,1,-,-,8,-,1,65,10
S00106993,77,19,10,3,-,-,-,-,-,-,41,4
S00106994,90,31,15,7,-,-,-,-,-,-,33,4
S00106995,141,55,13,7,-,-,-,1,-,-,56,9
S00106996,136,34,20,10,-,-,-,5,3,1,58,5
S00106997,67,9,16,3,-,-,1,-,-,-,34,4
S00106998,64,13,8,2,-,-,-,-,-,-,37,4
S00106999,118,42,12,6,2,4,-,1,-,-,44,7
S00107000,64,8,8,9,-,-,-,-,-,-,38,1
S00107001,90,29,10,3,-,-,-,-,-,1,38,9
S00107002,87,19,15,4,-,-,-,6,-,-,36,7
S00107003,84,25,11,3,-,-,-,2,-,1,39,3
S00107004,100,13,18,3,-,-,-,5,-,4,49,8
S00107005,130,9,22,14,-,2,1,2,-,-,65,15
S00107006,100,11,12,4,2,-,-,5,-,-,59,7
S00107007,62,19,7,6,-,-,-,5,-,-,21,4
S00107008,162,19,33,12,-,2,-,9,1,1,66,19
S00107009,54,7,8,3,-,-,-,-,-,-,34,2
S00107010,95,9,16,5,-,4,1,9,-,-,43,8
S00107011,72,18,15,4,-,1,-,-,-,2,25,7
S00107012,58,10,6,5,-,-,-,1,-,1,28,7
S00107013,148,12,23,10,-,11,-,8,-,4,73,7
