oa_code,All people,Church of Scotland,Roman Catholic,Other Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
S92000003,"5,295,403","1,717,871","841,053","291,275","12,795","16,379","5,887","76,737","9,055","15,196","1,941,116","368,039"
S00088956,230,77,33,22,-,-,-,-,-,-,87,11
S00088957,66,30,3,7,1,-,-,3,-,-,21,1
S00088958,90,24,1,16,-,-,-,11,-,-,33,5
S00088959,83,15,7,5,-,-,-,-,-,-,46,10
S00088960,68,16,3,11,-,-,-,-,-,-,32,6
S00088961,217,38,14,54,-,-,-,1,-,2,60,48
S00088962,86,39,17,14,-,-,-,-,-,-,10,6
S00088963,89,27,4,7,-,-,-,-,-,-,42,9
S00088964,88,29,5,12,-,-,-,-,-,-,35,7
S00088965,144,55,1,7,-,-,-,-,-,-,65,16
S00088966,120,27,7,18,-,-,-,7,3,-,50,8
S00088967,52,36,1,-,-,-,-,-,-,-,14,1
S00088968,56,14,9,2,-,-,-,-,-,-,28,3
S00088969,154,58,5,2,-,-,-,8,-,1,56,24
S00088970,105,21,7,11,-,-,-,5,-,-,52,9
S00088971,78,16,8,3,-,2,-,-,-,2,43,4
S00088972,129,21,23,16,-,6,-,-,-,-,46,17
S00088973,144,32,14,8,4,2,-,8,-,1,61,14
S00088974,120,24,10,7,1,-,-,5,-,-,54,19
S00088975,77,6,10,10,-,-,-,1,-,-,47,3
S00088976,69,7,12,8,-,-,-,1,-,-,38,3
S00088977,60,2,-,4,1,4,-,4,-,-,43,2
S00088978,60,3,4,3,-,-,-,2,-,1,37,10
S00088979,85,7,13,9,1,4,-,1,-,1,43,6
S00088980,66,9,7,6,-,1,-,3,-,1,34,5
S00088981,57,3,9,3,1,-,-,1,-,1,34,5
S00088982,66,8,17,2,-,-,-,1,-,-,37,1
S00088983,65,23,5,4,-,1,-,-,-,-,26,6
S00088984,55,20,5,3,-,-,-,1,-,2,21,3
S00088985,80,6,13,10,-,-,-,6,-,-,37,8
S00088986,131,15,13,13,2,2,1,2,1,-,73,9
S00088987,63,5,7,5,-,3,-,-,1,-,38,4
S00088988,67,13,2,4,-,1,-,1,-,1,44,1
S00088989,95,7,20,5,-,9,-,-,-,-,48,6
S00088990,107,10,12,9,-,3,-,5,-,1,56,11
S00088991,127,12,15,5,-,23,-,10,-,-,56,6
S00088992,541,55,75,107,6,4,-,12,-,11,236,35
S00088993,123,16,15,9,-,4,-,16,-,-,60,3
S00088994,57,6,7,3,-,2,-,-,-,-,33,6
S00088995,62,5,7,1,2,2,-,4,-,1,36,4
S00088996,102,22,8,8,-,1,-,6,-,-,54,3
S00088997,152,34,13,11,-,1,1,-,-,-,71,21
S00088998,126,20,31,8,1,-,-,6,-,-,53,7
S00088999,123,40,13,8,-,2,-,3,-,-,39,18
S00089000,120,24,11,5,2,2,-,-,-,-,71,5
S00089001,115,39,13,5,1,-,2,-,-,-,51,4
S00089002,135,25,21,15,3,1,1,4,-,-,57,8
S00089003,118,19,6,4,1,-,-,5,2,-,58,23
S00089004,97,21,19,13,-,1,-,-,-,-,40,3
S00089005,133,30,9,6,-,-,-,-,-,2,80,6
S00089006,104,21,8,9,-,-,-,5,-,-,51,10
S00089007,122,24,15,13,1,-,-,1,-,-,64,4
S00089008,73,16,3,-,-,3,-,-,-,1,48,2
S00089009,106,14,8,16,-,-,-,-,-,1,62,5
S00089010,129,16,18,5,-,-,-,-,-,-,76,14
S00089011,155,18,27,15,-,6,-,7,-,1,68,13
S00089012,117,22,15,5,-,-,-,12,-,2,60,1
S00089013,69,12,7,5,-,-,-,1,-,-,40,4
S00089014,117,16,15,2,-,5,-,3,-,-,69,7
S00089015,93,7,13,11,-,3,-,3,-,1,46,9
S00089016,90,11,12,8,2,3,-,-,-,2,48,4
S00089017,83,11,7,7,1,2,-,6,-,-,45,4
S00089018,148,29,18,12,1,1,-,2,-,1,73,11
S00089019,134,23,20,8,-,-,1,-,-,2,78,2
S00089020,79,10,19,7,-,1,-,1,-,3,34,4
S00089021,83,22,5,5,-,-,-,-,-,-,46,5
S00089022,96,21,12,5,-,4,-,1,-,-,50,3
S00089023,99,27,8,8,-,-,-,6,-,3,44,3
S00089024,65,11,7,8,-,1,-,1,1,-,31,5
S00089025,63,9,5,2,1,-,-,-,-,-,41,5
S00089026,67,13,7,3,-,-,-,-,-,-,39,5
S00089027,107,14,12,7,1,3,-,-,-,1,63,6
S00089028,78,15,7,2,-,2,1,3,-,-,44,4
S00089029,82,10,6,4,-,-,-,-,-,-,60,2
S00089030,66,7,4,1,-,1,-,1,-,-,49,3
S00089031,143,17,23,19,1,-,1,2,-,-,70,10
S00089032,84,19,8,6,-,1,-,10,-,-,37,3
S00089033,95,17,18,4,-,1,-,-,1,1,45,8
S00089034,58,13,4,1,-,2,-,3,-,1,30,4
S00089035,106,18,13,22,-,-,-,1,-,-,46,6
S00089036,67,8,16,4,1,3,-,2,-,-,30,3
S00089037,87,18,9,9,-,3,-,-,-,-,43,5
S00089038,58,3,15,5,-,3,-,1,-,1,26,4
S00089039,80,9,13,4,-,-,-,2,-,-,51,1
S00089040,91,6,23,5,-,-,-,5,-,-,51,1
S00089041,225,85,4,12,2,-,-,8,-,1,93,20
S00089042,68,7,17,6,-,-,-,3,-,-,33,2
S00089043,148,16,23,12,2,-,-,3,-,-,86,6
S00089044,71,20,4,7,1,-,-,-,-,-,34,5
S00089045,73,17,5,3,-,-,-,-,-,-,43,5
S00089046,248,64,18,16,-,-,1,4,-,1,126,18
S00089047,110,23,19,-,1,-,-,4,-,-,47,16
S00089048,91,29,19,3,-,-,-,-,-,1,36,3
S00089049,130,23,5,7,-,-,-,-,-,4,87,4
S00089050,108,21,9,6,1,-,-,-,-,1,61,9
S00089051,146,14,29,19,-,-,-,2,-,-,73,9
S00089052,148,29,7,16,2,-,-,-,-,-,87,7
S00089053,114,14,13,6,-,-,-,-,-,-,68,13
S00089054,76,10,23,5,-,-,-,3,-,-,32,3
S00089055,86,16,10,9,1,1,-,-,1,-,34,14
S00089056,71,10,18,3,-,-,-,-,-,1,35,4
S00089057,85,9,9,2,1,-,-,3,-,-,57,4
S00089058,96,10,25,8,-,1,-,1,-,1,42,8
S00089059,55,8,8,6,-,-,-,-,-,-,30,3
S00089060,61,5,20,5,-,-,1,-,-,-,24,6
S00089061,75,10,26,8,-,2,-,-,-,1,21,7
S00089062,53,8,5,4,1,1,-,1,-,-,30,3
S00089063,83,4,25,17,-,-,-,1,-,-,28,8
S00089064,84,19,11,8,3,-,-,1,-,-,39,3
S00089065,95,7,21,15,-,-,-,2,-,1,44,5
S00089066,64,9,11,2,-,-,-,-,-,1,41,-
S00089067,108,9,39,4,-,-,-,-,-,1,41,14
S00089068,73,17,11,11,-,2,-,-,-,-,28,4
S00089069,60,3,16,1,3,-,-,2,-,-,31,4
S00089070,127,8,28,10,-,3,-,2,-,-,63,13
S00089071,88,20,17,8,-,-,-,2,-,-,39,2
S00089072,113,10,25,22,-,-,-,-,-,-,51,5
S00089073,94,17,10,6,-,2,1,-,-,-,51,7
S00089074,145,16,23,12,1,3,-,3,-,-,76,11
S00089075,87,5,39,12,-,-,-,1,-,1,22,7
S00089076,113,26,14,7,-,-,-,2,-,-,61,3
S00089077,90,16,21,1,-,-,-,-,-,1,39,12
S00089078,52,12,7,1,-,-,-,-,-,-,24,8
S00089079,61,12,8,5,-,-,-,-,-,-,33,3
S00089080,100,9,18,-,-,-,-,6,-,-,61,6
S00089081,74,20,7,1,-,-,-,-,-,1,37,8
S00089082,82,15,17,3,-,-,-,-,-,2,45,-
S00089083,120,17,9,-,-,-,1,-,-,-,80,13
S00089084,100,35,1,6,-,-,-,-,-,-,52,6
S00089085,121,22,11,2,-,-,-,-,-,-,70,16
S00089086,100,33,2,1,-,-,-,1,-,-,59,4
S00089087,141,35,12,8,-,-,3,-,-,1,68,14
S00089088,93,17,17,2,-,-,-,-,-,-,56,1
S00089089,110,12,11,2,-,-,-,-,-,1,72,12
S00089090,126,15,7,11,-,-,-,-,-,-,82,11
S00089091,150,15,10,-,2,-,-,5,-,-,112,6
S00089092,171,14,16,4,-,3,-,1,-,-,129,4
S00089093,166,23,28,3,1,-,-,5,-,-,101,5
S00089094,90,13,21,-,-,-,-,-,-,-,54,2
S00089095,119,17,19,7,-,-,-,-,-,-,72,4
S00089096,97,9,16,3,-,1,-,-,-,-,61,7
S00089097,83,8,7,4,-,-,-,-,-,-,54,10
S00089098,82,6,14,3,-,-,-,-,-,-,48,11
S00089099,120,6,14,9,-,-,-,3,1,-,79,8
S00089100,101,31,11,6,-,-,-,-,-,-,42,11
S00089101,75,5,9,8,-,1,-,-,-,-,49,3
S00089102,86,6,27,3,1,1,-,1,-,-,42,5
S00089103,89,15,24,3,-,-,-,-,-,-,40,7
S00089104,67,17,5,3,-,-,-,-,-,-,39,3
S00089105,96,22,7,1,-,-,-,-,-,1,58,7
S00089106,89,19,10,4,-,-,-,3,-,-,47,6
S00089107,82,21,11,2,-,1,-,-,-,-,42,5
S00089108,92,16,11,5,-,-,-,-,-,-,56,4
S00089109,60,10,19,1,-,-,-,1,-,-,28,1
S00089110,109,26,13,-,-,-,-,1,-,-,65,4
S00089111,147,28,19,1,-,-,-,-,-,3,78,18
S00089112,151,13,41,6,-,-,-,-,-,-,76,15
S00089113,64,22,2,4,-,-,-,-,-,-,30,6
S00089114,117,17,6,1,-,-,1,-,-,-,78,14
S00089115,154,27,18,15,-,-,-,-,-,2,85,7
S00089116,206,12,30,10,1,-,-,-,-,-,143,10
S00089117,125,11,16,4,-,-,-,-,-,-,77,17
S00089118,145,42,14,-,-,-,-,-,-,-,80,9
S00089119,87,26,3,5,-,-,-,-,-,1,45,7
S00089120,77,28,3,7,-,-,-,-,-,-,28,11
S00089121,173,45,16,13,1,2,-,-,-,1,58,37
S00089122,65,10,4,1,-,-,-,-,-,-,45,5
S00089123,151,27,1,6,-,-,-,-,-,1,109,7
S00089124,105,19,1,10,-,-,-,-,-,-,70,5
S00089125,164,34,2,2,-,3,-,4,-,-,106,13
S00089126,116,15,14,3,-,-,-,-,-,-,80,4
S00089127,93,20,15,5,-,-,-,-,-,-,48,5
S00089128,97,5,3,1,-,-,-,-,-,2,80,6
S00089129,197,50,15,14,-,-,-,1,-,-,110,7
S00089130,93,31,2,7,-,2,-,-,-,3,41,7
S00089131,102,25,-,1,1,-,-,1,-,3,66,5
S00089132,87,32,1,6,-,3,-,1,-,-,38,6
S00089133,87,39,4,1,-,3,-,-,-,-,36,4
S00089134,129,45,7,6,-,-,-,-,-,-,68,3
S00089135,144,73,4,12,-,-,-,-,-,-,43,12
S00089136,112,41,5,4,4,-,-,1,-,-,49,8
S00089137,109,37,3,19,-,3,-,-,-,-,37,10
S00089138,55,26,2,4,-,-,-,-,-,-,18,5
S00089139,86,26,2,3,-,-,-,10,-,1,40,4
S00089140,100,22,10,9,-,-,-,-,-,-,55,4
S00089141,120,39,1,6,1,-,-,8,-,2,59,4
S00089142,137,33,13,1,-,-,-,-,1,1,86,2
S00089143,105,25,19,6,-,-,-,1,-,2,51,1
S00089144,91,25,3,1,-,3,-,-,-,-,52,7
S00089145,127,41,6,5,-,-,-,4,-,-,52,19
S00089146,117,32,8,1,-,-,-,6,-,-,66,4
S00089147,96,24,8,4,-,-,-,2,-,-,53,5
S00089148,123,21,4,3,1,-,-,-,-,-,85,9
S00089149,124,10,10,17,-,-,-,-,-,1,81,5
S00089150,151,34,16,23,-,-,-,-,-,-,64,14
S00089151,61,15,1,4,-,-,-,-,-,-,36,5
S00089152,54,16,2,1,-,-,-,-,-,1,27,7
S00089153,63,30,3,4,-,-,-,-,-,-,22,4
S00089154,72,16,3,-,-,-,-,-,-,1,48,4
S00089155,84,29,1,6,-,-,-,-,-,-,40,8
S00089156,129,46,12,1,-,-,-,5,-,-,56,9
S00089157,105,36,3,-,-,-,-,-,-,-,62,4
S00089158,136,39,2,7,-,-,-,5,-,-,63,20
S00089159,90,28,4,3,1,-,-,3,-,1,42,8
S00089160,112,41,4,4,1,-,-,-,-,-,59,3
S00089161,95,26,4,-,-,-,-,-,-,-,58,7
S00089162,77,13,4,3,-,-,-,-,-,2,49,6
S00089163,115,23,10,5,-,-,-,1,-,-,70,6
S00089164,78,26,3,4,-,-,-,-,-,-,38,7
S00089165,105,25,11,2,-,-,-,4,-,-,55,8
S00089166,150,34,2,9,-,-,-,-,-,-,95,10
S00089167,107,27,3,3,2,-,-,-,-,-,70,2
S00089168,64,40,4,1,-,-,-,-,-,-,15,4
S00089169,117,35,4,-,-,-,-,5,-,-,67,6
S00089170,90,20,11,4,-,-,-,4,-,-,51,-
S00089171,74,22,6,6,-,-,-,-,-,-,31,9
S00089172,64,12,11,2,-,-,-,-,-,1,36,2
S00089173,139,30,10,10,-,-,-,-,-,2,74,13
S00089174,161,31,9,12,-,-,-,-,-,2,92,15
S00089175,124,27,9,5,-,-,-,-,-,-,78,5
S00089176,102,20,1,10,-,-,-,1,-,-,64,6
S00089177,129,23,3,-,-,-,-,-,-,-,91,12
S00089178,149,42,6,5,-,-,-,1,-,-,86,9
S00089179,172,45,10,7,-,2,-,1,-,-,101,6
S00089180,134,39,2,6,-,-,-,-,-,-,79,8
S00089181,101,30,5,5,-,-,-,-,-,-,55,6
S00089182,114,24,6,3,-,-,1,-,-,-,71,9
S00089183,98,22,5,2,-,1,-,-,-,1,63,4
S00089184,137,53,2,14,-,-,-,-,-,-,55,13
S00089185,136,60,3,14,-,-,-,1,-,-,46,12
S00089186,114,31,19,9,1,4,-,-,-,-,46,4
S00089187,67,17,7,2,1,6,-,6,-,-,28,-
S00089188,146,66,11,17,2,-,-,1,-,-,42,7
S00089189,152,49,18,13,-,-,-,1,-,1,60,10
S00089190,113,32,18,9,-,2,-,5,-,1,39,7
S00089191,137,36,13,10,-,3,-,13,-,-,57,5
S00089192,111,16,13,14,2,4,-,10,-,1,42,9
S00089193,132,26,18,16,4,1,-,5,-,1,58,3
S00089194,153,55,15,7,1,-,-,3,-,1,56,15
S00089195,135,57,11,8,-,-,-,1,-,2,53,3
S00089196,119,49,21,9,-,-,-,-,-,-,39,1
S00089197,116,45,10,7,1,-,-,5,-,-,36,12
S00089198,83,28,11,5,-,1,-,-,-,-,34,4
S00089199,100,23,4,5,2,1,-,-,-,-,44,21
S00089200,69,22,1,3,-,-,-,1,-,-,33,9
S00089201,98,41,18,5,-,-,-,-,-,-,26,8
S00089202,152,38,7,6,-,-,-,-,-,-,90,11
S00089203,214,61,22,8,1,-,-,6,-,-,104,12
S00089204,149,32,22,14,-,1,-,-,-,-,70,10
S00089205,117,41,15,9,1,3,-,-,-,-,42,6
S00089206,122,35,11,12,-,1,-,1,4,-,52,6
S00089207,100,36,7,8,-,-,-,-,-,-,42,7
S00089208,76,10,16,3,-,5,-,1,-,-,37,4
S00089209,73,13,7,2,3,-,-,5,-,-,41,2
S00089210,76,11,7,5,1,2,-,5,-,-,40,5
S00089211,71,6,12,7,-,2,-,1,-,-,40,3
S00089212,106,20,15,5,1,1,-,1,-,-,57,6
S00089213,68,6,12,7,-,3,-,-,-,1,36,3
S00089214,61,11,3,4,-,-,-,-,-,-,41,2
S00089215,67,11,8,6,6,-,-,7,-,-,27,2
S00089216,97,13,10,3,1,-,-,8,-,-,60,2
S00089217,79,8,24,8,1,-,-,2,-,-,29,7
S00089218,126,12,28,-,1,2,-,1,-,1,74,7
S00089219,84,3,17,9,-,-,-,-,-,-,49,6
S00089220,60,12,7,4,-,4,-,2,-,-,29,2
S00089221,146,28,20,9,1,5,-,4,-,1,75,3
S00089222,89,9,11,3,-,3,-,13,-,-,48,2
S00089223,70,17,2,6,1,-,-,1,-,1,40,2
S00089224,191,50,25,9,-,-,-,-,-,2,93,12
S00089225,58,10,2,7,-,3,-,-,-,1,32,3
S00089226,57,18,10,5,-,2,-,-,-,1,20,1
S00089227,128,29,19,15,-,-,-,2,-,-,57,6
S00089228,95,22,15,8,1,-,-,6,-,-,38,5
S00089229,97,21,5,4,-,4,-,5,-,-,51,7
S00089230,100,29,3,9,2,-,-,1,-,-,48,8
S00089231,87,10,9,9,-,11,-,5,-,-,38,5
S00089232,93,16,13,2,2,-,-,6,-,-,48,6
S00089233,80,22,3,7,-,-,-,-,-,-,43,5
S00089234,97,24,7,11,1,-,-,-,-,-,47,7
S00089235,104,12,13,7,1,6,-,4,-,-,49,12
S00089236,81,12,9,8,1,1,-,1,-,-,46,3
S00089237,117,40,11,10,-,-,-,-,-,1,50,5
S00089238,135,49,5,14,-,-,-,-,-,1,64,2
S00089239,98,21,15,7,-,-,-,-,-,-,44,11
S00089240,179,59,11,11,-,-,-,-,-,-,72,26
S00089241,65,24,5,6,-,-,-,-,-,1,28,1
S00089242,123,45,11,10,-,-,-,1,-,-,49,7
S00089243,115,48,10,3,-,-,-,-,-,-,41,13
S00089244,117,40,4,8,-,-,-,-,-,1,53,11
S00089245,84,45,-,1,-,-,-,-,-,-,38,-
S00089246,95,38,9,1,-,-,-,-,-,-,38,9
S00089247,166,67,2,6,-,-,-,5,-,1,73,12
S00089248,205,60,11,16,-,2,1,4,-,-,106,5
S00089249,105,27,13,7,-,-,-,-,-,-,49,9
S00089250,88,28,13,9,-,-,-,1,-,-,35,2
S00089251,106,28,8,11,-,2,-,-,-,-,49,8
S00089252,118,37,5,11,-,-,-,-,-,-,55,10
S00089253,129,41,9,13,-,-,-,-,-,-,52,14
S00089254,137,54,5,5,-,-,-,5,-,-,53,15
S00089255,119,33,10,3,-,-,-,1,-,-,60,12
S00089256,109,38,8,3,-,4,-,-,-,-,42,14
S00089257,97,46,1,6,-,-,-,1,-,-,40,3
S00089258,100,29,12,1,3,-,-,4,-,1,39,11
S00089259,84,19,13,2,-,3,-,-,-,1,40,6
S00089260,136,47,14,5,1,-,-,1,-,4,60,4
S00089261,158,15,6,19,-,3,-,-,-,4,94,17
S00089262,108,27,7,6,1,1,-,2,-,1,55,8
S00089263,92,16,11,4,1,2,-,6,-,3,44,5
S00089264,139,36,19,7,-,4,-,5,-,1,59,8
S00089265,84,13,4,4,1,1,-,-,-,-,55,6
S00089266,100,28,4,7,2,1,-,3,-,-,51,4
S00089267,79,13,9,5,-,-,-,-,-,2,43,7
S00089268,113,12,15,3,1,1,-,11,-,-,61,9
S00089269,101,18,14,7,-,-,-,-,-,-,48,14
S00089270,120,31,10,9,-,-,-,-,-,-,64,6
S00089271,90,28,10,5,2,1,-,-,-,-,31,13
S00089272,69,29,8,2,-,-,-,1,-,-,24,5
S00089273,101,17,16,1,-,1,-,4,1,2,50,9
S00089274,129,31,16,9,2,-,-,2,-,1,61,7
S00089275,64,35,1,5,-,-,-,-,-,-,16,7
S00089276,59,8,7,4,1,-,-,2,-,1,28,8
S00089277,177,69,2,10,-,-,-,-,-,-,85,11
S00089278,66,48,1,2,-,-,-,-,-,1,10,4
S00089279,67,28,9,5,-,-,1,-,-,-,19,5
S00089280,59,19,4,4,-,-,-,-,-,-,32,-
S00089281,75,14,2,5,-,-,-,-,-,-,49,5
S00089282,69,19,5,3,-,-,-,-,-,-,36,6
S00089283,54,16,10,3,-,1,-,-,-,-,19,5
S00089284,105,50,8,3,-,-,-,-,-,-,40,4
S00089285,128,37,23,8,1,-,-,5,-,-,42,12
S00089286,106,15,11,6,1,3,-,6,-,-,54,10
S00089287,87,61,4,4,-,-,-,-,-,-,17,1
S00089288,151,41,15,12,1,5,-,5,-,-,59,13
S00089289,124,22,9,8,-,-,-,-,-,-,75,10
S00089290,69,13,6,2,-,-,-,-,-,-,45,3
S00089291,99,32,6,8,-,-,-,-,-,-,44,9
S00089292,90,29,10,1,-,2,-,-,-,-,47,1
S00089293,153,22,7,9,1,4,-,6,-,1,85,18
S00089294,148,20,22,12,1,5,-,-,-,2,72,14
S00089295,190,50,10,6,-,-,-,-,-,-,109,15
S00089296,161,52,7,3,-,-,-,2,-,1,78,18
S00089297,93,34,5,2,-,-,-,-,-,1,48,3
S00089298,98,24,12,7,-,-,-,-,-,1,49,5
S00089299,64,22,3,3,-,-,-,-,-,1,34,1
S00089300,99,31,7,5,1,-,-,4,-,-,47,4
S00089301,116,24,9,1,-,-,-,8,-,-,67,7
S00089302,104,15,12,7,-,-,-,-,-,1,63,6
S00089303,167,54,8,11,-,1,-,9,-,-,79,5
S00089304,159,34,7,9,-,4,-,4,-,1,86,14
S00089305,71,29,3,5,-,-,-,1,-,-,28,5
S00089306,141,44,12,8,-,-,-,1,-,-,67,9
S00089307,88,16,7,1,-,-,-,6,-,-,55,3
S00089308,77,16,6,6,-,-,-,-,-,-,43,6
S00089309,148,34,17,3,-,-,-,1,-,-,85,8
S00089310,171,30,28,7,-,1,-,1,-,2,84,18
S00089311,101,29,11,2,-,2,-,-,-,-,50,7
S00089312,164,63,7,9,-,6,-,-,-,-,72,7
S00089313,150,62,8,10,-,-,-,-,-,2,54,14
S00089314,125,28,19,14,-,3,-,2,-,1,57,1
S00089315,108,38,1,3,-,-,-,-,-,-,57,9
S00089316,106,40,8,5,-,-,-,7,-,-,44,2
S00089317,94,41,5,6,1,2,-,-,-,-,37,2
S00089318,107,31,7,4,1,6,-,9,1,-,44,4
S00089319,134,55,5,5,-,-,-,-,-,1,51,17
S00089320,125,49,10,5,-,-,-,-,-,-,39,22
S00089321,85,30,12,6,-,4,-,-,-,1,30,2
S00089322,124,64,2,13,-,-,-,-,-,2,39,4
S00089323,83,33,6,3,-,-,-,1,-,-,35,5
S00089324,94,44,5,10,-,-,-,-,-,-,33,2
S00089325,102,40,6,9,4,-,-,-,-,2,35,6
S00089326,130,37,4,4,-,2,-,9,-,-,58,16
S00089327,108,49,9,7,-,-,-,-,-,1,38,4
S00089328,111,70,3,6,-,-,-,1,-,-,30,1
S00089329,95,52,1,8,-,-,-,1,-,-,25,8
S00089330,151,64,10,4,-,-,-,4,-,-,57,12
S00089331,168,73,5,16,1,-,-,1,-,-,65,7
S00089332,172,72,4,14,-,-,-,-,-,-,74,8
S00089333,176,66,6,9,-,-,-,-,-,-,88,7
S00089334,150,72,4,2,-,4,-,2,-,-,47,19
S00089335,144,45,13,4,-,-,-,-,-,-,74,8
S00089336,93,36,1,1,-,7,-,-,-,-,38,10
S00089337,57,28,-,-,-,2,-,3,-,-,20,4
S00089338,156,83,3,11,-,4,-,-,-,-,44,11
S00089339,150,72,4,8,1,-,-,1,-,1,53,10
S00089340,125,57,10,10,-,-,-,-,-,-,43,5
S00089341,77,32,1,-,-,-,-,-,-,-,33,11
S00089342,75,45,1,6,-,-,-,-,-,-,14,9
S00089343,71,18,5,-,-,4,-,5,-,-,30,9
S00089344,70,28,4,1,-,-,-,-,-,1,29,7
S00089345,98,27,20,9,-,-,-,-,-,-,35,7
S00089346,145,60,2,12,-,-,-,1,-,1,52,17
S00089347,108,69,4,3,-,-,-,-,-,-,30,2
S00089348,92,42,7,8,-,-,-,-,-,-,27,8
S00089349,97,48,5,5,-,-,1,-,-,-,35,3
S00089350,123,50,5,17,1,1,-,-,-,-,34,15
S00089351,175,51,17,24,1,4,-,-,-,1,64,13
S00089352,158,60,10,15,-,-,-,-,-,-,61,12
S00089353,111,38,9,14,1,1,-,-,-,2,38,8
S00089354,89,37,6,7,-,-,-,-,-,-,31,8
S00089355,165,62,16,8,-,-,-,4,1,-,69,5
S00089356,61,27,-,6,-,-,-,1,-,-,26,1
S00089357,118,32,1,4,1,-,-,2,-,-,75,3
S00089358,85,34,1,2,-,-,-,1,-,-,47,-
S00089359,129,35,2,9,-,5,-,13,-,-,60,5
S00089360,113,36,12,6,-,5,-,1,-,2,45,6
S00089361,151,53,8,2,-,-,-,-,-,1,82,5
S00089362,134,76,8,10,-,-,-,10,-,-,22,8
S00089363,60,14,2,3,-,2,-,2,-,-,32,5
S00089364,96,17,13,7,-,6,-,1,-,-,48,4
S00089365,132,14,13,23,-,3,-,18,-,1,50,10
S00089366,105,15,17,6,-,4,-,7,-,1,48,7
S00089367,102,23,11,13,-,-,-,2,-,-,45,8
S00089368,58,13,4,6,-,-,-,-,-,-,31,4
S00089369,120,19,8,11,2,3,-,9,-,2,53,13
S00089370,107,40,12,5,-,-,-,1,-,1,42,6
S00089371,123,30,8,3,3,-,-,2,-,2,67,8
S00089372,63,24,4,2,-,-,-,-,-,-,27,6
S00089373,97,26,14,5,-,2,-,5,-,-,43,2
S00089374,97,42,5,15,1,-,-,-,-,1,26,7
S00089375,137,76,2,7,-,-,-,-,-,-,42,10
S00089376,135,61,4,10,-,-,-,3,-,1,46,10
S00089377,82,34,-,7,-,-,-,3,1,-,31,6
S00089378,103,49,3,16,-,-,-,-,-,-,27,8
S00089379,169,101,6,4,1,1,-,-,-,-,39,17
S00089380,156,66,4,3,-,2,1,-,-,-,65,15
S00089381,108,47,9,13,-,-,-,-,-,-,29,10
S00089382,126,62,2,13,-,1,-,-,-,-,42,6
S00089383,108,45,8,10,-,-,-,-,-,-,39,6
S00089384,106,44,6,10,-,-,-,-,-,-,37,9
S00089385,189,83,17,14,-,-,-,3,-,-,61,11
S00089386,208,75,11,15,3,-,-,2,-,4,79,19
S00089387,158,77,9,8,-,-,-,2,-,-,50,12
S00089388,159,51,8,5,1,12,-,-,-,-,73,9
S00089389,98,40,6,6,-,-,-,-,-,-,37,9
S00089390,93,28,12,8,1,-,-,5,-,1,27,11
S00089391,101,31,8,6,-,4,-,2,-,1,43,6
S00089392,85,18,4,-,-,-,-,-,-,-,56,7
S00089393,86,25,12,7,-,-,-,-,-,1,38,3
S00089394,68,27,2,6,-,-,-,-,-,-,30,3
S00089395,111,42,9,13,-,-,-,-,-,-,42,5
S00089396,72,19,6,1,-,-,-,1,-,-,39,6
S00089397,101,41,11,4,1,1,-,4,-,-,35,4
S00089398,96,54,9,1,4,-,-,-,-,-,26,2
S00089399,51,38,-,3,-,-,-,-,-,-,7,3
S00089400,98,37,7,14,-,1,1,7,-,1,24,6
S00089401,73,35,9,-,-,-,-,-,-,-,27,2
S00089402,84,27,4,-,-,-,-,-,-,-,48,5
S00089403,98,28,6,15,-,1,-,1,-,-,42,5
S00089404,95,38,5,7,2,-,-,-,-,-,38,5
S00089405,112,35,10,9,-,-,-,4,-,-,40,14
S00089406,145,47,11,27,-,-,-,-,-,-,50,10
S00089407,128,43,15,9,-,-,1,6,-,-,48,6
S00089408,104,22,14,13,-,4,-,9,-,-,37,5
S00089409,117,46,3,10,5,-,-,1,-,-,47,5
S00089410,121,33,16,19,1,-,-,4,-,-,40,8
S00089411,98,24,18,8,-,-,-,-,-,-,45,3
S00089412,190,83,8,25,-,5,-,5,1,-,52,11
S00089413,188,52,12,24,2,2,-,5,-,-,77,14
S00089414,63,26,1,1,-,-,-,-,-,-,26,9
S00089415,97,30,1,4,-,4,-,-,-,-,45,13
S00089416,151,36,5,8,-,-,-,5,-,-,75,22
S00089417,133,54,10,10,-,-,-,-,-,-,52,7
S00089418,149,52,12,22,-,-,-,7,-,-,47,9
S00089419,118,21,14,10,-,8,-,9,-,-,42,14
S00089420,142,55,4,5,1,3,-,4,-,-,51,19
S00089421,171,55,28,14,-,-,-,-,-,-,65,9
S00089422,88,33,9,6,-,-,-,-,-,1,35,4
S00089423,163,53,12,21,-,-,-,3,-,-,61,13
S00089424,144,45,7,18,1,-,-,3,-,-,60,10
S00089425,183,56,21,16,-,-,-,-,-,-,70,20
S00089426,189,43,7,25,-,-,-,-,-,-,113,1
S00089427,79,21,7,4,-,-,-,-,-,-,36,11
S00089428,83,19,8,9,-,3,-,1,-,-,32,11
S00089429,135,40,8,14,-,-,-,-,-,-,61,12
S00089430,126,55,7,18,-,-,-,-,-,-,37,9
S00089431,138,26,5,16,-,-,-,1,-,-,31,59
S00089432,61,14,4,6,-,-,-,-,-,-,31,6
S00089433,74,26,6,4,2,-,-,3,-,-,26,7
