oa_code,All households,One person household: Aged 65 and over,One person household: Aged under 65,One family only: All aged 65 and over,One family only: Married or same-sex civil partnership couple: No children,One family only: Married or same-sex civil partnership couple: With dependent children,One family only: Married or same-sex civil partnership couple: All children non-dependent,One family only: Cohabiting couple: No children,One family only: Cohabiting couple: With dependent children,One family only: Cohabiting couple: All children non-dependent,One family only: Lone parent: With dependent children,One family only: Lone parent: All children non-dependent,Other households: With dependent children,Other households: All full-time students,Other households: All aged 65 and over,Other households: Other
S00098978,34,1,12,-,3,4,2,1,2,-,4,2,2,-,-,1
S00098979,57,4,12,2,6,9,-,3,4,1,8,4,3,-,-,1
S00098980,39,3,13,3,3,1,2,2,2,-,2,3,1,-,-,4
S00098981,35,10,3,6,2,3,3,-,1,-,5,2,-,-,-,-
S00098982,41,8,21,1,2,1,-,3,-,-,1,-,3,-,-,1
S00098983,82,32,40,3,1,-,-,2,1,-,-,1,-,-,-,2
S00098984,70,1,39,-,3,2,2,14,2,-,3,2,-,1,-,1
S00098985,76,28,20,3,5,2,5,1,-,-,-,3,1,4,-,4
S00098986,38,12,12,1,2,3,-,1,1,-,1,2,-,-,-,3
S00098987,37,5,15,2,-,1,-,5,-,1,4,1,1,-,-,2
S00098988,50,3,15,2,2,4,2,5,3,-,1,5,1,2,-,5
S00098989,77,6,49,-,3,-,-,5,1,-,8,1,-,-,-,4
S00098990,73,-,42,-,5,4,-,4,1,-,8,3,-,3,-,3
S00098991,61,22,22,4,4,2,-,-,1,-,4,-,2,-,-,-
S00098992,76,20,15,4,5,6,4,1,1,-,14,2,3,-,-,1
S00098993,30,-,18,-,1,4,-,1,2,-,3,-,1,-,-,-
S00098994,46,3,26,-,4,2,1,3,2,-,-,1,-,1,-,3
S00098995,36,1,23,2,-,2,-,3,1,-,2,-,-,-,-,2
S00098996,52,2,28,-,3,2,1,7,2,1,2,2,-,1,-,1
S00098997,48,-,27,-,1,2,-,11,1,-,-,1,-,3,-,2
S00098998,54,2,20,-,6,2,2,4,1,-,13,1,-,3,-,-
S00098999,48,2,18,-,1,1,-,5,1,1,7,-,1,9,-,2
S00099000,64,3,23,1,2,3,-,17,3,-,5,1,-,4,-,2
S00099001,71,2,36,1,5,5,-,8,1,-,2,1,3,2,-,5
S00099002,42,7,15,1,7,1,-,4,-,-,1,2,2,-,-,2
S00099003,46,3,26,2,5,1,-,5,-,-,1,-,-,1,-,2
S00099004,39,-,19,-,-,-,1,8,-,-,6,-,-,1,-,4
S00099005,61,3,34,-,2,2,-,10,4,-,3,-,2,-,-,1
S00099006,71,3,45,-,3,4,-,9,2,-,2,1,1,-,-,1
S00099007,64,2,35,1,5,2,1,8,4,-,-,1,-,1,-,4
S00099008,76,5,24,1,3,-,2,17,-,-,7,4,-,4,-,9
S00099009,58,2,34,-,2,2,2,5,-,-,7,-,-,-,-,4
S00099010,50,4,29,-,3,3,-,6,1,-,1,1,-,-,-,2
S00099011,51,-,31,-,5,-,-,10,3,-,-,-,2,-,-,-
S00099012,39,1,24,-,1,1,-,5,-,-,3,2,1,-,-,1
S00099013,42,19,16,-,1,-,1,1,-,-,2,-,-,-,-,2
S00099014,49,2,21,1,6,-,1,7,2,-,3,2,-,1,-,3
S00099015,40,1,21,-,3,1,1,1,2,-,3,2,-,3,-,2
S00099016,41,8,11,2,4,2,1,1,1,-,7,2,-,2,-,-
S00099017,76,4,20,1,5,9,2,12,2,-,10,1,1,4,-,5
S00099018,69,10,19,2,4,5,3,5,3,1,7,3,-,1,-,6
S00099019,43,7,15,1,3,2,-,2,1,-,3,2,2,2,-,3
S00099020,35,4,18,1,3,1,-,5,-,1,-,-,-,-,1,1
S00099021,63,11,18,1,1,3,1,2,3,-,11,1,3,1,1,6
S00099022,50,3,37,-,-,1,-,4,-,1,1,2,-,1,-,-
S00099023,63,3,31,1,5,1,2,12,-,-,-,-,-,5,-,3
S00099024,46,1,28,-,2,2,1,1,1,-,5,-,1,1,-,3
S00099025,68,13,26,5,6,3,1,1,-,1,6,5,-,-,-,1
S00099026,52,7,14,2,3,2,1,3,1,1,14,3,1,-,-,-
S00099027,55,14,13,2,3,3,4,6,-,-,4,2,1,1,-,2
S00099028,59,26,7,7,4,1,2,3,-,-,5,1,1,-,-,2
S00099029,44,12,10,8,1,4,-,3,1,-,2,2,-,-,-,1
S00099030,56,20,12,8,2,1,3,4,-,-,4,2,-,-,-,-
S00099031,43,10,11,3,5,4,2,3,1,-,-,1,1,-,1,1
S00099032,74,3,9,1,14,26,8,1,4,-,2,-,5,-,-,1
S00099033,37,1,12,-,6,1,-,3,1,1,10,2,-,-,-,-
S00099034,50,13,7,3,11,4,5,1,-,2,1,1,1,-,-,1
S00099035,43,8,4,8,7,4,5,1,2,-,-,1,-,-,-,3
S00099036,68,3,21,1,7,3,-,7,5,-,13,4,1,-,-,3
S00099037,64,4,7,2,17,15,5,3,5,-,-,3,3,-,-,-
S00099038,38,3,7,3,4,3,1,3,3,-,6,1,1,1,-,2
S00099039,47,3,4,5,7,17,5,1,-,-,-,1,3,-,-,1
S00099040,53,1,8,4,11,14,4,4,2,-,-,-,5,-,-,-
S00099041,42,3,14,2,5,5,3,3,-,-,4,-,2,-,-,1
S00099042,54,6,4,2,10,11,9,3,3,-,2,-,4,-,-,-
S00099043,52,6,-,10,7,10,6,1,3,1,3,2,1,-,-,2
S00099044,42,6,2,10,6,10,3,-,2,-,-,1,-,-,-,2
S00099045,53,5,4,10,13,7,2,3,-,-,4,1,2,-,-,2
S00099046,41,4,4,2,10,7,5,2,1,2,-,-,4,-,-,-
S00099047,55,13,2,6,15,8,4,-,1,-,1,2,1,-,-,2
S00099048,62,9,7,6,14,11,5,1,2,-,3,2,1,-,-,1
S00099049,42,5,4,4,12,6,6,3,-,-,-,1,-,-,-,1
S00099050,70,5,34,5,9,2,1,7,-,-,3,1,1,-,-,2
S00099051,67,8,10,9,11,9,3,6,3,-,5,1,1,-,-,1
S00099052,55,10,3,11,17,3,6,-,-,-,1,3,-,-,-,1
S00099053,46,5,6,6,8,6,7,2,2,-,-,3,-,-,-,1
S00099054,54,10,8,7,6,8,3,-,2,-,7,1,-,-,1,1
S00099055,59,14,7,13,3,7,2,-,4,1,3,4,-,-,-,1
S00099056,35,9,3,3,5,1,2,1,1,-,5,1,1,-,1,2
S00099057,44,14,2,9,5,1,1,2,4,-,3,3,-,-,-,-
S00099058,59,29,7,14,3,1,-,1,-,-,2,1,-,-,1,-
S00099059,71,35,8,11,6,4,2,1,-,-,1,1,1,-,1,-
S00099060,43,7,14,3,3,3,2,1,1,-,7,2,-,-,-,-
S00099061,37,10,4,4,4,1,1,4,3,-,4,-,1,-,1,-
S00099062,50,10,13,1,6,3,-,3,2,-,3,6,2,-,1,-
S00099063,51,17,11,6,4,1,-,5,1,1,4,1,-,-,-,-
S00099064,40,10,17,5,2,2,-,1,-,-,2,-,-,-,-,1
S00099065,53,5,9,4,9,6,5,3,1,-,4,4,1,-,-,2
S00099066,47,16,18,5,2,-,-,2,1,-,-,2,-,-,-,1
S00099067,52,15,10,8,2,2,1,-,3,1,6,2,1,-,-,1
S00099068,50,10,8,7,4,5,4,2,3,1,2,3,-,-,-,1
S00099069,50,18,3,-,10,2,3,-,5,1,1,3,2,-,1,1
S00099070,41,9,3,6,3,6,3,2,2,1,4,1,-,-,-,1
S00099071,55,19,11,12,8,-,2,-,1,-,1,1,-,-,-,-
S00099072,39,8,12,4,2,2,2,2,2,-,1,3,1,-,-,-
S00099073,47,10,7,4,6,5,2,1,4,-,3,1,-,1,-,3
S00099074,72,28,8,7,5,7,5,3,2,-,-,3,1,-,-,3
S00099075,42,2,24,-,-,6,1,-,3,-,5,1,-,-,-,-
S00099076,51,9,1,12,17,6,4,-,-,1,-,1,-,-,-,-
S00099077,66,17,6,2,5,6,6,2,3,2,9,6,1,-,-,1
S00099078,47,2,15,-,3,4,2,-,5,1,9,2,1,-,-,3
S00099079,56,4,8,4,7,7,10,3,1,-,5,4,-,-,-,3
S00099080,58,7,14,10,12,6,3,2,1,-,2,-,-,-,-,1
S00099081,47,8,13,-,4,3,1,-,4,-,10,4,-,-,-,-
S00099082,40,8,10,1,1,3,3,2,1,1,7,2,1,-,-,-
S00099083,61,2,38,2,2,3,1,2,2,-,5,1,-,-,-,3
S00099084,37,5,11,2,5,1,-,1,1,1,4,5,-,-,-,1
S00099085,50,4,23,2,2,5,-,-,3,-,6,3,-,-,-,2
S00099086,37,5,11,-,3,3,1,-,3,-,7,4,-,-,-,-
S00099087,42,6,18,-,4,2,1,5,-,1,3,-,-,-,-,2
S00099088,51,5,13,1,5,5,2,3,4,-,8,4,-,-,-,1
S00099089,73,21,41,3,4,-,-,-,-,-,2,2,-,-,-,-
S00099090,68,28,13,2,1,3,2,2,5,-,4,6,2,-,-,-
S00099091,47,16,15,4,4,2,1,-,1,1,2,1,-,-,-,-
S00099092,77,13,24,6,5,9,-,8,1,-,5,5,1,-,-,-
S00099093,54,17,20,4,1,1,2,1,2,1,2,-,-,1,1,1
S00099094,82,35,24,7,1,1,-,2,2,-,4,4,-,-,1,1
S00099095,47,6,6,8,2,12,-,-,1,1,6,3,-,-,1,1
S00099096,31,9,9,1,1,2,1,-,-,2,4,1,1,-,-,-
S00099097,38,8,3,-,4,6,2,2,2,-,6,4,1,-,-,-
S00099098,53,28,17,3,1,-,-,1,-,-,-,3,-,-,-,-
S00099099,53,3,43,-,-,2,-,1,-,1,3,-,-,-,-,-
S00099100,61,4,5,1,1,9,4,3,4,-,22,3,2,-,-,3
S00099101,34,5,5,3,2,3,2,2,1,-,6,3,-,-,1,1
S00099102,53,5,12,2,2,4,4,4,-,1,9,6,1,-,-,3
S00099103,37,6,2,1,6,2,2,1,2,-,9,1,3,-,-,2
S00099104,47,3,8,-,3,6,4,1,2,-,10,7,1,-,1,1
S00099105,39,3,2,-,9,1,3,-,3,1,9,4,3,-,-,1
S00099106,42,3,10,2,7,2,2,1,2,-,6,3,1,-,-,3
S00099107,36,2,5,2,4,2,3,1,3,-,10,3,1,-,-,-
S00099108,69,3,11,3,9,6,6,2,7,1,10,8,2,-,-,1
S00099109,69,7,12,3,6,2,7,4,4,2,13,5,1,-,-,3
S00099110,54,4,15,1,2,4,-,3,2,2,8,7,3,-,1,2
S00099111,58,-,11,1,6,10,5,7,9,2,5,1,1,-,-,-
S00099112,40,3,5,-,3,3,2,-,2,-,15,4,1,-,-,2
S00099113,66,1,17,1,5,7,5,5,3,1,15,2,-,-,-,4
S00099114,49,-,5,2,4,-,1,2,4,-,17,6,3,-,2,3
S00099115,46,1,4,1,2,3,1,-,6,-,20,5,2,-,-,1
S00099116,52,5,9,1,2,6,3,1,3,-,15,3,2,-,-,2
S00099117,76,4,9,1,3,10,3,2,6,2,22,9,3,-,-,2
S00099118,56,3,18,1,4,6,-,1,3,-,9,5,2,-,-,4
S00099119,41,1,4,-,5,3,2,4,7,-,11,1,1,-,-,2
S00099120,47,2,9,-,5,5,2,1,1,1,16,5,-,-,-,-
S00099121,36,3,9,1,1,3,4,1,1,-,6,6,1,-,-,-
S00099122,36,3,7,1,3,2,-,2,2,-,13,2,1,-,-,-
S00099123,49,16,12,6,2,3,-,1,1,1,4,2,-,-,-,1
S00099124,55,14,15,7,4,1,2,1,-,-,7,1,-,-,-,3
S00099125,52,3,21,1,-,2,-,1,6,-,14,1,3,-,-,-
S00099126,28,5,4,1,8,3,-,-,1,-,3,2,1,-,-,-
S00099127,58,11,19,3,2,3,1,4,2,-,5,6,-,-,-,2
S00099128,31,2,10,1,1,3,2,2,-,-,7,1,1,-,-,1
S00099129,49,2,13,2,2,-,4,1,1,-,18,2,4,-,-,-
S00099130,95,44,9,8,10,5,4,-,1,-,4,4,2,-,1,3
S00099131,60,15,22,3,4,3,-,2,-,-,8,1,1,-,-,1
S00099132,28,4,3,2,2,3,2,2,3,-,6,-,-,-,-,1
S00099133,50,8,7,3,6,8,6,3,1,-,3,2,-,-,-,3
S00099134,63,9,38,-,1,2,-,-,1,-,9,2,-,-,-,1
S00099135,50,3,13,1,-,5,1,1,3,-,15,5,1,-,-,2
S00099136,29,3,9,-,1,2,-,-,3,-,7,3,-,-,-,1
S00099137,47,2,11,-,3,4,4,1,2,-,16,-,3,-,-,1
S00099138,44,3,11,3,8,4,4,1,1,1,2,6,-,-,-,-
S00099139,45,2,12,-,5,1,-,3,7,1,8,1,2,-,-,3
S00099140,35,3,5,3,6,2,2,5,3,-,4,1,-,-,-,1
S00099141,58,3,15,8,6,4,4,3,6,-,2,3,4,-,-,-
S00099142,40,3,6,2,3,3,2,2,3,-,8,6,1,-,-,1
S00099143,44,3,15,2,2,2,1,4,3,-,11,-,-,-,-,1
S00099144,48,1,4,2,13,3,7,1,2,-,7,3,3,-,-,2
S00099145,75,12,15,4,6,6,4,5,2,1,10,6,-,1,1,2
S00099146,69,15,23,5,6,5,1,2,2,-,6,2,1,-,-,1
S00099147,44,8,6,1,8,4,1,-,2,-,11,3,-,-,-,-
S00099148,43,4,16,-,1,3,-,1,5,1,7,3,-,-,-,2
S00099149,40,2,10,4,6,5,-,2,2,-,3,5,-,-,-,1
S00099150,70,9,12,2,8,11,3,2,2,2,9,5,2,-,-,3
S00099151,33,-,8,-,3,5,1,3,1,-,9,3,-,-,-,-
S00099152,55,7,19,1,1,2,-,1,6,1,13,1,2,-,-,1
S00099153,72,8,15,8,7,6,2,3,6,-,7,8,1,1,-,-
S00099154,49,2,22,-,1,-,-,-,2,1,17,4,-,-,-,-
S00099155,74,24,26,5,4,-,3,1,1,3,1,5,-,-,-,1
S00099156,76,17,19,3,4,3,1,-,10,-,10,6,2,-,-,1
S00099157,54,6,4,4,2,1,2,1,5,2,14,6,6,-,1,-
S00099158,55,7,4,4,6,5,4,5,1,1,9,3,6,-,-,-
S00099159,44,3,10,1,1,3,2,1,-,2,17,3,-,-,-,1
S00099160,39,1,22,-,1,2,1,1,2,-,6,3,-,-,-,-
S00099161,43,3,2,-,4,5,2,2,6,-,12,3,2,-,-,2
S00099162,54,7,19,-,1,3,1,5,3,-,12,2,1,-,-,-
S00099163,46,8,7,2,7,3,1,4,2,-,5,3,1,-,-,3
S00099164,73,8,10,5,10,11,5,2,5,2,3,7,4,-,-,1
S00099165,67,19,16,7,6,4,3,1,-,3,1,6,-,-,-,1
S00099166,74,18,9,2,6,10,1,3,5,1,11,7,-,-,-,1
S00099167,69,4,12,1,8,7,3,7,5,1,15,3,2,-,-,1
S00099168,71,4,9,1,8,7,3,1,9,-,23,5,1,-,-,-
S00099169,53,7,13,3,5,1,2,1,5,1,13,2,-,-,-,-
S00099170,72,34,7,14,5,2,6,2,-,-,1,1,-,-,-,-
S00099171,55,32,10,3,5,1,-,-,-,1,-,-,-,-,-,3
S00099172,24,4,4,-,4,3,3,1,-,-,2,2,-,-,-,1
S00099173,65,14,7,4,7,8,1,-,1,1,13,5,3,-,1,-
S00099174,40,17,10,6,1,-,1,1,-,-,1,3,-,-,-,-
S00099175,45,8,11,3,7,2,3,2,2,-,2,3,2,-,-,-
S00099176,54,8,12,5,3,3,4,1,1,1,11,2,-,-,-,3
S00099177,48,-,11,-,3,6,-,1,1,-,18,5,2,-,-,1
S00099178,46,4,8,3,5,5,3,4,2,1,7,3,-,-,-,1
S00099179,54,8,11,4,3,1,3,3,1,1,13,2,1,-,-,3
S00099180,45,8,12,4,7,4,4,-,2,-,3,-,1,-,-,-
S00099181,73,9,18,2,7,6,3,6,5,1,6,8,-,-,-,2
S00099182,48,12,10,10,3,1,-,-,1,-,4,4,-,-,2,1
S00099183,39,12,12,6,3,2,1,-,-,-,2,1,-,-,-,-
S00099184,64,12,9,9,9,4,4,4,3,-,3,6,-,-,-,1
S00099185,48,11,17,10,3,1,1,2,1,-,-,2,-,-,-,-
S00099186,44,7,11,-,4,2,3,3,4,2,3,4,-,-,-,1
S00099187,47,12,13,9,1,1,1,3,-,1,2,2,-,1,-,1
S00099188,71,15,18,4,5,3,1,6,2,-,6,7,1,-,1,2
S00099189,38,8,-,13,4,3,2,2,-,-,4,2,-,-,-,-
S00099190,35,9,3,3,4,7,2,-,3,-,3,1,-,-,-,-
S00099191,28,4,4,3,3,4,1,-,1,1,3,2,1,-,-,1
S00099192,68,14,11,13,6,4,3,3,4,1,6,1,1,-,1,-
S00099193,44,10,19,2,2,-,3,1,-,-,4,2,-,-,-,1
S00099194,36,1,10,1,3,-,1,1,2,1,13,3,-,-,-,-
S00099195,26,8,1,1,3,4,1,2,2,-,2,1,-,-,-,1
S00099196,42,4,21,1,3,1,1,2,2,1,3,2,-,-,-,1
S00099197,56,15,7,3,5,2,1,-,5,-,11,3,1,-,-,3
S00099198,30,2,5,1,1,5,2,-,1,-,8,4,-,-,-,1
S00099199,42,7,12,4,4,1,3,2,2,-,5,1,1,-,-,-
S00099200,37,7,9,3,7,2,2,-,-,-,4,3,-,-,-,-
S00099201,46,9,11,3,5,2,2,1,3,-,8,2,-,-,-,-
S00099202,36,2,8,1,3,2,1,1,4,-,8,3,3,-,-,-
S00099203,37,4,3,-,3,3,5,1,1,-,7,4,3,-,1,2
S00099204,35,-,4,2,4,4,4,1,5,-,7,1,2,-,-,1
S00099205,52,6,7,9,5,3,2,2,2,2,7,5,1,-,-,1
S00099206,44,4,10,4,6,7,3,-,4,-,2,3,-,-,-,1
S00099207,40,3,8,1,9,3,3,-,3,-,4,3,3,-,-,-
S00099208,50,5,5,4,4,4,9,-,4,-,10,3,2,-,-,-
S00099209,74,21,19,8,8,6,2,2,-,1,2,4,-,-,-,1
S00099210,62,8,7,6,10,8,7,2,-,1,6,3,1,-,-,3
S00099211,34,7,4,2,-,4,3,-,3,-,9,-,1,-,-,1
S00099212,39,20,7,-,2,-,-,-,1,-,5,-,-,-,-,4
S00099213,48,6,12,4,6,6,2,2,1,-,4,4,-,-,-,1
S00099214,65,-,13,-,2,4,1,1,9,-,25,3,4,-,-,3
S00099215,37,1,8,1,1,6,-,1,5,-,9,1,-,-,-,4
S00099216,50,9,9,1,1,6,2,2,2,-,16,1,-,-,-,1
S00099217,72,9,16,6,6,5,4,1,2,1,10,8,1,-,1,2
S00099218,62,6,18,2,5,6,1,3,6,-,7,5,1,-,-,2
S00099219,38,5,8,2,5,5,6,1,2,-,-,3,1,-,-,-
S00099220,41,3,4,2,5,4,8,3,4,1,6,1,-,-,-,-
S00099221,41,7,2,8,5,2,6,-,2,-,3,3,-,-,1,2
S00099222,66,3,11,-,5,3,1,2,4,-,29,6,1,-,-,1
S00099223,52,30,7,3,4,2,-,1,2,-,3,-,-,-,-,-
S00099224,45,2,10,3,8,3,3,1,2,1,4,6,1,-,-,1
S00099225,56,10,4,4,10,6,6,2,2,1,3,6,2,-,-,-
S00099226,44,11,4,6,5,-,2,1,2,-,6,5,2,-,-,-
S00099227,76,4,15,1,6,3,2,1,5,2,29,6,2,-,-,-
S00099228,55,5,12,4,4,10,3,-,2,-,9,4,1,-,-,1
S00099229,67,5,8,6,9,12,4,4,2,1,7,5,2,-,-,2
S00099230,66,12,11,2,11,2,7,2,1,1,8,3,5,-,-,1
S00099231,68,3,20,4,9,4,6,1,3,-,6,4,4,-,-,4
S00099232,69,7,7,10,9,8,7,1,1,2,14,1,1,-,-,1
S00099233,39,5,8,3,3,4,3,2,3,-,4,3,-,-,-,1
S00099234,63,5,10,6,6,9,3,6,3,-,8,5,1,-,-,1
S00099235,39,4,8,7,4,1,4,-,2,-,5,3,1,-,-,-
S00099236,52,6,4,5,7,8,6,-,3,-,6,3,-,-,-,4
S00099237,44,3,5,-,4,5,4,3,-,-,10,5,4,-,-,1
S00099238,46,8,3,4,6,7,4,3,-,-,6,2,1,-,-,2
S00099239,48,9,4,1,8,4,4,2,2,2,8,4,-,-,-,-
S00099240,47,4,7,5,9,3,2,2,3,-,9,1,-,-,-,2
S00099241,40,6,5,-,6,4,3,3,2,1,6,1,2,-,-,1
S00099242,63,2,10,2,1,9,4,1,7,-,20,1,4,-,-,2
S00099243,64,10,7,4,10,5,6,2,4,-,11,5,-,-,-,-
S00099244,48,3,13,-,2,5,1,1,1,1,13,7,1,-,-,-
S00099245,39,2,8,1,2,4,-,1,3,1,13,-,3,-,-,1
S00099246,49,1,9,1,-,3,3,2,2,2,16,4,3,-,-,3
S00099247,91,2,29,-,2,5,2,-,9,-,34,4,2,-,-,2
S00099248,40,2,4,-,2,6,3,1,4,-,14,1,3,-,-,-
S00099249,59,6,8,8,5,8,4,-,5,1,7,3,2,-,-,2
S00099250,42,2,11,4,12,-,4,-,3,-,4,-,1,-,-,1
S00099251,41,7,7,-,6,6,4,-,1,-,7,2,-,-,-,1
S00099252,49,6,26,1,2,1,1,1,1,1,6,-,1,-,1,1
S00099253,47,2,17,-,1,1,2,3,4,-,13,3,1,-,-,-
S00099254,72,19,13,10,9,1,2,-,1,1,8,6,1,-,-,1
S00099255,53,14,17,3,7,1,2,-,-,-,5,3,-,-,-,1
S00099256,75,9,7,13,11,4,2,-,6,-,13,6,2,-,1,1
S00099257,60,-,7,-,1,9,2,-,8,-,26,3,1,-,-,3
S00099258,61,2,21,1,-,4,2,2,8,-,18,1,1,-,-,1
S00099259,32,-,3,1,2,4,2,-,3,-,11,4,1,-,-,1
S00099260,56,2,16,1,6,8,3,3,2,-,13,1,1,-,-,-
S00099261,54,1,32,-,2,5,1,3,3,-,5,-,1,-,-,1
S00099262,63,13,9,3,12,5,6,2,3,-,7,3,-,-,-,-
S00099263,51,2,10,1,11,10,4,2,6,-,2,2,-,-,-,1
S00099264,37,2,5,-,3,6,5,5,3,2,2,2,1,-,-,1
S00099265,50,2,6,-,7,15,4,5,8,-,2,-,-,-,-,1
S00099266,38,-,9,1,4,7,3,4,2,-,4,3,1,-,-,-
S00099267,54,4,5,-,9,13,11,4,4,1,2,1,-,-,-,-
S00099268,69,3,11,5,23,4,6,3,3,-,5,3,1,-,-,2
S00099269,81,5,37,4,11,2,4,8,3,3,2,-,-,-,-,2
S00099270,58,5,9,5,12,8,4,4,3,-,4,2,1,-,-,1
S00099271,41,5,6,6,8,2,-,-,2,-,6,3,-,-,1,2
S00099272,68,10,11,12,9,14,4,-,1,1,2,1,1,-,-,2
S00099273,38,7,5,7,5,4,3,2,2,-,2,-,-,-,-,1
S00099274,52,11,4,14,5,2,9,-,-,1,2,1,1,-,-,2
S00099275,40,11,2,8,5,3,3,1,1,-,4,2,-,-,-,-
S00099276,38,6,3,6,7,8,4,-,1,1,1,-,1,-,-,-
S00099277,69,9,4,4,20,12,8,4,1,-,4,-,2,-,-,1
S00099278,49,5,5,5,14,11,2,-,2,-,2,2,-,1,-,-
S00099279,54,16,3,9,9,7,4,-,1,-,2,1,2,-,-,-
S00099280,57,7,5,8,13,10,5,2,-,-,4,2,1,-,-,-
S00099281,65,8,4,8,18,12,5,2,1,-,-,4,3,-,-,-
S00099282,68,15,6,14,16,6,5,1,-,-,2,-,1,-,-,2
S00099283,72,7,4,9,13,12,7,5,1,-,4,6,4,-,-,-
S00099284,65,15,6,14,8,7,6,3,-,1,1,3,-,-,-,1
S00099285,40,23,2,14,-,1,-,-,-,-,-,-,-,-,-,-
S00099286,71,20,10,12,12,7,4,1,-,1,-,1,2,-,-,1
S00099287,69,14,7,15,10,13,3,1,2,-,1,3,-,-,-,-
S00099288,59,45,2,9,2,-,1,-,-,-,-,-,-,-,-,-
S00099289,58,15,11,6,6,10,3,1,-,2,-,1,2,-,-,1
S00099290,46,6,18,4,5,3,1,6,1,-,-,-,1,-,1,-
S00099291,33,10,9,3,4,3,-,-,1,-,2,1,-,-,-,-
S00099292,75,15,23,15,13,3,-,3,-,-,1,1,-,-,1,-
S00099293,43,11,16,3,2,1,1,4,1,-,2,-,1,1,-,-
S00099294,67,33,13,6,8,-,-,-,-,-,4,3,-,-,-,-
S00099295,39,6,19,-,3,-,-,5,-,-,5,-,-,-,-,1
S00099296,54,12,16,3,3,4,1,6,1,-,6,1,-,-,-,1
S00099297,42,12,17,-,4,-,-,5,-,-,2,-,-,-,-,2
S00099298,65,28,14,8,4,-,-,3,-,-,2,4,1,-,1,-
S00099299,52,10,27,3,5,-,-,7,-,-,-,-,-,-,-,-
S00099300,66,21,13,7,5,3,1,6,1,-,-,4,-,-,-,5
S00099301,45,13,12,3,7,6,1,1,-,-,1,1,-,-,-,-
S00099302,58,9,14,5,3,8,1,5,2,-,5,1,2,-,-,3
S00099303,48,26,5,3,4,6,3,-,-,-,-,1,-,-,-,-
S00099304,44,4,22,1,6,1,-,6,-,-,2,1,-,-,-,1
S00099305,56,13,15,2,11,3,-,4,-,-,7,-,-,-,-,1
S00099306,45,5,26,-,3,2,-,3,2,-,3,1,-,-,-,-
S00099307,57,6,32,3,4,3,-,2,4,-,1,1,-,-,-,1
S00099308,48,6,18,1,5,4,-,6,1,-,7,-,-,-,-,-
S00099309,46,6,22,3,3,3,-,3,1,-,3,1,-,-,-,1
S00099310,70,17,26,1,7,1,2,5,2,-,4,2,-,-,1,2
S00099311,48,6,18,2,7,1,2,3,1,-,3,2,1,-,-,2
S00099312,71,8,28,4,11,3,2,7,1,-,2,2,1,-,1,1
S00099313,61,7,4,6,12,17,5,1,2,-,4,1,1,-,-,1
S00099314,48,8,2,10,8,12,1,1,-,-,1,1,3,-,-,1
S00099315,49,3,3,8,16,5,6,3,-,-,3,-,2,-,-,-
S00099316,50,5,8,5,12,11,2,4,-,-,1,-,-,-,1,1
S00099317,50,5,6,7,7,4,5,3,2,1,3,5,1,-,-,1
S00099318,44,7,6,7,7,6,4,3,1,-,1,1,1,-,-,-
S00099319,68,9,26,2,3,2,2,13,1,-,6,3,-,-,-,1
S00099320,66,4,14,9,14,10,3,-,4,-,1,2,1,1,1,2
S00099321,68,9,1,14,12,11,6,-,1,-,5,6,3,-,-,-
S00099322,53,3,3,13,12,11,2,-,3,-,4,1,-,-,1,-
S00099323,55,8,4,11,11,8,4,3,2,-,-,1,-,-,-,3
S00099324,54,8,6,9,8,12,2,2,2,-,2,1,-,-,-,2
S00099325,50,12,9,8,6,5,4,1,-,-,1,2,-,-,-,2
S00099326,44,15,8,3,4,2,2,1,-,1,3,4,-,-,-,1
S00099327,38,12,14,4,1,2,-,1,1,-,1,2,-,-,-,-
S00099328,55,14,17,7,6,1,2,1,2,-,3,2,-,-,-,-
S00099329,68,8,22,2,6,4,4,5,6,1,2,3,2,-,1,2
S00099330,64,12,38,-,3,2,-,2,-,-,3,2,-,-,-,2
S00099331,48,6,29,1,3,-,-,3,-,-,3,1,-,-,-,2
S00099332,43,4,11,2,9,9,-,3,-,-,4,1,-,-,-,-
S00099333,39,4,13,3,7,5,1,2,3,-,-,-,-,-,-,1
S00099334,47,10,8,4,8,7,3,3,-,-,2,-,2,-,-,-
S00099335,43,10,6,5,3,5,1,1,3,-,3,3,1,-,-,2
S00099336,34,4,1,6,10,4,3,-,-,1,2,3,-,-,-,-
S00099337,41,6,6,10,5,3,4,1,-,-,5,1,-,-,-,-
S00099338,57,8,10,11,8,6,3,1,2,-,5,3,-,-,-,-
S00099339,57,8,1,15,9,13,5,-,-,-,3,2,-,-,-,1
S00099340,50,6,3,10,6,12,2,2,1,-,2,3,2,-,-,1
S00099341,49,13,2,8,7,8,4,2,1,-,1,3,-,-,-,-
S00099342,42,9,1,9,7,5,3,1,2,-,1,1,1,-,-,2
S00099343,43,7,5,12,5,4,-,1,4,-,3,1,1,-,-,-
S00099344,46,6,8,5,8,5,3,1,1,1,7,1,-,-,-,-
S00099345,53,8,6,10,11,9,2,-,1,-,4,2,-,-,-,-
S00099346,29,6,3,6,8,2,1,2,-,-,-,-,1,-,-,-
S00099347,53,8,1,13,7,14,2,-,1,-,3,2,1,-,-,1
S00099348,44,6,2,12,5,9,2,-,4,-,1,1,1,-,-,1
