oa_code,All households,One person household: Aged 65 and over,One person household: Aged under 65,One family only: All aged 65 and over,One family only: Married or same-sex civil partnership couple: No children,One family only: Married or same-sex civil partnership couple: With dependent children,One family only: Married or same-sex civil partnership couple: All children non-dependent,One family only: Cohabiting couple: No children,One family only: Cohabiting couple: With dependent children,One family only: Cohabiting couple: All children non-dependent,One family only: Lone parent: With dependent children,One family only: Lone parent: All children non-dependent,Other households: With dependent children,Other households: All full-time students,Other households: All aged 65 and over,Other households: Other
S00089034,34,2,14,2,4,2,-,6,1,-,-,1,1,1,-,-
S00089035,73,4,48,1,2,2,2,4,-,-,3,2,3,2,-,-
S00089036,39,1,22,-,1,2,-,4,1,-,-,2,-,2,-,4
S00089037,54,2,24,-,-,5,-,11,-,-,2,-,-,3,-,7
S00089038,39,-,23,-,-,-,1,7,2,-,-,-,-,2,-,4
S00089039,44,-,20,-,5,2,1,6,2,-,-,-,1,2,-,5
S00089040,39,1,10,-,1,4,3,-,1,1,10,3,3,-,-,2
S00089041,70,2,21,4,9,8,2,9,3,1,2,7,1,-,-,1
S00089042,28,1,5,-,1,4,-,3,1,1,5,3,2,-,-,2
S00089043,59,1,16,-,3,7,2,1,7,1,15,-,3,-,-,3
S00089044,34,1,13,-,3,1,1,-,4,1,5,4,-,-,-,1
S00089045,36,7,5,5,4,4,-,-,3,-,3,4,1,-,-,-
S00089046,43,3,8,7,8,7,3,3,-,1,1,1,-,1,-,-
S00089047,52,3,18,8,5,7,2,3,-,-,-,1,2,1,-,2
S00089048,46,11,6,4,7,5,2,1,1,-,1,6,-,-,-,2
S00089049,53,7,8,2,9,6,10,3,3,1,3,-,1,-,-,-
S00089050,48,4,5,8,6,5,2,1,3,-,6,3,-,-,1,4
S00089051,71,4,23,1,10,6,1,6,-,-,5,1,2,-,1,11
S00089052,70,8,16,4,10,3,12,2,1,-,4,3,2,-,-,5
S00089053,68,1,41,2,5,4,-,4,3,-,3,-,2,-,-,3
S00089054,48,2,27,1,5,2,-,4,-,-,1,-,1,1,-,4
S00089055,57,2,37,-,3,-,1,7,-,-,-,1,1,1,-,4
S00089056,50,2,33,-,-,1,-,9,1,-,-,-,-,-,-,4
S00089057,57,5,32,-,3,1,2,3,-,-,2,2,-,1,-,6
S00089058,70,4,45,1,4,2,1,7,1,-,-,1,-,-,-,4
S00089059,39,-,25,-,4,1,-,5,-,-,-,-,-,-,-,4
