oa_code,All occupied household spaces,No central heating,Gas central heating,Electric (including storage heaters) central heating,Oil central heating,Solid fuel (for example wood coal) central heating,Other central heating,Two or more types of central heating
S00090856,56,3,50,3,0,0,0,0
S00090857,33,0,33,0,0,0,0,0
S00090858,52,3,25,24,0,0,0,0
S00090859,49,1,41,5,0,0,0,2
S00090860,26,0,18,8,0,0,0,0
S00090861,26,0,23,2,0,0,0,1
S00090862,56,0,55,0,0,0,0,1
S00090863,67,1,66,0,0,0,0,0
S00090864,51,1,50,0,0,0,0,0
S00090865,57,2,55,0,0,0,0,0
S00090866,70,0,64,5,0,0,0,1
S00090867,59,0,52,7,0,0,0,0
S00090868,34,0,22,12,0,0,0,0
S00090869,47,0,46,0,0,0,0,1
S00090870,51,0,51,0,0,0,0,0
S00090871,43,0,42,1,0,0,0,0
S00090872,22,0,22,0,0,0,0,0
S00090873,38,0,37,1,0,0,0,0
S00090874,36,0,35,1,0,0,0,0
S00090875,50,3,11,36,0,0,0,0
S00090876,90,1,79,7,0,0,2,1
S00090877,32,1,30,0,0,0,0,1
S00090878,53,2,42,8,0,0,0,1
S00090879,51,2,46,3,0,0,0,0
S00090880,35,2,26,5,1,0,0,1
S00090881,33,0,27,4,0,0,0,2
S00090882,57,0,50,7,0,0,0,0
S00090883,87,1,67,17,0,0,1,1
S00090884,72,0,62,4,4,0,0,2
S00090885,52,2,39,10,0,0,0,1
S00090886,66,0,55,7,2,0,0,2
S00090887,55,3,46,6,0,0,0,0
S00090888,49,0,36,11,1,0,0,1
S00090889,61,1,52,4,3,1,0,0
S00090890,41,0,39,0,1,0,0,1
S00090891,84,0,64,20,0,0,0,0
S00090892,39,0,28,11,0,0,0,0
S00090893,45,1,36,5,0,0,0,3
S00090894,58,0,53,2,1,0,0,2
S00090895,40,0,37,1,0,0,0,2
S00090896,52,0,50,1,0,0,0,1
S00090897,36,2,34,0,0,0,0,0
S00090898,40,1,38,1,0,0,0,0
S00090899,80,1,75,3,0,0,0,1
S00090900,60,0,56,2,0,0,1,1
S00090901,51,7,27,16,0,0,0,1
S00090902,44,6,23,15,0,0,0,0
S00090903,26,0,26,0,0,0,0,0
S00090904,110,1,103,3,0,0,0,3
S00090905,45,0,44,0,0,0,1,0
S00090906,44,1,42,1,0,0,0,0
S00090907,38,2,24,8,4,0,0,0
S00090908,54,3,38,11,0,0,0,2
S00090909,62,0,60,1,0,0,0,1
S00090910,53,0,46,6,0,1,0,0
S00090911,51,0,26,20,0,0,0,5
S00090912,48,0,27,21,0,0,0,0
S00090913,34,1,33,0,0,0,0,0
S00090914,65,1,44,19,0,0,0,1
S00090915,43,0,33,9,0,0,0,1
S00090916,73,0,66,3,2,0,0,2
S00090917,32,1,26,4,0,1,0,0
S00090918,35,0,31,2,0,0,0,2
S00090919,68,1,58,8,0,0,0,1
S00090920,44,1,35,8,0,0,0,0
S00090921,75,2,47,26,0,0,0,0
S00090922,52,0,50,1,0,0,1,0
S00090923,62,0,60,0,0,0,0,2
S00090924,70,0,67,1,0,0,0,2
S00090925,42,0,41,1,0,0,0,0
S00090926,35,0,34,0,0,0,0,1
S00090927,43,0,42,0,0,0,1,0
S00090928,46,0,46,0,0,0,0,0
S00090929,53,0,52,1,0,0,0,0
S00090930,52,0,51,1,0,0,0,0
S00090931,72,0,58,14,0,0,0,0
S00090932,40,0,38,1,0,0,0,1
S00090933,56,0,56,0,0,0,0,0
S00090934,66,0,64,0,0,1,0,1
S00090935,49,0,48,1,0,0,0,0
S00090936,58,0,56,1,0,0,0,1
S00090937,60,0,59,1,0,0,0,0
S00090938,54,1,53,0,0,0,0,0
S00090939,42,1,40,0,0,0,0,1
S00090940,23,0,23,0,0,0,0,0
S00090941,50,0,49,0,0,0,0,1
S00090942,48,0,47,0,0,0,0,1
S00090943,49,0,48,0,0,0,0,1
S00090944,38,0,38,0,0,0,0,0
S00090945,40,0,37,1,2,0,0,0
S00090946,54,0,50,2,0,0,2,0
S00090947,30,0,30,0,0,0,0,0
S00090948,33,0,29,0,4,0,0,0
S00090949,46,0,1,5,33,6,0,1
S00090950,58,3,2,6,41,4,0,2
S00090951,56,1,10,6,29,4,2,4
S00090952,52,2,13,3,24,3,0,7
S00090953,71,1,6,8,44,7,0,5
S00090954,58,1,33,11,10,1,1,1
S00090955,53,7,3,3,32,1,3,4
S00090956,38,2,6,1,23,2,1,3
S00090957,42,2,4,4,27,4,0,1
S00090958,70,4,9,7,41,7,0,2
S00090959,53,0,51,0,2,0,0,0
S00090960,46,4,3,6,26,3,1,3
S00090961,32,4,3,4,15,3,1,2
S00090962,70,1,3,9,43,7,1,6
S00090963,41,2,2,0,32,3,0,2
S00090964,41,0,5,2,27,4,1,2
S00090965,75,0,4,16,48,5,1,1
S00090966,27,3,1,1,17,1,1,3
S00090967,39,2,3,4,28,2,0,0
S00090968,35,4,2,4,21,3,0,1
S00090969,47,2,2,0,34,2,1,6
S00090970,60,1,5,9,37,4,3,1
S00090971,52,1,5,8,28,5,3,2
S00090972,35,0,2,14,17,1,0,1
S00090973,41,0,4,10,20,3,2,2
S00090974,42,3,1,3,28,1,2,4
S00090975,74,1,5,9,50,6,2,1
S00090976,37,1,2,2,24,4,0,4
S00090977,67,4,4,2,48,4,3,2
S00090978,66,5,7,3,42,2,1,6
S00090979,75,2,17,4,47,1,1,3
S00090980,73,4,4,5,42,11,0,7
S00090981,27,2,4,0,20,0,1,0
S00090982,56,3,14,2,27,5,2,3
S00090983,45,1,6,3,29,1,1,4
S00090984,56,0,46,2,5,1,0,2
S00090985,46,2,4,2,37,0,0,1
S00090986,35,0,32,1,0,0,1,1
S00090987,36,1,2,3,23,0,3,4
S00090988,55,0,48,1,4,0,1,1
S00090989,79,4,28,42,3,0,1,1
S00090990,26,1,18,0,5,1,0,1
S00090991,74,0,15,6,43,6,1,3
S00090992,70,4,24,5,33,0,1,3
S00090993,54,4,3,4,39,3,0,1
S00090994,69,5,10,8,37,3,0,6
S00090995,59,2,6,5,36,4,1,5
S00090996,72,0,3,6,51,4,1,7
S00090997,75,4,7,0,53,4,2,5
S00090998,39,5,9,0,18,2,3,2
S00090999,74,0,69,4,0,0,0,1
S00091000,71,0,11,4,45,4,4,3
S00091001,55,0,51,2,1,0,0,1
S00091002,66,1,61,0,2,0,0,2
S00091003,56,0,52,0,3,0,0,1
S00091004,52,0,50,0,0,0,0,2
S00091005,63,0,62,1,0,0,0,0
S00091006,44,0,42,1,0,0,0,1
S00091007,55,0,54,0,0,0,0,1
S00091008,27,0,13,2,12,0,0,0
S00091009,41,0,5,2,30,1,0,3
S00091010,38,1,5,2,23,2,4,1
S00091011,37,3,5,7,16,2,0,4
S00091012,31,0,24,2,5,0,0,0
S00091013,47,0,2,1,36,1,1,6
S00091014,43,1,4,1,28,5,2,2
S00091015,50,2,10,1,30,5,2,0
S00091016,31,5,2,4,18,2,0,0
S00091017,37,2,8,4,19,1,2,1
S00091018,27,1,7,0,17,2,0,0
S00091019,40,3,7,0,25,3,0,2
S00091020,38,1,1,23,13,0,0,0
S00091021,38,0,0,21,15,1,1,0
S00091022,21,1,0,3,14,1,0,2
S00091023,35,0,2,1,30,1,0,1
S00091024,68,3,6,2,46,5,4,2
S00091025,29,0,3,0,23,2,0,1
S00091026,46,4,2,3,29,4,1,3
S00091027,52,1,4,3,34,2,1,7
S00091028,64,2,3,4,45,4,1,5
S00091029,53,3,1,8,32,5,1,3
S00091030,39,3,5,4,22,3,0,2
S00091031,44,0,4,6,28,2,0,4
S00091032,62,0,13,8,35,2,1,3
S00091033,39,0,10,2,24,0,2,1
S00091034,39,1,21,2,11,0,1,3
S00091035,24,0,3,2,17,0,2,0
S00091036,56,2,4,17,23,9,0,1
S00091037,67,6,5,14,35,4,3,0
S00091038,58,4,5,5,32,3,7,2
S00091039,77,1,11,15,43,1,3,3
S00091040,68,4,3,3,46,5,0,7
S00091041,43,0,17,1,24,0,0,1
S00091042,39,0,23,2,9,2,0,3
S00091043,59,2,4,4,41,1,2,5
S00091044,52,2,5,7,28,5,0,5
S00091045,68,1,6,8,44,3,2,4
S00091046,52,2,3,9,33,1,1,3
S00091047,61,2,18,0,34,1,3,3
S00091048,32,0,26,1,0,0,0,5
S00091049,57,1,6,3,35,1,7,4
S00091050,52,2,6,1,38,3,0,2
S00091051,26,0,4,1,15,5,0,1
S00091052,52,2,4,4,35,2,0,5
S00091053,61,6,5,4,33,5,4,4
S00091054,76,2,9,6,50,4,1,4
S00091055,40,0,1,0,38,1,0,0
S00091056,52,0,7,7,31,4,0,3
S00091057,66,0,61,2,2,1,0,0
S00091058,60,0,57,1,2,0,0,0
S00091059,77,4,11,5,44,7,1,5
S00091060,26,0,4,0,20,2,0,0
S00091061,69,1,5,7,48,4,0,4
S00091062,56,3,11,3,31,3,1,4
S00091063,49,0,4,3,38,0,2,2
S00091064,46,3,5,0,31,4,1,2
S00091065,46,3,1,3,35,2,0,2
S00091066,42,0,3,3,26,7,3,0
S00091067,55,1,2,5,38,4,1,4
S00091068,62,4,4,6,39,8,1,0
S00091069,47,3,6,6,27,3,1,1
S00091070,45,2,3,2,32,3,2,1
S00091071,27,1,1,2,19,0,0,4
S00091072,40,2,2,2,28,2,0,4
S00091073,57,0,8,3,32,6,3,5
S00091074,70,3,6,3,42,5,4,7
S00091075,26,0,2,3,18,0,2,1
S00091076,26,1,2,0,22,1,0,0
S00091077,63,5,3,3,38,2,1,11
S00091078,28,1,1,0,23,0,1,2
S00091079,34,1,7,4,15,3,1,3
S00091080,30,1,5,1,23,0,0,0
S00091081,68,1,5,5,45,5,3,4
S00091082,60,4,5,6,34,5,4,2
S00091083,51,2,2,7,34,1,1,4
S00091084,21,1,4,1,12,2,0,1
S00091085,31,2,2,0,18,3,1,5
S00091086,23,0,1,2,18,1,1,0
S00091087,42,0,3,7,25,3,0,4
S00091088,55,2,5,2,39,1,2,4
S00091089,53,1,1,2,37,1,5,6
S00091090,59,0,3,4,43,3,4,2
S00091091,55,0,1,50,3,0,0,1
S00091092,73,1,10,2,47,1,5,7
S00091093,49,1,6,3,33,1,1,4
S00091094,44,2,4,5,29,0,0,4
S00091095,33,0,2,6,17,3,0,5
S00091096,62,2,10,2,34,5,2,7
S00091097,24,2,3,1,14,1,2,1
S00091098,25,2,2,0,17,1,0,3
S00091099,34,2,2,1,22,2,1,4
S00091100,56,0,11,3,34,0,3,5
S00091101,47,1,14,3,22,1,4,2
S00091102,37,0,4,3,23,1,2,4
S00091103,52,0,47,1,2,0,0,2
S00091104,32,0,27,0,0,0,0,5
S00091105,57,4,8,5,30,1,1,8
S00091106,52,4,3,1,34,3,2,5
S00091107,58,1,11,8,27,4,4,3
S00091108,60,1,10,0,39,5,3,2
S00091109,58,3,6,7,33,2,3,4
S00091110,67,9,22,2,25,1,5,3
S00091111,46,0,45,0,1,0,0,0
S00091112,43,0,42,0,0,0,0,1
S00091113,62,0,60,1,0,0,0,1
S00091114,48,0,41,1,3,0,0,3
S00091115,55,3,3,7,33,5,2,2
S00091116,44,3,7,1,30,1,1,1
S00091117,47,2,3,2,36,2,0,2
S00091118,65,8,7,1,39,6,2,2
S00091119,64,3,9,3,38,4,3,4
S00091120,63,2,10,16,32,2,0,1
S00091121,49,1,5,3,37,2,1,0
S00091122,64,0,57,2,2,0,1,2
S00091123,47,0,46,0,0,0,0,1
S00091124,62,0,56,1,1,0,1,3
S00091125,46,3,10,7,21,2,1,2
S00091126,79,0,76,1,0,0,0,2
S00091127,37,0,35,2,0,0,0,0
S00091128,41,0,39,0,2,0,0,0
S00091129,38,0,35,1,2,0,0,0
S00091130,52,3,12,2,31,2,0,2
S00091131,68,3,3,5,48,4,1,4
S00091132,47,1,3,1,34,2,0,6
S00091133,42,1,1,2,28,3,2,5
S00091134,39,3,5,1,25,0,0,5
S00091135,45,1,1,4,36,1,0,2
S00091136,71,4,3,7,44,3,3,7
S00091137,71,0,5,9,45,2,3,7
S00091138,34,0,5,10,16,0,2,1
S00091139,31,5,6,6,10,1,1,2
S00091140,57,0,1,8,39,0,3,6
S00091141,24,2,2,2,14,0,1,3
S00091142,44,1,5,1,31,0,3,3
S00091143,56,3,2,3,39,4,1,4
S00091144,62,1,5,4,43,3,0,6
S00091145,76,5,3,6,52,5,0,5
S00091146,53,4,7,1,30,4,2,5
S00091147,49,5,3,5,29,3,0,4
S00091148,53,0,2,3,41,3,3,1
S00091149,61,2,2,2,50,2,0,3
S00091150,47,0,2,5,35,2,0,3
S00091151,63,0,1,5,44,2,2,9
S00091152,61,0,2,2,57,0,0,0
S00091153,42,1,3,8,28,0,0,2
S00091154,46,1,1,2,31,3,1,7
S00091155,40,1,5,4,27,0,1,2
S00091156,39,3,5,4,25,1,0,1
S00091157,60,1,3,4,43,1,1,7
S00091158,55,3,1,6,40,2,2,1
S00091159,35,0,0,4,28,0,1,2
S00091160,60,2,2,7,37,3,4,5
S00091161,57,2,1,10,39,0,4,1
S00091162,61,4,12,4,37,0,2,2
S00091163,52,2,6,3,35,1,2,3
S00091164,43,2,2,26,13,0,0,0
S00091165,72,2,1,15,43,4,3,4
S00091166,56,2,3,2,35,3,4,7
S00091167,37,2,4,1,25,1,1,3
S00091168,51,2,3,4,35,1,0,6
S00091169,31,3,1,9,9,2,1,6
S00091170,76,5,7,8,38,3,5,10
S00091171,56,1,1,31,19,3,0,1
S00091172,24,0,1,4,17,1,0,1
S00091173,56,0,5,5,41,0,1,4
S00091174,42,1,4,1,25,4,0,7
S00091175,58,0,2,7,40,3,0,6
S00091176,49,2,3,4,35,1,2,2
S00091177,44,2,5,6,25,3,2,1
S00091178,68,0,2,10,49,2,3,2
S00091179,25,1,1,3,16,2,1,1
S00091180,27,1,1,1,21,1,0,2
S00091181,59,4,4,6,31,3,4,7
S00091182,53,5,7,3,30,2,1,5
S00091183,41,0,2,3,28,6,0,2
S00091184,59,0,5,33,15,4,0,2
S00091185,50,2,2,1,35,2,2,6
S00091186,54,1,3,5,35,5,0,5
S00091187,56,4,6,5,27,8,2,4
S00091188,67,1,3,25,29,5,0,4
S00091189,52,1,5,11,24,9,0,2
S00091190,47,4,2,3,31,2,3,2
S00091191,68,5,6,4,44,6,1,2
S00091192,63,2,7,16,29,2,1,6
S00091193,51,1,8,4,24,4,1,9
S00091194,47,2,3,6,25,10,0,1
S00091195,47,4,3,1,29,5,2,3
S00091196,54,0,6,2,32,5,1,8
S00091197,61,4,5,10,39,1,0,2
S00091198,63,0,58,0,5,0,0,0
S00091199,61,2,9,9,32,3,0,6
S00091200,56,0,49,1,3,1,0,2
S00091201,48,3,2,2,29,4,1,7
S00091202,57,3,2,4,38,5,1,4
S00091203,48,1,11,2,22,6,3,3
S00091204,50,4,4,2,27,9,2,2
S00091205,46,2,2,4,25,9,0,4
S00091206,36,1,1,3,21,5,0,5
S00091207,50,1,7,7,23,6,1,5
S00091208,44,2,4,5,26,3,0,4
S00091209,75,3,8,3,53,3,0,5
S00091210,64,7,10,4,29,3,2,9
S00091211,64,3,4,8,43,2,0,4
S00091212,50,0,4,9,32,0,1,4
S00091213,76,0,9,11,40,6,5,5
S00091214,32,2,2,2,21,0,1,4
S00091215,48,2,0,19,21,2,1,3
S00091216,54,0,3,8,34,4,1,4
S00091217,61,1,2,14,37,4,2,1
S00091218,65,2,2,5,47,2,0,7
S00091219,39,2,7,1,22,0,1,6
S00091220,47,1,5,5,34,1,0,1
S00091221,27,1,3,2,16,1,4,0
S00091222,57,0,52,2,1,0,0,2
S00091223,70,4,11,10,39,1,0,5
S00091224,49,5,11,6,21,1,1,4
S00091225,39,3,13,1,16,1,1,4
S00091226,45,3,4,1,33,2,1,1
S00091227,73,3,6,5,49,3,1,6
S00091228,72,4,7,1,50,2,3,5
S00091229,51,1,5,3,40,0,1,1
S00091230,59,0,8,1,41,2,1,6
S00091231,64,1,8,3,43,3,3,3
S00091232,39,0,37,1,0,0,1,0
S00091233,75,0,72,0,2,1,0,0
S00091234,59,0,57,0,2,0,0,0
S00091235,48,0,43,0,4,0,0,1
S00091236,56,0,54,1,0,0,0,1
S00091237,71,0,69,0,1,0,0,1
S00091238,37,1,18,2,12,1,1,2
S00091239,48,0,43,3,1,0,0,1
S00091240,43,0,42,0,1,0,0,0
S00091241,44,2,40,0,1,0,0,1
S00091242,55,0,54,0,1,0,0,0
S00091243,39,0,32,2,5,0,0,0
S00091244,64,1,8,8,44,0,3,0
S00091245,55,0,6,3,39,1,4,2
S00091246,45,2,26,3,8,1,2,3
S00091247,56,5,15,2,32,1,0,1
S00091248,52,0,48,2,0,1,0,1
S00091249,58,0,55,1,0,0,0,2
S00091250,57,0,10,6,36,0,1,4
S00091251,42,0,5,4,27,3,1,2
S00091252,71,0,67,1,1,0,1,1
S00091253,72,1,7,6,47,2,1,8
S00091254,45,2,5,11,20,3,1,3
S00091255,55,0,5,6,41,1,0,2
S00091256,24,0,4,1,18,1,0,0
S00091257,57,3,5,1,39,2,2,5
S00091258,52,0,50,1,0,0,0,1
S00091259,52,1,5,8,34,2,1,1
S00091260,55,0,53,1,1,0,0,0
S00091261,48,0,46,1,0,0,0,1
S00091262,41,0,38,0,2,0,0,1
S00091263,73,0,70,1,0,0,0,2
S00091264,50,0,45,0,0,0,1,4
S00091265,44,1,39,0,1,0,0,3
S00091266,39,0,37,0,2,0,0,0
S00091267,69,0,65,3,0,0,1,0
S00091268,57,0,55,0,1,0,0,1
S00091269,25,1,9,0,13,0,0,2
S00091270,27,2,4,3,12,3,1,2
S00091271,72,3,3,3,52,0,4,7
S00091272,46,1,4,3,34,1,2,1
S00091273,43,0,8,0,31,0,2,2
S00091274,76,1,5,10,56,1,1,2
S00091275,74,1,7,2,56,0,2,6
S00091276,47,0,44,0,1,0,0,2
S00091277,59,0,56,0,1,0,0,2
S00091278,48,0,46,1,0,0,0,1
S00091279,43,0,40,1,1,0,0,1
S00091280,52,2,6,4,32,2,2,4
S00091281,67,0,55,5,3,2,0,2
S00091282,60,0,26,7,20,2,1,4
S00091283,59,1,19,3,24,3,4,5
S00091284,68,1,10,6,44,1,1,5
S00091285,67,2,17,4,40,0,1,3
S00091286,58,1,2,5,40,4,3,3
S00091287,66,3,10,4,43,2,1,3
S00091288,62,0,2,8,48,2,1,1
S00091289,45,5,3,3,25,2,0,7
S00091290,70,3,4,5,47,2,0,9
S00091291,76,2,1,8,53,2,1,9
S00091292,32,3,3,1,18,3,1,3
S00091293,50,4,3,2,34,3,3,1
S00091294,57,2,4,10,36,3,1,1
S00091295,47,3,9,7,22,1,4,1
S00091296,54,3,6,4,29,3,3,6
S00091297,76,3,9,6,53,2,3,0
S00091298,29,0,12,3,13,0,0,1
S00091299,40,1,2,4,27,1,2,3
S00091300,76,7,5,24,34,0,2,4
S00091301,32,3,4,8,15,0,0,2
S00091302,69,6,5,4,42,5,2,5
S00091303,43,2,0,5,31,4,0,1
S00091304,42,4,1,3,23,3,1,7
S00091305,47,0,2,3,33,3,1,5
S00091306,56,3,3,4,31,9,1,5
S00091307,40,0,39,0,1,0,0,0
S00091308,44,0,44,0,0,0,0,0
S00091309,46,2,4,6,21,6,2,5
S00091310,51,1,40,0,8,0,1,1
S00091311,67,1,18,7,30,2,1,8
S00091312,61,0,57,2,1,0,0,1
S00091313,59,0,57,2,0,0,0,0
S00091314,32,0,30,1,0,0,0,1
S00091315,28,1,7,1,14,0,4,1
S00091316,27,2,1,2,15,4,1,2
S00091317,51,4,8,3,32,1,3,0
S00091318,37,3,5,5,19,1,3,1
S00091319,76,1,20,5,40,1,8,1
S00091320,48,3,17,4,23,0,0,1
S00091321,48,0,22,1,20,0,1,4
S00091322,54,0,15,5,28,1,0,5
S00091323,59,0,55,3,0,0,0,1
S00091324,62,0,59,1,1,0,0,1
S00091325,56,0,52,1,2,0,0,1
S00091326,48,1,7,1,34,3,2,0
S00091327,68,4,10,4,38,6,1,5
S00091328,44,2,1,12,27,1,1,0
S00091329,65,1,4,15,40,1,0,4
S00091330,54,6,8,7,28,2,3,0
S00091331,55,3,7,7,34,1,2,1
S00091332,32,0,2,2,23,3,0,2
S00091333,36,2,3,6,17,4,2,2
S00091334,46,6,3,3,28,3,1,2
S00091335,57,2,3,22,23,1,2,4
S00091336,64,2,3,20,29,5,1,4
S00091337,47,2,3,13,26,1,1,1
S00091338,22,1,2,2,13,2,0,2
S00091339,30,5,1,2,20,1,0,1
S00091340,36,2,2,4,21,0,4,3
S00091341,69,0,65,0,3,0,0,1
S00091342,46,3,8,2,24,3,0,6
S00091343,73,1,3,4,56,1,1,7
S00091344,34,1,8,1,22,0,0,2
S00091345,62,3,3,10,38,6,1,1
S00091346,44,1,1,16,24,0,0,2
S00091347,54,0,3,22,21,8,0,0
S00091348,49,0,3,13,28,1,2,2
S00091349,54,3,5,3,36,3,1,3
S00091350,54,2,6,2,37,4,1,2
S00091351,61,4,3,8,30,6,2,8
S00091352,40,1,2,5,27,2,1,2
S00091353,42,2,2,3,22,7,2,4
S00091354,31,2,2,2,19,3,1,2
S00091355,55,0,10,7,33,1,1,3
S00091356,52,0,5,4,35,4,1,3
S00091357,33,5,5,0,19,4,0,0
S00091358,58,2,21,8,23,1,1,2
S00091359,37,5,16,1,14,0,0,1
S00091360,28,0,17,2,3,1,3,2
S00091361,50,1,20,5,18,0,2,4
S00091362,50,0,39,3,8,0,0,0
S00091363,39,0,35,3,1,0,0,0
S00091364,41,3,31,0,6,0,0,1
S00091365,75,0,74,0,1,0,0,0
S00091366,61,1,9,6,43,0,0,2
S00091367,38,3,15,3,12,3,1,1
S00091368,65,4,7,10,29,9,2,4
S00091369,72,1,11,8,42,2,3,5
S00091370,48,0,45,0,2,0,0,1
S00091371,74,5,15,8,42,0,1,3
S00091372,38,0,35,1,2,0,0,0
S00091373,53,0,51,1,1,0,0,0
S00091374,41,1,7,3,23,1,2,4
S00091375,39,1,4,2,25,2,3,2
S00091376,27,0,25,1,0,1,0,0
S00091377,46,0,4,2,26,3,6,5
S00091378,42,2,3,5,17,5,1,9
S00091379,56,0,5,6,40,0,0,5
S00091380,39,2,4,7,18,2,1,5
S00091381,57,1,3,9,37,0,3,4
S00091382,65,2,5,13,40,0,2,3
S00091383,57,1,4,12,32,3,4,1
S00091384,40,2,2,3,25,2,3,3
S00091385,34,3,3,3,23,0,0,2
S00091386,73,4,12,4,41,3,3,6
S00091387,55,0,4,9,30,3,3,6
S00091388,60,1,5,3,48,1,1,1
S00091389,23,1,13,1,7,0,0,1
S00091390,54,1,19,3,24,2,4,1
S00091391,56,1,13,6,30,3,0,3
S00091392,46,1,18,2,19,2,1,3
S00091393,75,1,12,5,47,2,3,5
S00091394,55,3,5,9,27,5,2,4
S00091395,55,0,3,5,43,2,0,2
S00091396,29,1,1,7,13,2,1,4
S00091397,38,1,6,3,25,1,0,2
S00091398,52,1,4,8,31,5,1,2
S00091399,34,3,2,4,19,0,3,3
S00091400,25,1,1,8,12,2,1,0
S00091401,60,0,29,5,21,0,1,4
S00091402,33,0,31,2,0,0,0,0
S00091403,74,0,68,2,1,0,0,3
S00091404,58,0,32,2,1,8,14,1
S00091405,27,0,25,0,2,0,0,0
S00091406,21,6,0,1,11,0,1,2
S00091407,33,2,5,0,19,5,0,2
S00091408,50,5,5,8,27,3,1,1
S00091409,35,3,2,4,18,2,2,4
S00091410,50,2,3,14,28,2,0,1
S00091411,49,0,0,31,17,0,1,0
S00091412,68,1,1,22,31,4,3,6
S00091413,59,0,2,20,35,0,2,0
S00091414,65,5,1,5,44,1,3,6
S00091415,48,2,4,8,29,1,1,3
S00091416,57,0,10,8,28,4,3,4
S00091417,40,4,1,6,23,2,1,3
S00091418,56,7,5,8,24,7,3,2
S00091419,26,0,0,6,13,3,1,3
S00091420,41,0,3,3,30,2,0,3
S00091421,49,0,1,41,3,0,1,3
S00091422,51,0,1,2,47,0,1,0
S00091423,50,1,2,7,31,2,2,5
S00091424,46,0,2,14,27,0,3,0
S00091425,61,5,2,10,38,1,1,4
S00091426,28,2,2,8,13,0,1,2
S00091427,51,1,0,10,32,4,0,4
S00091428,43,2,1,4,27,3,0,6
S00091429,84,4,4,34,28,6,4,4
S00091430,47,3,3,8,26,4,1,2
S00091431,51,0,2,2,44,2,0,1
S00091432,59,3,5,1,39,1,3,7
S00091433,29,2,1,2,19,4,0,1
S00091434,46,6,11,2,21,2,2,2
S00091435,62,1,1,29,21,5,5,0
S00091436,63,4,9,7,38,3,2,0
S00091437,75,3,3,6,50,5,1,7
S00091438,55,0,8,0,22,10,1,14
S00091439,31,1,1,14,10,5,0,0
S00091440,45,1,10,3,19,8,0,4
S00091441,41,2,6,10,16,0,3,4
S00091442,30,1,0,1,17,8,1,2
S00091443,67,3,9,4,32,10,3,6
S00091444,44,0,4,8,29,0,1,2
S00091445,63,4,5,16,28,4,2,4
S00091446,62,2,6,34,19,0,0,1
S00091447,62,1,2,13,39,1,1,5
S00091448,44,0,3,36,3,1,0,1
S00091449,64,1,2,48,9,2,0,2
S00091450,67,1,2,35,24,3,0,2
S00091451,55,1,5,16,23,4,1,5
S00091452,49,3,1,20,19,5,0,1
S00091453,71,3,3,21,35,6,1,2
S00091454,54,1,2,27,16,5,1,2
S00091455,60,2,3,26,22,2,1,4
S00091456,51,1,36,3,9,1,1,0
S00091457,40,1,33,2,1,0,0,3
S00091458,59,0,49,6,2,2,0,0
S00091459,48,0,33,7,4,2,0,2
S00091460,64,1,58,3,0,0,0,2
S00091461,55,1,44,4,6,0,0,0
S00091462,45,1,12,29,2,0,1,0
S00091463,56,0,43,2,6,1,1,3
S00091464,38,3,2,20,4,3,0,6
S00091465,55,0,53,1,1,0,0,0
S00091466,62,0,54,4,2,1,0,1
S00091467,46,2,11,31,2,0,0,0
S00091468,51,1,35,11,0,1,1,2
S00091469,55,2,7,39,3,0,0,4
S00091470,62,2,51,7,0,0,0,2
S00091471,59,1,32,22,1,0,0,3
S00091472,71,1,55,8,3,1,0,3
S00091473,73,0,66,4,1,0,0,2
S00091474,55,1,51,1,0,0,0,2
S00091475,62,0,60,0,1,0,0,1
S00091476,56,0,48,7,1,0,0,0
S00091477,48,0,44,3,0,0,0,1
S00091478,57,2,33,18,1,0,0,3
S00091479,40,0,36,3,0,0,0,1
S00091480,68,1,59,5,0,0,0,3
S00091481,28,0,27,0,1,0,0,0
S00091482,77,1,20,52,1,0,0,3
S00091483,43,0,39,0,2,0,0,2
S00091484,36,0,36,0,0,0,0,0
S00091485,61,0,52,7,1,0,0,1
S00091486,67,3,54,6,1,2,0,1
S00091487,53,0,50,2,0,0,0,1
S00091488,45,0,41,2,1,0,0,1
S00091489,47,0,44,1,1,0,0,1
S00091490,51,1,45,5,0,0,0,0
S00091491,50,2,46,1,1,0,0,0
S00091492,61,0,58,1,1,0,0,1
S00091493,75,0,70,2,2,0,1,0
S00091494,79,0,73,4,1,0,1,0
S00091495,72,0,68,2,1,0,0,1
S00091496,53,1,50,1,1,0,0,0
S00091497,66,0,62,1,0,0,0,3
S00091498,53,1,44,6,2,0,0,0
S00091499,42,0,38,1,0,0,1,2
S00091500,58,0,50,8,0,0,0,0
S00091501,46,0,39,4,1,0,0,2
S00091502,32,1,17,14,0,0,0,0
S00091503,50,2,43,5,0,0,0,0
S00091504,67,0,58,6,1,0,0,2
S00091505,58,3,34,20,0,0,0,1
S00091506,60,2,46,5,5,0,0,2
S00091507,25,0,20,4,0,0,1,0
S00091508,55,0,51,3,0,0,0,1
S00091509,48,0,44,1,0,2,0,1
S00091510,56,0,45,9,2,0,0,0
S00091511,52,3,37,8,2,0,0,2
S00091512,50,0,48,0,0,1,0,1
S00091513,54,1,50,1,0,0,0,2
S00091514,51,0,42,5,1,0,2,1
S00091515,51,1,44,4,1,1,0,0
S00091516,76,1,62,12,0,1,0,0
S00091517,52,1,9,41,1,0,0,0
