oa_code,All occupied household spaces,No central heating,Gas central heating,Electric (including storage heaters) central heating,Oil central heating,Solid fuel (for example wood coal) central heating,Other central heating,Two or more types of central heating
S00089103,52,4,34,12,0,0,0,2
S00089104,42,0,34,7,0,0,0,1
S00089105,64,8,50,6,0,0,0,0
S00089106,51,4,39,4,0,0,1,3
S00089107,43,0,37,5,0,0,0,1
S00089108,46,4,34,4,1,0,2,1
S00089109,32,2,20,9,0,0,0,1
S00089110,60,2,49,7,0,0,0,2
S00089111,63,5,50,4,0,0,0,4
S00089112,91,2,38,48,0,0,0,3
S00089113,47,0,1,46,0,0,0,0
S00089114,50,0,45,1,0,0,0,4
S00089115,72,2,62,6,0,0,0,2
S00089116,68,0,63,1,1,0,0,3
S00089117,67,0,52,13,0,0,1,1
S00089118,61,0,56,4,0,0,0,1
S00089119,42,1,38,3,0,0,0,0
S00089120,31,1,28,2,0,0,0,0
S00089121,66,7,47,8,2,0,0,2
S00089122,38,1,32,3,0,0,0,2
S00089123,56,0,53,2,0,0,0,1
S00089124,39,0,38,0,0,0,0,1
S00089125,64,1,59,0,0,0,0,4
S00089126,43,0,39,2,1,0,0,1
S00089127,41,2,37,1,0,0,0,1
S00089128,39,1,38,0,0,0,0,0
S00089129,71,0,69,2,0,0,0,0
S00089130,43,0,41,1,0,0,0,1
S00089131,40,0,36,3,0,0,0,1
S00089132,41,0,39,1,0,0,0,1
S00089133,41,0,38,3,0,0,0,0
S00089134,61,1,55,2,0,0,0,3
S00089135,73,0,67,2,1,0,1,2
S00089136,52,1,48,2,1,0,0,0
S00089137,46,0,43,1,0,0,0,2
S00089138,47,0,22,25,0,0,0,0
S00089139,37,0,35,1,0,0,0,1
S00089140,45,2,40,2,0,0,0,1
S00089141,49,0,48,0,0,0,0,1
S00089142,53,0,49,3,0,0,0,1
S00089143,41,0,36,5,0,0,0,0
S00089144,44,0,42,1,0,0,1,0
S00089145,52,0,50,2,0,0,0,0
S00089146,43,0,41,2,0,0,0,0
S00089147,47,1,38,6,0,1,0,1
S00089148,44,0,42,2,0,0,0,0
S00089149,40,1,35,3,0,0,0,1
S00089150,69,1,65,1,1,0,0,1
S00089151,37,1,34,1,0,0,0,1
