oa_code,All people aged 16 and over,Single (never married or never registered a same-sex civil partnership),Married,In a registered same-sex civil partnership,Separated (but still legally married or still legally in a same-sex civil partnership),Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Widowed or surviving partner from a same-sex civil partnership
S00098048,103,26,60,-,1,9,7
S00098049,106,43,36,-,1,15,11
S00098050,73,17,26,-,1,6,23
S00098051,134,19,75,-,2,2,36
S00098052,111,37,50,-,3,6,15
S00098053,115,45,48,-,3,9,10
S00098054,95,31,38,-,4,11,11
S00098055,50,17,22,-,3,4,4
S00098056,64,20,14,-,2,16,12
S00098057,91,29,32,-,3,16,11
S00098058,77,15,52,-,1,2,7
S00098059,121,49,50,-,2,11,9
S00098060,84,29,36,-,2,10,7
S00098061,109,33,48,-,3,16,9
S00098062,139,47,70,-,1,11,10
S00098063,114,43,48,2,4,10,7
S00098064,57,18,16,-,3,12,8
S00098065,134,33,80,-,1,9,11
S00098066,112,48,35,-,2,12,15
S00098067,75,16,24,-,2,17,16
S00098068,67,22,28,-,3,12,2
S00098069,114,38,49,-,7,14,6
S00098070,119,44,40,-,8,16,11
S00098071,152,47,83,-,3,15,4
S00098072,62,35,17,2,2,5,1
S00098073,146,69,59,-,1,15,2
S00098074,88,26,43,-,1,12,6
S00098075,97,24,46,2,5,6,14
S00098076,146,33,89,-,1,8,15
S00098077,76,20,40,-,2,9,5
S00098078,81,19,54,-,1,2,5
S00098079,114,22,74,-,1,10,7
S00098080,130,41,73,-,2,8,6
S00098081,131,13,98,-,2,2,16
S00098082,85,31,40,-,2,4,8
S00098083,114,35,50,-,7,9,13
S00098084,76,29,32,-,4,4,7
S00098085,108,10,69,-,2,13,14
S00098086,65,14,39,-,-,4,8
S00098087,52,10,24,-,1,8,9
S00098088,98,28,62,-,2,4,2
S00098089,128,20,84,-,1,9,14
S00098090,115,36,46,-,4,15,14
S00098091,89,29,34,-,2,16,8
S00098092,89,37,36,-,3,8,5
S00098093,82,31,38,-,3,8,2
S00098094,113,26,59,1,3,15,9
S00098095,99,31,47,-,2,13,6
S00098096,140,33,87,-,2,4,14
S00098097,71,24,26,-,2,4,15
S00098098,55,12,36,-,-,3,4
S00098099,115,23,68,-,2,8,14
S00098100,95,20,53,-,2,10,10
S00098101,58,16,31,-,2,7,2
S00098102,48,15,22,-,1,6,4
S00098103,151,31,77,-,1,7,35
S00098104,98,18,62,-,-,7,11
S00098105,90,28,44,-,3,8,7
S00098106,75,32,20,-,2,10,11
S00098107,96,31,43,-,-,13,9
S00098108,137,30,64,-,4,7,32
S00098109,136,25,86,-,2,9,14
S00098110,49,1,33,-,1,3,11
S00098111,103,39,46,-,1,7,10
S00098112,56,3,46,-,1,1,5
S00098113,77,21,26,-,2,15,13
S00098114,138,53,52,-,2,21,10
S00098115,99,33,44,-,1,7,14
S00098116,127,46,62,-,3,5,11
S00098117,113,22,70,-,2,6,13
S00098118,113,32,49,-,4,18,10
S00098119,75,14,30,-,5,7,19
S00098120,104,36,43,-,3,14,8
S00098121,110,31,51,-,2,6,20
S00098122,85,15,54,-,4,4,8
S00098123,114,28,62,-,4,8,12
S00098124,125,20,73,-,-,8,24
S00098125,112,26,57,-,3,15,11
S00098126,102,28,51,-,1,7,15
S00098127,132,42,67,-,1,8,14
S00098128,150,35,64,-,3,12,36
S00098129,102,20,67,-,1,4,10
S00098130,71,14,30,-,2,3,22
S00098131,84,30,34,-,3,7,10
S00098132,87,26,49,-,2,4,6
S00098133,113,26,68,-,3,7,9
S00098134,79,28,40,-,2,4,5
S00098135,93,36,34,-,6,7,10
S00098136,104,24,62,-,1,5,12
S00098137,124,41,61,-,4,8,10
S00098138,116,57,34,-,6,10,9
S00098139,129,23,89,-,4,6,7
S00098140,53,18,25,-,4,3,3
S00098141,78,34,26,-,2,8,8
S00098142,86,33,31,-,6,11,5
S00098143,81,27,36,-,1,11,6
S00098144,81,35,32,-,4,8,2
S00098145,75,27,32,-,-,6,10
S00098146,77,28,46,-,1,-,2
S00098147,93,28,50,-,1,8,6
S00098148,89,25,52,-,3,2,7
S00098149,94,33,39,-,2,10,10
S00098150,75,26,34,-,1,2,12
S00098151,66,13,32,-,2,10,9
S00098152,110,27,67,2,2,5,7
S00098153,86,30,44,-,5,2,5
S00098154,52,10,32,-,-,6,4
S00098155,59,5,30,-,3,13,8
S00098156,51,16,24,-,3,2,6
S00098157,64,25,20,1,1,6,11
S00098158,82,30,33,-,3,6,10
S00098159,98,28,51,-,1,7,11
S00098160,76,34,32,-,1,7,2
S00098161,89,33,40,-,1,4,11
S00098162,103,38,48,-,3,5,9
S00098163,76,36,21,3,-,7,9
S00098164,87,15,57,-,1,8,6
S00098165,86,18,50,-,1,5,12
S00098166,46,18,28,-,-,-,-
S00098167,67,19,35,-,-,7,6
S00098168,84,27,46,-,2,3,6
S00098169,83,15,54,-,1,9,4
S00098170,65,11,38,2,-,6,8
S00098171,97,30,57,-,1,5,4
S00098172,127,40,57,-,8,14,8
S00098173,47,18,12,-,2,9,6
S00098174,80,29,38,-,-,6,7
S00098175,67,30,18,-,2,8,9
S00098176,108,32,56,-,2,8,10
S00098177,98,25,56,-,1,7,9
S00098178,64,11,42,-,2,3,6
S00098179,74,23,39,-,-,9,3
S00098180,137,25,89,-,2,9,12
S00098181,88,19,52,-,-,7,10
S00098182,78,29,26,-,4,12,7
S00098183,85,27,34,-,1,9,14
S00098184,96,19,64,-,-,8,5
S00098185,55,19,25,-,1,2,8
S00098186,87,27,39,-,6,7,8
S00098187,46,19,16,-,3,6,2
S00098188,127,33,59,-,3,15,17
S00098189,119,41,46,-,4,12,16
S00098190,53,14,27,-,-,3,9
S00098191,72,11,46,-,-,7,8
S00098192,87,23,34,-,4,8,18
S00098193,57,21,24,-,1,6,5
S00098194,64,13,38,-,1,7,5
S00098195,96,20,56,4,2,7,7
S00098196,54,10,6,-,1,7,30
S00098197,114,26,70,-,6,6,6
S00098198,78,19,47,-,4,5,3
S00098199,62,18,34,-,-,7,3
S00098200,122,39,67,2,2,9,3
S00098201,118,52,56,1,3,3,3
S00098202,80,13,56,-,4,2,5
S00098203,134,31,89,-,2,7,5
S00098204,71,19,46,2,-,2,2
S00098205,68,14,42,-,1,7,4
S00098206,95,21,64,-,1,8,1
S00098207,77,11,56,-,3,4,3
S00098208,90,31,40,-,2,8,9
S00098209,68,18,38,-,3,5,4
S00098210,109,22,68,-,3,9,7
S00098211,124,25,84,-,-,9,6
S00098212,107,31,65,-,3,5,3
S00098213,98,20,64,2,4,5,3
S00098214,97,29,52,-,3,4,9
S00098215,100,33,44,-,3,12,8
S00098216,111,52,41,-,2,14,2
S00098217,90,33,35,-,3,8,11
S00098218,101,15,73,-,1,6,6
S00098219,74,17,44,-,-,3,10
S00098220,69,22,39,-,1,4,3
S00098221,82,19,54,-,1,5,3
S00098222,134,30,84,-,1,8,11
S00098223,92,23,56,-,4,4,5
S00098224,129,23,58,-,3,14,31
S00098225,61,17,37,-,1,2,4
S00098226,137,36,81,-,1,8,11
S00098227,92,19,53,-,4,8,8
S00098228,86,23,44,1,3,11,4
S00098229,52,7,32,-,1,3,9
S00098230,71,22,33,-,2,10,4
S00098231,54,13,30,-,-,5,6
S00098232,76,16,51,-,2,4,3
S00098233,96,22,54,2,3,8,7
S00098234,89,11,69,-,-,3,6
S00098235,82,12,54,-,1,8,7
S00098236,83,16,52,-,1,9,5
S00098237,84,25,44,-,3,6,6
S00098238,60,12,38,-,-,3,7
S00098239,61,18,30,-,-,6,7
S00098240,95,19,61,2,3,3,7
S00098241,60,16,27,-,2,5,10
S00098242,89,24,25,-,3,20,17
S00098243,82,23,39,2,3,11,4
S00098244,118,31,61,-,3,19,4
S00098245,93,18,49,-,4,8,14
S00098246,103,26,37,-,-,5,35
S00098247,94,27,52,-,-,3,12
S00098248,39,3,29,-,2,1,4
S00098249,55,18,22,-,-,9,6
S00098250,75,17,47,-,-,3,8
S00098251,92,30,47,-,2,4,9
S00098252,100,28,50,-,1,12,9
S00098253,149,31,60,-,1,11,46
S00098254,123,55,47,-,7,11,3
S00098255,76,18,48,-,4,3,3
S00098256,95,13,65,-,1,3,13
S00098257,53,7,32,-,-,2,12
S00098258,66,10,46,-,-,3,7
S00098259,77,22,39,-,3,8,5
S00098260,130,39,74,-,2,10,5
S00098261,139,30,94,-,4,2,9
S00098262,77,12,57,-,1,2,5
S00098263,110,29,64,1,5,6,5
S00098264,111,22,45,-,-,16,28
S00098265,101,38,48,-,3,5,7
S00098266,130,35,71,-,2,12,10
S00098267,72,24,26,-,4,15,3
S00098268,99,12,70,-,1,1,15
S00098269,90,25,35,-,6,10,14
S00098270,140,26,90,-,4,6,14
S00098271,103,30,56,2,-,11,4
S00098272,48,10,30,-,1,1,6
S00098273,158,63,68,-,7,16,4
S00098274,106,20,73,-,1,6,6
S00098275,66,22,37,-,-,5,2
S00098276,131,18,80,-,4,13,16
S00098277,59,10,32,-,2,6,9
S00098278,99,44,34,-,8,9,4
S00098279,99,34,36,-,5,8,16
S00098280,60,44,13,-,1,-,2
S00098281,69,20,29,-,2,3,15
S00098282,57,21,29,-,1,5,1
S00098283,58,34,12,-,3,8,1
S00098284,62,27,24,-,5,4,2
S00098285,56,32,6,-,3,11,4
S00098286,69,38,10,-,4,11,6
S00098287,100,50,24,-,1,20,5
S00098288,97,28,43,-,2,15,9
S00098289,109,56,28,-,8,12,5
S00098290,73,33,20,-,4,13,3
S00098291,74,13,44,-,1,10,6
S00098292,128,30,82,-,1,9,6
S00098293,79,23,42,-,3,3,8
S00098294,84,20,48,-,1,6,9
S00098295,97,27,55,-,5,5,5
S00098296,135,23,91,-,4,5,12
S00098297,105,30,62,2,4,4,3
S00098298,111,24,69,-,1,12,5
S00098299,140,26,86,-,1,19,8
S00098300,116,24,75,-,1,9,7
S00098301,64,18,35,-,1,4,6
S00098302,133,27,70,-,3,17,16
S00098303,110,22,68,1,3,6,10
S00098304,78,24,46,-,1,7,-
S00098305,155,65,80,-,1,5,4
S00098306,95,28,47,-,-,13,7
S00098307,71,20,43,1,1,4,2
S00098308,57,10,34,-,2,4,7
S00098309,132,25,81,-,4,8,14
S00098310,79,17,48,-,2,4,8
S00098311,56,19,31,-,2,2,2
S00098312,104,31,38,4,2,14,15
S00098313,44,3,34,-,1,6,-
S00098314,67,12,40,-,2,6,7
S00098315,108,34,54,-,2,14,4
S00098316,95,17,52,-,6,10,10
S00098317,44,14,20,-,-,2,8
S00098318,58,22,28,-,1,3,4
S00098319,132,26,82,2,3,10,9
S00098320,90,21,50,-,3,8,8
S00098321,71,20,34,-,1,8,8
S00098322,111,25,63,-,-,8,15
S00098323,130,44,60,-,10,9,7
S00098324,61,13,33,-,1,8,6
S00098325,90,26,40,-,1,9,14
S00098326,65,19,23,-,1,8,14
S00098327,98,21,41,-,5,18,13
S00098328,79,21,39,-,2,5,12
S00098329,52,18,24,-,1,6,3
S00098330,86,31,34,-,3,9,9
S00098331,84,30,38,-,1,8,7
S00098332,73,38,8,-,1,20,6
S00098333,56,24,16,-,-,9,7
S00098334,93,28,50,-,2,8,5
S00098335,142,31,90,-,4,4,13
S00098336,51,26,8,-,4,9,4
S00098337,50,27,10,-,3,7,3
S00098338,88,26,48,-,1,8,5
S00098339,95,29,46,-,4,9,7
S00098340,116,23,43,-,3,9,38
S00098341,76,25,32,-,1,12,6
S00098342,124,37,61,-,5,10,11
S00098343,67,14,16,-,6,8,23
S00098344,67,17,45,-,2,2,1
S00098345,69,16,32,-,5,4,12
S00098346,83,22,47,-,-,4,10
S00098347,140,28,63,1,1,12,35
S00098348,57,8,38,-,1,5,5
S00098349,105,22,44,-,-,17,22
S00098350,102,39,38,-,4,9,12
S00098351,136,30,86,-,2,10,8
S00098352,149,34,100,-,1,3,11
S00098353,95,22,43,-,3,12,15
S00098354,71,20,36,-,2,7,6
S00098355,91,18,61,-,-,5,7
S00098356,60,9,38,-,-,5,8
S00098357,67,25,21,-,1,11,9
S00098358,69,29,24,-,3,10,3
S00098359,52,22,17,-,1,11,1
S00098360,116,42,48,-,3,19,4
S00098361,43,18,6,-,4,10,5
S00098362,106,47,43,-,2,11,3
S00098363,119,29,74,-,2,10,4
S00098364,76,17,48,-,-,3,8
S00098365,56,10,8,-,2,15,21
S00098366,84,45,13,-,4,18,4
S00098367,107,35,32,2,6,10,22
S00098368,71,34,15,-,1,13,8
S00098369,86,29,34,-,3,12,8
S00098370,108,44,34,1,2,24,3
S00098371,71,31,22,-,5,8,5
S00098372,100,39,25,-,6,20,10
S00098373,50,6,32,-,1,4,7
S00098374,59,22,23,-,4,5,5
S00098375,83,19,51,-,1,6,6
S00098376,97,46,19,-,4,8,20
S00098377,121,55,45,-,3,11,7
S00098378,152,24,101,-,2,11,14
S00098379,99,57,32,-,1,6,3
S00098380,128,43,56,-,5,21,3
S00098381,145,25,99,-,2,9,10
S00098382,107,24,72,-,1,7,3
S00098383,127,52,51,2,2,12,8
S00098384,108,26,54,-,5,11,12
S00098385,81,13,54,-,3,2,9
S00098386,95,29,47,-,2,13,4
S00098387,84,11,42,-,2,6,23
S00098388,93,25,53,-,2,7,6
S00098389,77,18,47,-,-,4,8
S00098390,124,40,62,-,4,11,7
S00098391,57,19,22,2,4,3,7
S00098392,55,23,21,-,-,6,5
S00098393,101,20,65,-,2,4,10
S00098394,105,32,43,-,2,11,17
S00098395,110,26,52,-,6,7,19
S00098396,97,24,42,-,4,16,11
S00098397,72,21,36,-,2,3,10
S00098398,94,39,37,-,5,8,5
S00098399,58,19,22,-,2,5,10
S00098400,123,29,68,-,5,7,14
S00098401,73,31,10,-,7,19,6
S00098402,109,52,34,-,9,13,1
S00098403,71,36,9,-,4,17,5
S00098404,56,31,10,-,3,10,2
S00098405,88,31,38,-,1,9,9
S00098406,135,32,78,-,3,9,13
S00098407,85,23,46,-,-,10,6
S00098408,100,29,54,1,1,6,9
S00098409,110,17,78,-,5,6,4
S00098410,99,18,74,-,2,2,3
S00098411,59,10,31,-,1,6,11
S00098412,111,41,54,-,1,10,5
S00098413,64,13,42,-,-,3,6
S00098414,115,35,54,-,2,10,14
S00098415,79,23,44,-,2,1,9
S00098416,94,24,54,-,-,9,7
S00098417,106,41,46,-,4,12,3
S00098418,76,27,34,-,1,11,3
S00098419,91,26,48,-,4,10,3
S00098420,104,20,72,2,-,4,6
S00098421,95,28,46,-,2,13,6
S00098422,129,34,62,-,3,17,13
S00098423,88,25,53,-,1,5,4
S00098424,59,20,26,-,3,2,8
S00098425,99,33,40,-,4,14,8
S00098426,73,34,24,-,2,4,9
S00098427,111,37,50,-,2,12,10
S00098428,68,29,22,-,3,8,6
S00098429,63,27,22,-,1,7,6
S00098430,55,7,38,-,1,4,5
S00098431,97,30,39,-,7,8,13
S00098432,83,17,47,-,3,5,11
S00098433,110,19,72,-,4,1,14
S00098434,123,21,87,-,2,3,10
S00098435,61,19,29,-,1,7,5
S00098436,74,22,36,-,3,-,13
S00098437,216,32,108,-,2,9,65
S00098438,95,14,52,-,1,10,18
S00098439,86,83,2,-,-,1,-
S00098440,193,184,5,-,2,2,-
S00098441,161,140,10,-,1,9,1
S00098442,78,70,5,-,1,1,1
S00098443,164,143,14,-,-,2,5
S00098444,126,81,28,-,3,9,5
S00098445,129,62,39,-,-,10,18
S00098446,106,74,22,-,5,4,1
S00098447,159,85,28,-,4,17,25
S00098448,96,65,12,-,5,11,3
S00098449,78,46,15,-,3,12,2
S00098450,145,80,42,-,3,13,7
S00098451,121,112,2,-,5,2,-
S00098452,87,73,5,-,4,5,-
S00098453,104,92,5,-,2,5,-
S00098454,130,105,15,-,-,8,2
S00098455,76,57,12,-,1,4,2
S00098456,72,57,11,-,-,3,1
S00098457,146,108,26,-,2,6,4
S00098458,105,85,13,-,2,5,-
S00098459,104,85,10,-,1,7,1
S00098460,85,70,10,-,-,2,3
S00098461,160,136,21,-,3,-,-
S00098462,99,63,14,-,3,6,13
S00098463,143,139,1,-,1,2,-
S00098464,82,75,5,-,-,1,1
S00098465,58,46,7,-,2,2,1
S00098466,59,44,9,-,4,1,1
S00098467,67,51,6,-,1,8,1
S00098468,85,68,13,-,1,3,-
S00098469,57,48,5,-,1,2,1
S00098470,118,102,8,-,4,3,1
S00098471,50,39,6,-,1,4,-
S00098472,94,64,9,2,2,12,5
S00098473,120,94,13,-,8,5,-
S00098474,154,128,14,-,-,7,5
S00098475,72,40,22,-,1,5,4
S00098476,134,82,31,-,-,8,13
S00098477,73,55,8,-,3,6,1
S00098478,53,35,10,-,5,3,-
S00098479,108,44,20,-,4,8,32
S00098480,191,154,18,-,2,13,4
S00098481,53,38,6,1,3,5,-
S00098482,218,202,10,-,2,4,-
S00098483,82,65,4,-,4,8,1
S00098484,115,69,25,1,6,13,1
S00098485,524,514,8,-,-,2,-
S00098486,55,28,6,-,4,13,4
S00098487,63,37,8,-,5,10,3
S00098488,118,80,13,-,3,16,6
S00098489,109,74,16,-,5,12,2
S00098490,110,25,64,-,5,7,9
S00098491,95,22,55,-,1,5,12
S00098492,64,18,44,-,-,2,-
S00098493,71,14,44,2,2,2,7
S00098494,108,49,42,-,1,11,5
S00098495,120,28,69,-,6,10,7
S00098496,87,29,46,-,-,3,9
S00098497,111,23,77,-,4,1,6
S00098498,52,25,20,-,1,2,4
S00098499,115,41,67,-,-,2,5
S00098500,140,25,92,-,1,6,16
S00098501,131,31,76,-,4,7,13
S00098502,106,18,77,-,2,1,8
S00098503,61,25,29,-,2,3,2
S00098504,124,36,71,-,1,12,4
S00098505,359,283,57,-,3,7,9
S00098506,130,32,81,-,1,3,13
S00098507,92,42,34,-,1,9,6
S00098508,120,32,75,-,2,5,6
S00098509,108,30,68,-,2,2,6
S00098510,59,41,7,-,-,8,3
S00098511,73,58,7,-,1,4,3
S00098512,78,21,36,-,3,10,8
S00098513,50,30,13,-,3,3,1
S00098514,77,43,17,-,2,11,4
S00098515,65,53,5,-,1,5,1
S00098516,59,28,16,2,1,9,3
S00098517,54,19,16,-,3,7,9
S00098518,58,36,18,-,1,-,3
S00098519,81,39,25,-,2,7,8
S00098520,86,22,51,-,-,3,10
S00098521,89,35,21,-,6,9,18
S00098522,114,83,13,2,4,6,6
S00098523,126,91,19,-,3,8,5
S00098524,119,84,21,-,4,8,2
S00098525,98,68,12,-,2,8,8
S00098526,131,77,32,1,-,9,12
S00098527,68,46,13,-,3,5,1
S00098528,51,40,8,-,-,3,-
S00098529,52,36,11,-,-,4,1
S00098530,80,51,25,-,3,1,-
S00098531,68,48,15,-,1,4,-
S00098532,160,119,25,2,1,11,2
S00098533,106,58,34,-,-,8,6
S00098534,108,73,26,-,1,5,3
S00098535,65,27,22,-,1,10,5
S00098536,92,29,39,-,1,9,14
S00098537,108,80,16,-,1,5,6
S00098538,111,69,30,3,-,6,3
S00098539,108,51,44,-,1,9,3
S00098540,105,32,54,-,4,6,9
S00098541,94,48,25,-,3,14,4
S00098542,59,17,36,-,-,2,4
S00098543,111,97,9,-,-,3,2
S00098544,56,5,19,-,1,7,24
S00098545,66,28,24,-,1,10,3
S00098546,91,19,49,-,3,12,8
S00098547,134,29,88,-,3,5,9
S00098548,113,24,64,-,2,8,15
S00098549,165,71,66,-,7,13,8
S00098550,43,11,22,-,2,7,1
S00098551,87,20,57,1,3,5,1
S00098552,147,50,62,-,4,20,11
S00098553,116,54,38,-,4,8,12
S00098554,98,34,48,-,2,6,8
S00098555,78,30,31,-,2,3,12
S00098556,110,44,40,-,4,9,13
S00098557,57,9,20,-,-,9,19
S00098558,84,24,32,-,2,12,14
S00098559,91,25,43,-,-,12,11
S00098560,120,43,57,2,5,7,6
S00098561,114,51,38,-,7,14,4
S00098562,85,16,50,-,3,8,8
S00098563,85,18,51,-,1,3,12
S00098564,100,22,68,-,-,5,5
S00098565,105,24,56,2,3,6,14
S00098566,66,37,11,-,5,6,7
S00098567,108,32,56,-,1,11,8
S00098568,113,31,62,-,3,7,10
S00098569,77,14,48,-,5,6,4
S00098570,86,17,54,-,-,5,10
S00098571,104,24,68,-,3,2,7
S00098572,94,19,66,-,2,2,5
S00098573,75,29,34,-,6,3,3
S00098574,90,35,38,-,3,13,1
S00098575,78,29,30,1,6,2,10
S00098576,81,15,14,-,3,20,29
S00098577,85,38,34,-,2,6,5
S00098578,76,38,4,-,5,12,17
S00098579,101,40,42,-,4,6,9
S00098580,139,59,27,-,2,20,31
S00098581,45,30,11,-,-,4,-
S00098582,71,34,12,-,4,16,5
S00098583,100,62,20,-,2,12,4
S00098584,84,45,19,-,3,14,3
S00098585,72,38,22,-,2,5,5
S00098586,55,30,16,-,2,5,2
S00098587,111,74,16,-,3,9,9
S00098588,71,31,16,-,-,15,9
S00098589,76,15,27,-,3,14,17
S00098590,91,39,31,-,3,5,13
S00098591,71,20,21,-,5,16,9
S00098592,110,46,37,-,2,6,19
S00098593,109,67,17,-,7,8,10
S00098594,88,69,5,-,6,8,-
S00098595,45,34,4,-,1,5,1
S00098596,108,72,23,-,6,5,2
S00098597,62,48,11,-,2,1,-
S00098598,61,46,12,-,-,2,1
S00098599,99,73,19,-,1,5,1
S00098600,89,69,10,-,1,8,1
S00098601,93,81,6,-,1,5,-
S00098602,107,72,21,-,3,8,3
S00098603,108,74,19,-,1,8,6
S00098604,109,69,18,-,8,11,3
S00098605,140,59,55,2,4,18,2
S00098606,68,21,34,-,1,9,3
S00098607,57,40,12,-,3,1,1
S00098608,116,36,68,-,2,7,3
S00098609,121,62,30,2,3,20,4
S00098610,60,23,24,2,3,6,2
S00098611,82,37,26,-,2,11,6
S00098612,81,39,13,-,7,17,5
S00098613,70,19,12,-,5,19,15
S00098614,39,17,11,-,4,6,1
S00098615,127,72,30,-,5,18,2
S00098616,104,57,21,-,4,15,7
S00098617,74,40,9,-,3,15,7
S00098618,58,32,5,-,3,11,7
S00098619,57,30,8,-,7,10,2
S00098620,105,48,28,-,3,13,13
S00098621,101,47,32,-,3,8,11
S00098622,43,25,7,-,4,6,1
S00098623,73,38,12,-,2,15,6
S00098624,82,40,13,-,9,14,6
S00098625,55,20,15,-,7,6,7
S00098626,103,43,31,-,3,18,8
S00098627,108,25,67,-,4,6,6
S00098628,84,24,48,-,3,4,5
S00098629,46,10,14,-,1,5,16
S00098630,76,12,18,-,3,5,38
S00098631,82,53,10,-,3,12,4
S00098632,99,63,12,-,10,13,1
S00098633,109,56,31,-,4,15,3
S00098634,124,47,52,-,5,11,9
S00098635,126,49,56,-,2,9,10
S00098636,117,38,26,2,6,11,34
S00098637,45,13,28,-,1,2,1
S00098638,90,34,38,-,2,8,8
S00098639,93,42,24,-,6,16,5
S00098640,120,53,30,-,6,23,8
S00098641,124,34,48,-,4,15,23
S00098642,106,49,43,-,4,7,3
S00098643,61,10,26,-,2,9,14
S00098644,77,36,20,-,4,10,7
S00098645,75,30,12,-,4,23,6
S00098646,86,47,22,-,3,10,4
S00098647,69,35,14,2,7,9,2
S00098648,72,21,28,-,1,12,10
S00098649,77,24,23,-,2,15,13
S00098650,140,29,96,-,5,5,5
S00098651,120,28,80,2,-,6,4
S00098652,101,23,63,-,4,3,8
S00098653,59,16,36,-,1,3,3
S00098654,127,37,72,-,2,10,6
S00098655,76,17,44,-,3,8,4
S00098656,135,36,80,-,5,7,7
S00098657,77,44,15,-,1,13,4
S00098658,78,34,31,-,1,4,8
S00098659,52,22,11,-,2,15,2
S00098660,57,27,12,-,4,9,5
S00098661,110,58,29,-,6,9,8
S00098662,108,44,36,-,4,11,13
S00098663,94,60,16,-,7,6,5
S00098664,62,33,14,-,3,8,4
S00098665,72,40,20,-,3,6,3
S00098666,63,29,18,-,-,12,4
S00098667,116,49,32,-,3,22,10
S00098668,111,41,35,-,6,13,16
S00098669,78,39,20,-,3,12,4
S00098670,74,26,23,-,3,15,7
S00098671,81,61,6,-,3,8,3
S00098672,87,52,19,-,6,6,4
S00098673,71,41,12,-,4,13,1
S00098674,65,39,14,-,2,6,4
S00098675,72,44,15,1,-,8,4
S00098676,46,16,17,-,4,3,6
S00098677,97,60,21,-,7,8,1
S00098678,102,39,44,-,4,9,6
S00098679,72,32,22,-,2,7,9
S00098680,81,32,28,-,1,9,11
S00098681,79,21,41,-,1,4,12
S00098682,279,146,73,-,8,8,44
S00098683,90,30,30,1,5,13,11
S00098684,107,30,37,-,7,17,16
S00098685,118,40,51,-,3,9,15
S00098686,90,36,28,-,2,13,11
S00098687,56,31,16,-,1,7,1
S00098688,83,38,29,-,3,12,1
S00098689,56,33,12,-,1,6,4
S00098690,72,33,24,-,3,8,4
S00098691,87,50,20,-,2,8,7
S00098692,52,23,10,-,1,13,5
S00098693,113,51,36,-,6,11,9
S00098694,91,40,27,-,1,12,11
S00098695,105,55,29,-,1,16,4
S00098696,109,48,41,-,2,6,12
S00098697,95,54,22,-,6,9,4
S00098698,62,19,29,1,-,4,9
S00098699,86,28,44,-,3,6,5
S00098700,97,47,30,-,5,8,7
S00098701,127,43,52,-,6,13,13
S00098702,98,37,42,-,3,8,8
S00098703,83,33,34,-,3,4,9
S00098704,64,24,24,-,4,8,4
S00098705,61,34,18,-,2,5,2
S00098706,102,48,28,-,7,8,11
S00098707,51,22,8,-,3,11,7
S00098708,121,65,24,-,6,19,7
S00098709,82,44,26,-,3,5,4
S00098710,57,17,27,-,1,5,7
S00098711,95,24,50,-,3,9,9
S00098712,72,36,20,-,5,7,4
S00098713,104,48,27,-,6,18,5
S00098714,127,58,47,4,4,13,1
S00098715,114,63,35,-,3,10,3
S00098716,76,30,28,-,2,11,5
S00098717,43,18,14,-,-,10,1
S00098718,113,49,24,-,10,13,17
S00098719,111,50,35,-,6,9,11
S00098720,62,25,10,-,1,18,8
S00098721,75,19,32,-,2,15,7
S00098722,118,49,24,-,6,26,13
S00098723,48,14,2,-,4,15,13
S00098724,85,33,28,-,2,8,14
S00098725,80,40,23,-,5,8,4
S00098726,100,43,38,-,5,7,7
S00098727,46,16,21,-,2,2,5
S00098728,96,39,41,-,3,7,6
S00098729,115,47,42,-,5,12,9
S00098730,80,26,34,-,2,7,11
S00098731,52,12,24,3,3,6,4
S00098732,75,36,20,-,2,9,8
S00098733,74,17,34,-,4,7,12
S00098734,75,29,33,-,2,7,4
S00098735,75,30,36,-,2,3,4
S00098736,197,57,94,-,4,12,30
S00098737,147,54,66,-,3,14,10
S00098738,95,33,38,-,1,10,13
S00098739,117,72,29,-,1,12,3
S00098740,80,39,22,-,5,14,-
S00098741,58,28,20,-,1,8,1
S00098742,62,40,9,-,4,7,2
S00098743,101,48,31,2,5,9,6
S00098744,60,29,15,-,2,4,10
S00098745,88,11,38,-,2,9,28
S00098746,72,22,26,-,3,7,14
S00098747,61,12,12,-,3,8,26
S00098748,52,4,22,-,3,5,18
S00098749,71,19,24,-,2,11,15
S00098750,65,14,21,-,3,13,14
S00098751,63,22,30,-,2,5,4
S00098752,99,24,58,-,1,4,12
S00098753,75,25,31,2,2,8,7
S00098754,66,18,26,-,3,7,12
S00098755,60,31,18,-,2,4,5
S00098756,83,36,22,-,4,8,13
S00098757,104,54,29,-,1,11,9
S00098758,75,15,24,-,5,13,18
S00098759,109,28,71,-,1,4,5
S00098760,158,49,78,-,2,13,16
S00098761,86,34,40,-,-,6,6
S00098762,125,42,64,2,1,8,8
S00098763,98,24,46,-,2,4,22
S00098764,78,38,31,1,3,5,-
S00098765,69,29,14,-,1,9,16
S00098766,85,41,25,2,2,11,4
S00098767,90,48,20,-,6,13,3
S00098768,73,36,21,-,1,9,6
S00098769,70,49,12,-,1,5,3
S00098770,78,52,9,-,3,13,1
S00098771,60,20,18,-,2,9,11
S00098772,70,19,24,-,3,13,11
S00098773,88,43,20,-,3,10,12
S00098774,95,51,24,-,6,7,7
S00098775,74,35,23,-,5,7,4
S00098776,87,40,22,-,1,13,11
S00098777,58,30,6,-,4,10,8
