oa_code,All people aged 16 and over,Single (never married or never registered a same-sex civil partnership),Married,In a registered same-sex civil partnership,Separated (but still legally married or still legally in a same-sex civil partnership),Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Widowed or surviving partner from a same-sex civil partnership
S00089115,128,50,50,-,7,14,7
S00089116,132,67,42,-,6,13,4
S00089117,95,49,22,-,6,15,3
S00089118,127,33,69,-,2,11,12
S00089119,79,10,50,-,4,7,8
S00089120,70,22,35,-,4,4,5
S00089121,161,52,47,-,1,25,36
S00089122,50,24,13,-,2,4,7
S00089123,116,44,49,-,4,11,8
S00089124,81,33,30,-,2,11,5
S00089125,134,49,62,-,2,9,12
S00089126,86,41,25,-,3,13,4
S00089127,79,21,42,1,-,10,5
S00089128,77,33,22,-,4,14,4
S00089129,163,43,101,-,1,13,5
S00089130,80,30,34,-,3,4,9
S00089131,85,37,32,-,2,5,9
S00089132,76,16,47,-,2,8,3
S00089133,71,12,37,2,3,7,10
S00089134,118,24,68,-,5,11,10
S00089135,128,24,79,2,5,7,11
S00089136,101,28,57,-,2,6,8
S00089137,98,23,67,-,1,4,3
S00089138,55,6,15,-,-,9,25
S00089139,71,26,33,1,1,6,4
S00089140,86,37,28,-,4,10,7
S00089141,104,39,45,-,1,13,6
S00089142,122,50,53,-,3,7,9
S00089143,89,31,50,-,-,4,4
S00089144,81,21,46,-,2,7,5
S00089145,109,40,49,-,1,11,8
S00089146,89,32,38,-,3,6,10
S00089147,74,39,21,-,4,8,2
S00089148,91,31,40,-,3,10,7
S00089149,90,55,22,-,3,6,4
S00089150,119,41,58,-,1,11,8
S00089151,50,20,12,-,3,9,6
S00089152,53,24,10,-,1,15,3
S00089153,59,13,16,-,8,3,19
S00089154,63,33,15,-,-,10,5
S00089155,79,18,48,-,1,7,5
S00089156,116,36,51,-,6,12,11
S00089157,93,29,49,-,1,4,10
S00089158,111,34,56,-,-,6,15
S00089159,80,34,30,-,3,3,10
S00089160,98,29,43,-,4,9,13
S00089161,86,24,46,-,3,9,4
S00089162,62,30,22,-,2,4,4
S00089163,92,33,36,-,5,7,11
S00089164,69,21,31,-,2,4,11
S00089165,92,33,44,-,1,4,10
