oa_zones,All people aged 16 and over: Total,All people aged 16 and over: No qualifications,All people aged 16 and over: Level 1,All people aged 16 and over: Level 2,All people aged 16 and over: Level 3,All people aged 16 and over: Level 4 and above
S00100084,133,40,43,24,13,13
S00100085,118,30,24,21,8,35
S00100086,122,53,27,15,10,17
S00100087,122,56,30,15,11,10
S00100088,101,21,27,24,7,22
S00100089,97,34,19,13,11,20
S00100090,91,45,22,11,6,7
S00100091,78,29,21,8,8,12
S00100092,134,50,39,24,9,12
S00100093,67,26,19,8,9,5
S00100094,111,59,25,11,5,11
S00100095,98,54,28,7,5,4
S00100096,95,42,27,12,9,5
S00100097,77,39,27,2,7,2
S00100098,90,35,31,10,9,5
S00100099,111,60,28,8,9,6
S00100100,74,41,18,9,2,4
S00100101,76,42,15,7,6,6
S00100102,78,35,18,10,6,9
S00100103,54,23,15,8,6,2
S00100104,99,29,26,17,9,18
S00100105,106,52,27,7,7,13
S00100106,122,60,29,11,14,8
S00100107,162,23,32,31,20,56
S00100108,116,22,14,22,12,46
S00100109,146,26,29,26,21,44
S00100110,95,19,17,23,12,24
S00100111,86,26,14,12,13,21
S00100112,119,37,24,9,7,42
S00100113,99,18,12,14,14,41
S00100114,81,18,19,9,5,30
S00100115,83,23,17,13,6,24
S00100116,89,17,10,14,8,40
S00100117,107,19,25,21,14,28
S00100118,84,18,14,20,10,22
S00100119,95,22,17,15,11,30
S00100120,108,34,25,13,11,25
S00100121,97,16,23,19,11,28
S00100122,82,16,9,8,16,33
S00100123,65,12,8,11,11,23
S00100124,107,28,19,23,4,33
S00100125,96,11,11,20,14,40
S00100126,58,15,16,10,8,9
S00100127,49,11,12,12,3,11
S00100128,98,19,11,24,9,35
S00100129,115,24,27,17,10,37
S00100130,77,15,6,14,8,34
S00100131,92,22,13,19,6,32
S00100132,59,14,4,13,8,20
S00100133,47,7,3,14,3,20
S00100134,82,27,11,12,9,23
S00100135,59,12,14,9,5,19
S00100136,75,36,7,6,10,16
S00100137,108,22,14,15,11,46
S00100138,140,26,31,25,8,50
S00100139,106,45,24,11,8,18
S00100140,116,46,28,9,11,22
S00100141,70,17,19,12,12,10
S00100142,83,26,25,11,5,16
S00100143,66,33,16,5,4,8
S00100144,93,41,23,9,9,11
S00100145,88,36,20,12,10,10
S00100146,67,32,17,5,8,5
S00100147,102,36,36,11,12,7
S00100148,56,15,15,6,3,17
S00100149,88,39,19,15,8,7
S00100150,113,59,22,12,5,15
S00100151,127,31,38,18,15,25
S00100152,64,14,14,7,10,19
S00100153,96,34,15,15,13,19
S00100154,74,26,30,7,4,7
S00100155,106,31,22,17,16,20
S00100156,84,14,23,14,12,21
S00100157,63,23,20,6,5,9
S00100158,79,23,13,14,9,20
S00100159,110,41,18,8,13,30
S00100160,99,25,19,16,8,31
S00100161,56,13,8,8,12,15
S00100162,148,58,20,17,13,40
S00100163,158,56,17,11,17,57
S00100164,103,16,16,19,9,43
S00100165,106,20,31,19,11,25
S00100166,66,12,19,15,6,14
S00100167,100,71,14,4,1,10
S00100168,96,54,20,12,2,8
S00100169,92,35,25,8,16,8
S00100170,74,12,16,14,15,17
S00100171,62,36,7,7,4,8
S00100172,53,31,7,5,5,5
S00100173,67,34,14,10,2,7
S00100174,83,54,6,8,8,7
S00100175,50,26,7,6,6,5
S00100176,66,33,20,5,6,2
S00100177,90,7,16,14,13,40
S00100178,84,13,17,20,12,22
S00100179,61,16,10,10,10,15
S00100180,70,14,12,12,12,20
S00100181,64,7,7,14,12,24
S00100182,122,21,16,20,15,50
S00100183,90,11,22,8,13,36
S00100184,96,43,18,15,10,10
S00100185,88,41,18,9,7,13
S00100186,91,47,16,12,8,8
S00100187,89,30,25,12,14,8
S00100188,101,44,27,12,9,9
S00100189,133,58,34,14,12,15
S00100190,73,28,22,7,10,6
S00100191,70,31,23,5,5,6
S00100192,99,38,24,10,16,11
S00100193,108,48,18,9,14,19
S00100194,79,32,18,15,8,6
S00100195,139,59,35,13,16,16
S00100196,122,45,37,14,15,11
S00100197,79,29,25,8,7,10
S00100198,98,40,31,9,7,11
S00100199,88,41,22,8,9,8
S00100200,111,40,25,14,15,17
S00100201,78,35,19,11,8,5
S00100202,93,35,26,12,8,12
S00100203,100,42,30,7,5,16
S00100204,105,32,30,11,16,16
S00100205,89,35,30,8,6,10
S00100206,103,46,26,15,8,8
S00100207,75,33,25,7,5,5
S00100208,87,42,19,13,8,5
S00100209,143,47,42,20,15,19
S00100210,129,63,30,16,10,10
S00100211,127,54,38,12,9,14
S00100212,98,35,32,10,11,10
S00100213,89,40,24,8,8,9
S00100214,90,29,29,13,9,10
S00100215,85,41,18,13,5,8
S00100216,106,32,35,11,11,17
S00100217,87,35,27,10,9,6
S00100218,88,31,29,9,9,10
S00100219,54,20,19,8,3,4
S00100220,88,35,20,13,11,9
S00100221,131,36,41,12,21,21
S00100222,97,52,9,18,5,13
S00100223,120,28,26,13,9,44
S00100224,128,49,30,20,13,16
S00100225,114,40,21,17,9,27
S00100226,100,25,26,13,13,23
S00100227,92,37,21,7,12,15
S00100228,68,18,28,7,6,9
S00100229,126,38,35,24,15,14
S00100230,59,30,22,5,1,1
S00100231,80,45,20,6,3,6
S00100232,57,28,15,7,4,3
S00100233,75,41,21,6,5,2
S00100234,88,36,32,4,9,7
S00100235,84,36,30,9,3,6
S00100236,74,35,20,6,9,4
S00100237,84,29,26,13,11,5
S00100238,96,28,30,22,10,6
S00100239,97,44,32,2,13,6
S00100240,78,43,22,5,5,3
S00100241,108,51,35,4,8,10
S00100242,109,45,27,21,8,8
S00100243,88,49,18,11,6,4
S00100244,73,39,22,5,4,3
S00100245,87,42,18,7,10,10
S00100246,94,37,25,11,14,7
S00100247,74,37,17,10,4,6
S00100248,84,28,26,12,12,6
S00100249,99,56,23,6,6,8
S00100250,94,39,25,12,13,5
S00100251,86,33,25,13,9,6
S00100252,106,47,31,12,10,6
S00100253,90,27,31,15,9,8
S00100254,75,33,18,15,6,3
S00100255,104,48,25,14,5,12
S00100256,55,19,17,6,6,7
S00100257,96,48,26,6,3,13
S00100258,59,23,19,7,5,5
S00100259,111,28,28,11,8,36
S00100260,59,27,16,9,4,3
S00100261,62,25,19,11,4,3
S00100262,132,53,38,16,14,11
S00100263,107,28,19,13,9,38
S00100264,95,28,22,7,19,19
S00100265,60,14,16,11,7,12
S00100266,123,23,40,25,16,19
S00100267,43,17,13,5,5,3
S00100268,100,62,16,7,3,12
S00100269,101,44,36,8,3,10
S00100270,70,28,19,8,6,9
S00100271,88,33,31,7,8,9
S00100272,82,41,17,10,5,9
S00100273,62,18,19,3,8,14
S00100274,94,37,25,12,11,9
S00100275,71,32,20,8,3,8
S00100276,89,25,24,18,11,11
S00100277,48,31,8,0,0,9
S00100278,80,31,17,16,8,8
S00100279,63,30,18,1,6,8
S00100280,64,31,11,7,6,9
S00100281,91,57,11,7,6,10
S00100282,74,26,16,6,8,18
S00100283,107,38,23,13,16,17
S00100284,111,28,24,18,16,25
S00100285,48,19,19,5,1,4
S00100286,67,28,15,7,4,13
S00100287,63,43,10,4,4,2
S00100288,89,33,31,10,7,8
S00100289,76,22,16,11,9,18
S00100290,58,22,21,4,9,2
S00100291,63,11,16,11,8,17
S00100292,70,23,14,10,13,10
S00100293,59,37,11,6,2,3
S00100294,54,21,14,12,3,4
S00100295,131,73,35,10,10,3
S00100296,118,24,47,22,15,10
S00100297,124,66,31,16,4,7
S00100298,117,59,26,12,13,7
S00100299,62,42,12,2,3,3
S00100300,120,42,34,18,15,11
S00100301,105,38,36,8,9,14
S00100302,67,31,13,9,6,8
S00100303,88,42,25,10,6,5
S00100304,120,37,30,17,15,21
S00100305,79,19,22,14,11,13
S00100306,127,12,19,33,18,45
S00100307,114,24,15,23,10,42
S00100308,117,28,20,12,14,43
S00100309,93,16,18,15,7,37
S00100310,91,28,18,13,5,27
S00100311,113,23,14,27,16,33
S00100312,109,21,15,20,11,42
S00100313,131,23,24,31,19,34
S00100314,125,23,14,12,13,63
S00100315,146,26,28,13,9,70
S00100316,92,28,23,13,7,21
S00100317,46,26,7,8,2,3
S00100318,85,30,23,12,11,9
S00100319,76,29,20,10,9,8
S00100320,77,43,18,0,5,11
S00100321,105,34,23,7,12,29
S00100322,122,55,38,13,11,5
S00100323,83,34,27,13,4,5
S00100324,143,62,42,13,12,14
S00100325,96,53,26,8,7,2
S00100326,90,48,22,11,3,6
S00100327,67,33,17,8,5,4
S00100328,90,57,14,3,6,10
S00100329,88,26,38,6,8,10
S00100330,65,30,18,4,11,2
S00100331,103,44,25,17,11,6
S00100332,102,54,25,7,4,12
S00100333,77,17,32,9,13,6
S00100334,122,42,37,16,11,16
S00100335,69,31,21,7,3,7
S00100336,113,42,41,10,11,9
S00100337,46,29,10,3,2,2
S00100338,60,12,13,10,6,19
S00100339,64,27,20,9,4,4
S00100340,94,39,25,14,8,8
S00100341,76,29,21,12,3,11
S00100342,120,22,32,21,17,28
S00100343,82,35,23,8,11,5
S00100344,99,22,19,11,13,34
S00100345,97,17,21,20,16,23
S00100346,92,13,23,14,15,27
S00100347,114,19,24,30,11,30
S00100348,80,13,16,11,14,26
S00100349,93,17,19,14,17,26
S00100350,44,14,5,5,6,14
S00100351,102,35,24,11,4,28
S00100352,86,18,19,14,10,25
S00100353,94,26,22,15,15,16
S00100354,76,33,13,9,9,12
S00100355,89,28,21,12,10,18
S00100356,77,20,20,9,8,20
S00100357,79,29,16,8,12,14
S00100358,131,35,28,28,8,32
S00100359,86,19,21,10,7,29
S00100360,119,20,25,26,16,32
S00100361,65,13,23,10,3,16
S00100362,47,6,9,9,5,18
S00100363,50,29,9,6,2,4
S00100364,69,28,11,7,8,15
S00100365,71,29,20,8,9,5
S00100366,91,37,23,12,11,8
S00100367,79,34,24,11,6,4
S00100368,79,33,24,5,4,13
S00100369,98,35,19,14,13,17
S00100370,96,28,25,13,8,22
S00100371,78,25,28,9,11,5
S00100372,60,27,14,4,9,6
S00100373,83,36,29,8,6,4
S00100374,116,46,34,15,7,14
S00100375,114,48,26,8,16,16
S00100376,81,38,23,4,7,9
S00100377,109,50,26,6,11,16
S00100378,77,30,19,8,8,12
S00100379,85,42,17,12,4,10
S00100380,76,25,24,9,10,8
S00100381,112,44,33,14,9,12
S00100382,97,42,15,18,11,11
S00100383,109,18,37,20,12,22
S00100384,89,29,32,11,13,4
S00100385,120,49,33,16,11,11
S00100386,80,23,29,16,6,6
S00100387,83,28,27,9,10,9
S00100388,90,37,22,10,12,9
S00100389,76,36,17,7,4,12
S00100390,83,41,18,13,6,5
S00100391,109,35,31,14,12,17
S00100392,81,52,10,6,9,4
S00100393,76,29,17,15,7,8
S00100394,104,42,30,19,9,4
S00100395,46,14,11,8,6,7
S00100396,95,21,39,12,11,12
S00100397,52,15,17,8,6,6
S00100398,117,31,41,12,13,20
S00100399,77,12,27,14,14,10
S00100400,105,34,24,13,17,17
S00100401,126,33,37,19,23,14
S00100402,100,27,35,21,9,8
S00100403,88,27,25,17,7,12
S00100404,96,45,20,15,10,6
S00100405,104,41,18,16,13,16
S00100406,97,23,17,9,15,33
S00100407,62,25,13,10,7,7
S00100408,65,22,19,9,7,8
S00100409,146,54,59,9,15,9
S00100410,112,39,34,16,11,12
S00100411,86,39,27,7,7,6
S00100412,91,37,23,10,10,11
S00100413,70,29,17,6,5,13
S00100414,108,35,38,19,10,6
S00100415,79,26,32,4,15,2
S00100416,80,22,34,8,12,4
S00100417,99,54,25,11,2,7
S00100418,138,39,49,21,19,10
S00100419,103,48,24,12,9,10
S00100420,46,23,7,8,5,3
S00100421,114,37,27,15,14,21
S00100422,126,44,38,17,18,9
S00100423,71,18,19,10,10,14
S00100424,58,41,10,2,2,3
S00100425,105,50,21,13,10,11
S00100426,74,42,10,11,4,7
S00100427,107,23,26,22,9,27
S00100428,116,41,27,12,13,23
S00100429,88,45,13,13,6,11
S00100430,52,28,7,7,4,6
S00100431,116,49,32,12,8,15
S00100432,105,53,17,10,6,19
S00100433,50,18,18,5,2,7
S00100434,59,29,11,7,9,3
S00100435,96,40,31,8,5,12
S00100436,65,26,18,10,6,5
S00100437,107,44,28,9,14,12
S00100438,74,26,20,10,7,11
S00100439,77,38,16,9,6,8
S00100440,142,73,22,13,12,22
S00100441,136,40,42,25,9,20
S00100442,119,48,22,10,17,22
S00100443,77,33,18,9,11,6
S00100444,106,34,30,16,17,9
S00100445,86,40,18,8,11,9
S00100446,71,21,20,10,9,11
S00100447,71,39,12,8,3,9
S00100448,99,41,32,11,8,7
S00100449,64,23,22,7,7,5
S00100450,126,42,45,9,16,14
S00100451,72,22,25,9,5,11
S00100452,48,20,12,3,7,6
S00100453,77,37,19,9,7,5
S00100454,59,32,12,3,5,7
S00100455,87,42,25,10,2,8
S00100456,120,37,37,19,14,13
S00100457,79,31,27,6,10,5
S00100458,96,28,36,11,10,11
S00100459,75,22,16,11,7,19
S00100460,96,32,25,13,7,19
S00100461,67,34,17,7,6,3
S00100462,118,45,28,24,8,13
S00100463,112,48,25,15,12,12
S00100464,53,11,13,10,6,13
S00100465,83,39,17,5,13,9
S00100466,86,15,28,11,13,19
S00100467,102,44,21,14,6,17
S00100468,72,50,14,2,2,4
S00100469,115,33,32,16,9,25
S00100470,102,41,19,11,7,24
S00100471,79,14,24,12,10,19
S00100472,60,19,13,9,4,15
S00100473,51,20,16,3,7,5
S00100474,95,30,24,10,14,17
S00100475,116,24,33,17,14,28
S00100476,76,30,22,9,8,7
S00100477,86,31,22,13,9,11
S00100478,123,41,24,19,16,23
S00100479,164,19,51,31,33,30
S00100480,79,17,21,14,12,15
S00100481,144,25,32,29,22,36
S00100482,95,44,20,12,8,11
S00100483,145,20,31,22,30,42
S00100484,114,28,30,18,11,27
S00100485,74,21,16,13,11,13
S00100486,92,46,22,6,11,7
S00100487,82,37,19,12,6,8
S00100488,88,42,16,13,7,10
S00100489,72,31,20,5,8,8
S00100490,60,30,19,3,4,4
S00100491,67,31,17,10,5,4
S00100492,80,38,26,8,7,1
S00100493,73,33,15,8,7,10
S00100494,59,15,17,7,8,12
S00100495,67,23,16,12,7,9
S00100496,74,33,21,7,5,8
S00100497,152,27,28,38,17,42
S00100498,77,15,10,14,17,21
S00100499,75,19,26,15,4,11
S00100500,90,31,20,12,11,16
S00100501,66,18,19,11,7,11
S00100502,106,25,17,25,11,28
S00100503,62,20,20,8,4,10
S00100504,58,28,14,8,3,5
S00100505,57,31,6,9,5,6
S00100506,125,49,26,12,14,24
S00100507,81,30,23,13,3,12
S00100508,86,26,10,10,15,25
S00100509,59,15,14,8,9,13
S00100510,69,11,13,12,4,29
S00100511,81,25,29,12,5,10
S00100512,71,13,26,13,7,12
S00100513,58,26,12,10,1,9
S00100514,82,26,17,12,11,16
S00100515,69,33,12,8,6,10
S00100516,97,27,24,21,9,16
S00100517,94,28,24,10,9,23
S00100518,149,31,47,38,11,22
S00100519,138,60,33,17,14,14
S00100520,71,24,23,9,9,6
S00100521,72,25,17,8,10,12
S00100522,123,50,41,14,8,10
S00100523,67,37,17,3,5,5
S00100524,92,31,27,18,6,10
S00100525,126,34,29,19,10,34
S00100526,124,26,26,21,16,35
S00100527,94,48,17,11,7,11
S00100528,104,47,28,10,12,7
S00100529,106,38,30,16,7,15
S00100530,57,15,8,8,7,19
S00100531,65,25,18,13,3,6
S00100532,87,29,26,17,7,8
S00100533,65,23,22,9,6,5
S00100534,106,42,32,11,12,9
S00100535,123,39,26,17,6,35
S00100536,79,16,22,10,7,24
S00100537,104,36,20,22,12,14
S00100538,148,38,40,29,19,22
S00100539,95,22,26,16,10,21
S00100540,54,14,23,2,6,9
S00100541,81,24,29,8,6,14
S00100542,105,24,27,17,12,25
S00100543,85,41,19,7,5,13
S00100544,74,23,17,12,4,18
S00100545,123,35,36,14,14,24
S00100546,142,30,46,18,18,30
S00100547,97,12,29,19,21,16
S00100548,50,15,11,7,5,12
S00100549,66,42,8,6,4,6
S00100550,140,36,36,21,11,36
S00100551,129,56,19,26,6,22
S00100552,137,46,43,25,11,12
S00100553,81,38,20,8,3,12
S00100554,47,9,15,7,2,14
S00100555,122,35,30,13,8,36
S00100556,57,23,15,7,7,5
S00100557,142,55,22,21,11,33
S00100558,101,38,22,15,12,14
S00100559,48,15,19,4,5,5
S00100560,57,12,14,7,8,16
S00100561,52,11,6,7,11,17
S00100562,137,36,25,28,19,29
S00100563,58,26,14,3,2,13
S00100564,115,39,24,18,11,23
S00100565,132,40,21,20,13,38
S00100566,99,45,27,11,8,8
S00100567,81,37,22,7,10,5
S00100568,79,48,21,3,2,5
S00100569,100,31,31,8,15,15
S00100570,95,44,19,12,10,10
S00100571,87,28,25,10,12,12
S00100572,71,19,20,10,10,12
S00100573,90,22,23,10,11,24
S00100574,73,42,13,4,5,9
S00100575,101,30,22,14,18,17
S00100576,112,54,20,13,8,17
S00100577,105,35,16,10,16,28
S00100578,121,21,32,20,19,29
S00100579,163,33,41,25,22,42
S00100580,104,6,22,24,5,47
S00100581,98,23,16,17,12,30
S00100582,139,44,37,25,3,30
S00100583,88,27,18,15,8,20
S00100584,124,37,20,16,15,36
S00100585,119,32,30,13,9,35
S00100586,88,31,35,5,7,10
S00100587,82,32,22,10,9,9
S00100588,94,36,19,17,14,8
S00100589,100,27,29,13,17,14
S00100590,84,29,27,11,6,11
S00100591,81,42,17,7,6,9
S00100592,87,28,27,7,12,13
S00100593,97,35,35,15,7,5
S00100594,100,44,24,10,9,13
S00100595,107,48,27,8,14,10
S00100596,67,23,18,9,10,7
S00100597,85,39,18,3,12,13
S00100598,85,21,16,15,11,22
S00100599,92,11,33,16,15,17
S00100600,103,17,29,19,11,27
S00100601,105,17,21,24,9,34
S00100602,55,18,12,10,7,8
S00100603,76,21,25,10,7,13
S00100604,70,19,18,12,4,17
S00100605,57,13,15,8,13,8
S00100606,78,18,23,13,10,14
S00100607,74,20,24,12,5,13
S00100608,67,20,3,8,10,26
S00100609,68,6,13,11,4,34
S00100610,119,10,11,22,18,58
S00100611,113,21,14,16,17,45
S00100612,78,19,14,15,7,23
S00100613,59,16,13,12,12,6
S00100614,74,29,10,12,9,14
S00100615,68,13,14,9,9,23
S00100616,84,7,17,13,10,37
S00100617,119,22,22,20,8,47
S00100618,80,14,16,10,9,31
S00100619,89,26,19,20,5,19
S00100620,143,32,30,26,17,38
S00100621,120,24,27,21,13,35
S00100622,107,41,26,12,4,24
S00100623,152,45,37,23,18,29
S00100624,133,17,24,25,12,55
S00100625,100,29,28,15,4,24
S00100626,70,36,12,6,7,9
S00100627,90,30,26,17,6,11
S00100628,83,12,27,15,10,19
S00100629,76,27,20,9,3,17
S00100630,78,15,10,15,9,29
S00100631,113,30,20,13,7,43
S00100632,65,11,3,6,5,40
S00100633,118,62,25,4,8,19
S00100634,101,7,15,17,12,50
S00100635,107,25,12,18,9,43
S00100636,147,18,19,16,16,78
S00100637,89,27,20,14,10,18
S00100638,127,32,26,18,16,35
S00100639,80,20,24,11,10,15
S00100640,98,22,18,15,15,28
S00100641,63,14,12,17,9,11
S00100642,59,28,17,6,4,4
S00100643,95,37,24,7,13,14
S00100644,72,18,11,6,4,33
S00100645,110,33,23,13,7,34
S00100646,98,17,25,24,18,14
S00100647,142,20,25,31,12,54
S00100648,100,9,29,13,21,28
S00100649,66,7,13,10,9,27
S00100650,86,6,23,11,19,27
S00100651,134,21,28,21,20,44
S00100652,102,23,22,19,14,24
S00100653,101,23,25,18,12,23
S00100654,86,20,14,14,10,28
S00100655,120,22,23,17,16,42
S00100656,154,35,39,17,18,45
S00100657,90,26,15,13,11,25
S00100658,87,19,16,20,8,24
S00100659,95,24,23,13,9,26
S00100660,75,5,15,11,9,35
S00100661,73,45,11,8,3,6
S00100662,51,25,14,7,2,3
S00100663,110,21,20,26,14,29
S00100664,163,92,31,14,10,16
S00100665,83,23,24,14,13,9
S00100666,101,43,23,15,10,10
S00100667,72,41,18,4,4,5
S00100668,79,44,13,8,4,10
S00100669,165,52,57,23,9,24
S00100670,43,21,14,3,4,1
S00100671,82,40,30,6,4,2
S00100672,60,21,16,5,9,9
S00100673,74,20,21,15,11,7
S00100674,68,19,16,10,8,15
S00100675,48,14,13,9,7,5
S00100676,49,15,21,3,7,3
S00100677,102,48,18,15,11,10
S00100678,88,26,21,12,13,16
S00100679,104,25,27,19,11,22
S00100680,122,40,19,17,5,41
S00100681,141,57,40,14,20,10
S00100682,104,47,23,12,10,12
S00100683,57,12,6,12,11,16
S00100684,80,19,25,11,8,17
S00100685,89,20,19,11,15,24
S00100686,73,23,16,7,5,22
S00100687,75,6,12,12,10,35
S00100688,135,35,20,20,19,41
S00100689,75,19,16,14,9,17
S00100690,85,48,14,6,5,12
S00100691,47,17,12,10,6,2
S00100692,48,11,11,8,5,13
S00100693,98,31,17,19,6,25
S00100694,71,7,16,11,12,25
S00100695,91,52,25,7,4,3
S00100696,54,18,19,8,5,4
S00100697,46,13,8,11,6,8
S00100698,48,14,9,12,4,9
S00100699,80,19,22,12,10,17
S00100700,113,58,25,15,6,9
S00100701,68,14,11,6,13,24
S00100702,105,29,18,12,14,32
S00100703,98,27,27,19,12,13
S00100704,61,17,13,12,10,9
S00100705,56,9,15,10,8,14
S00100706,75,32,17,11,6,9
S00100707,72,19,26,7,9,11
S00100708,46,8,12,8,9,9
S00100709,86,44,21,6,6,9
S00100710,128,43,27,18,15,25
S00100711,70,17,13,15,6,19
S00100712,43,12,11,4,3,13
S00100713,80,28,26,8,7,11
S00100714,60,25,16,8,3,8
S00100715,61,7,16,7,6,25
S00100716,58,23,18,4,8,5
S00100717,69,21,23,15,3,7
S00100718,78,34,22,9,7,6
S00100719,114,26,25,23,14,26
S00100720,62,20,16,15,5,6
S00100721,101,17,19,14,8,43
S00100722,150,68,40,19,13,10
S00100723,68,19,23,12,4,10
S00100724,44,26,15,1,0,2
S00100725,50,26,10,5,9,0
S00100726,63,24,20,7,7,5
S00100727,98,37,29,10,13,9
S00100728,73,19,14,9,7,24
S00100729,89,23,33,11,10,12
S00100730,68,12,24,15,6,11
S00100731,144,84,19,9,9,23
S00100732,89,28,31,11,8,11
S00100733,71,45,13,4,4,5
S00100734,44,21,7,7,5,4
S00100735,49,26,11,7,2,3
S00100736,95,35,21,20,10,9
S00100737,69,31,19,6,7,6
S00100738,85,39,19,14,6,7
S00100739,127,18,31,19,17,42
S00100740,86,13,20,8,8,37
S00100741,52,17,9,9,2,15
S00100742,52,27,13,3,2,7
S00100743,650,260,204,64,50,72
S00100744,107,55,13,8,10,21
S00100745,109,23,22,19,6,39
S00100746,105,17,31,17,11,29
S00100747,142,40,18,20,16,48
S00100748,115,38,26,16,11,24
S00100749,60,29,17,8,4,2
S00100750,108,48,40,12,4,4
S00100751,160,85,35,18,7,15
S00100752,53,23,9,5,4,12
S00100753,66,30,20,9,4,3
S00100754,93,47,23,11,5,7
S00100755,63,38,12,4,4,5
S00100756,48,37,3,3,4,1
S00100757,91,18,32,14,10,17
S00100758,87,44,22,12,5,4
S00100759,82,26,18,17,6,15
S00100760,71,31,16,11,8,5
S00100761,109,40,20,18,10,21
S00100762,75,32,23,7,8,5
S00100763,56,25,12,7,8,4
S00100764,56,39,7,5,2,3
S00100765,51,24,11,7,5,4
S00100766,94,20,21,9,13,31
S00100767,98,29,20,12,11,26
S00100768,55,9,12,10,6,18
S00100769,146,22,33,25,21,45
S00100770,60,30,11,11,2,6
S00100771,112,42,39,9,12,10
S00100772,123,36,28,17,10,32
S00100773,115,39,21,12,11,32
S00100774,59,24,10,7,7,11
S00100775,122,39,24,22,11,26
S00100776,135,38,20,27,11,39
S00100777,79,20,22,17,6,14
S00100778,104,30,32,13,8,21
S00100779,156,38,33,20,23,42
S00100780,136,22,36,28,13,37
S00100781,49,21,12,3,5,8
S00100782,126,46,37,20,15,8
S00100783,86,45,24,4,4,9
S00100784,66,21,22,5,10,8
S00100785,68,24,15,3,11,15
S00100786,83,27,14,11,5,26
S00100787,103,41,27,6,10,19
S00100788,41,20,7,1,5,8
S00100789,93,24,22,11,10,26
S00100790,62,7,13,9,10,23
S00100791,88,32,26,11,11,8
S00100792,81,8,15,14,14,30
S00100793,105,39,21,16,6,23
S00100794,80,23,23,10,14,10
S00100795,59,14,10,11,10,14
S00100796,67,53,7,2,1,4
S00100797,94,41,14,6,14,19
S00100798,96,9,19,17,12,39
S00100799,73,32,21,10,1,9
S00100800,125,32,27,18,13,35
S00100801,101,18,34,14,15,20
S00100802,101,41,30,11,9,10
S00100803,81,39,19,13,7,3
S00100804,66,24,18,9,9,6
S00100805,89,40,23,13,9,4
S00100806,80,27,31,8,8,6
S00100807,43,18,8,9,5,3
S00100808,86,27,28,12,5,14
S00100809,124,76,26,3,10,9
S00100810,181,46,47,31,17,40
S00100811,132,24,40,25,14,29
S00100812,75,13,18,12,12,20
S00100813,113,14,37,19,7,36
S00100814,103,15,26,21,8,33
S00100815,126,11,28,16,23,48
S00100816,79,11,13,16,15,24
S00100817,182,24,45,38,26,49
S00100818,154,17,35,30,22,50
S00100819,108,16,24,18,11,39
S00100820,99,14,25,18,10,32
S00100821,96,11,16,18,10,41
S00100822,71,6,11,13,8,33
S00100823,158,24,26,20,29,59
S00100824,97,13,11,27,17,29
S00100825,80,12,17,14,14,23
S00100826,59,6,13,14,7,19
S00100827,105,15,15,24,15,36
S00100828,94,42,15,8,10,19
S00100829,112,19,15,16,14,48
S00100830,98,40,30,12,9,7
S00100831,77,27,21,15,9,5
S00100832,55,8,14,11,7,15
S00100833,127,29,31,34,17,16
S00100834,93,29,26,17,14,7
S00100835,67,21,28,6,9,3
S00100836,145,62,40,18,15,10
S00100837,77,35,21,7,6,8
S00100838,102,33,29,13,18,9
S00100839,163,56,48,16,18,25
S00100840,109,22,16,16,10,45
S00100841,96,22,17,15,11,31
S00100842,124,37,22,15,16,34
S00100843,94,23,21,10,7,33
S00100844,114,21,31,21,10,31
S00100845,91,18,14,14,11,34
S00100846,63,26,12,7,7,11
S00100847,119,22,22,19,15,41
S00100848,64,9,13,11,7,24
S00100849,95,30,29,15,10,11
S00100850,147,8,34,45,20,40
S00100851,129,15,25,23,13,53
S00100852,132,18,15,23,20,56
S00100853,101,20,21,13,11,36
S00100854,71,19,20,17,6,9
S00100855,75,37,18,9,9,2
S00100856,77,35,16,6,8,12
S00100857,110,60,33,4,6,7
S00100858,97,25,28,20,10,14
S00100859,61,15,20,5,5,16
S00100860,53,34,7,6,5,1
S00100861,126,29,31,27,20,19
S00100862,84,34,20,13,8,9
S00100863,64,17,15,12,7,13
S00100864,65,9,8,15,11,22
S00100865,97,24,26,18,11,18
S00100866,175,30,36,35,21,53
S00100867,112,22,25,21,12,32
S00100868,102,2,19,17,24,40
S00100869,83,4,21,16,16,26
S00100870,164,11,33,31,21,68
S00100871,133,6,18,22,23,64
S00100872,142,21,37,33,15,36
S00100873,50,2,9,6,5,28
S00100874,70,7,21,12,11,19
S00100875,149,22,21,21,5,80
S00100876,108,16,17,22,6,47
S00100877,137,18,32,31,14,42
S00100878,72,22,9,5,10,26
S00100879,114,10,28,16,20,40
S00100880,126,25,36,16,10,39
S00100881,77,11,20,11,11,24
S00100882,64,19,8,12,7,18
S00100883,148,37,27,18,21,45
S00100884,68,10,12,13,5,28
S00100885,60,17,14,14,5,10
S00100886,64,13,13,14,3,21
S00100887,126,11,20,23,9,63
S00100888,95,13,9,17,9,47
S00100889,103,12,8,9,8,66
S00100890,94,12,11,17,7,47
S00100891,108,9,12,22,8,57
S00100892,105,7,12,18,15,53
S00100893,80,5,12,13,7,43
S00100894,83,8,10,11,8,46
S00100895,122,12,12,17,13,68
S00100896,112,13,22,16,11,50
S00100897,82,9,12,8,6,47
S00100898,108,7,19,21,6,55
S00100899,93,8,11,16,9,49
S00100900,96,9,21,16,8,42
