oa_zones,All people aged 16 and over: Total,All people aged 16 and over: No qualifications,All people aged 16 and over: Level 1,All people aged 16 and over: Level 2,All people aged 16 and over: Level 3,All people aged 16 and over: Level 4 and above
S00089138,55,43,8,0,1,3
S00089139,71,22,22,8,7,12
S00089140,86,26,20,7,11,22
S00089141,104,21,31,19,11,22
S00089142,122,33,42,15,8,24
S00089143,89,23,32,9,6,19
S00089144,81,23,26,10,10,12
S00089145,109,29,41,14,12,13
S00089146,89,21,34,12,7,15
S00089147,74,26,34,1,3,10
S00089148,91,34,24,10,9,14
S00089149,90,29,27,16,5,13
S00089150,119,41,38,6,10,24
S00089151,50,13,18,7,3,9
S00089152,53,25,7,5,5,11
S00089153,59,27,16,3,4,9
S00089154,63,20,22,8,4,9
S00089155,79,39,17,11,3,9
S00089156,116,53,30,11,7,15
S00089157,93,39,17,16,8,13
S00089158,111,33,37,17,11,13
S00089159,80,20,28,9,7,16
S00089160,98,32,34,10,4,18
S00089161,86,34,20,11,6,15
S00089162,62,20,20,6,3,13
S00089163,92,30,29,12,6,15
S00089164,69,27,22,7,5,8
S00089165,92,28,38,10,6,10
S00089166,119,46,29,14,10,20
S00089167,95,28,33,14,9,11
S00089168,64,49,10,0,1,4
S00089169,89,17,44,8,2,18
S00089170,68,26,17,5,6,14
S00089171,65,26,25,3,5,6
S00089172,50,15,23,5,4,3
S00089173,116,45,36,11,10,14
S00089174,126,34,36,16,15,25
S00089175,102,35,27,10,16,14
S00089176,86,21,34,11,10,10
S00089177,105,38,39,6,9,13
S00089178,117,38,29,14,16,20
S00089179,143,58,47,16,3,19
S00089180,121,47,44,13,7,10
S00089181,83,28,24,14,8,9
S00089182,93,23,32,16,5,17
S00089183,81,20,39,13,4,5
S00089184,103,5,11,16,10,61
S00089185,113,7,17,15,12,62
S00089186,90,10,11,9,15,45
S00089187,63,5,7,9,2,40
S00089188,131,20,17,13,15,66
S00089189,127,7,18,15,12,75
S00089190,102,6,10,11,12,63
S00089191,122,12,11,20,8,71
S00089192,98,4,13,9,7,65
S00089193,122,5,11,14,11,81
S00089194,137,22,19,24,15,57
S00089195,107,6,9,22,9,61
S00089196,96,6,13,15,9,53
S00089197,97,7,18,11,6,55
S00089198,78,9,7,11,9,42
S00089199,72,7,10,17,7,31
S00089200,56,5,15,4,5,27
S00089201,81,3,16,13,5,44
S00089202,131,8,17,28,13,65
S00089203,170,24,23,28,11,84
S00089204,110,5,11,12,6,76
S00089205,98,6,16,15,10,51
S00089206,95,6,10,9,8,62
S00089207,78,0,11,8,8,51
S00089208,71,2,7,9,5,48
S00089209,66,2,4,7,6,47
S00089210,74,3,7,16,6,42
S00089211,69,4,9,10,13,33
S00089212,101,2,8,26,17,48
S00089213,63,6,5,15,3,34
S00089214,61,2,9,15,6,29
S00089215,59,4,6,12,8,29
S00089216,93,8,11,13,13,48
S00089217,74,7,13,9,5,40
S00089218,118,12,18,23,15,50
S00089219,77,7,10,11,12,37
S00089220,59,4,3,6,6,40
S00089221,138,13,17,24,6,78
S00089222,82,6,8,7,5,56
S00089223,65,9,10,11,6,29
S00089224,172,46,44,17,12,53
S00089225,55,1,2,5,8,39
S00089226,52,1,12,4,9,26
S00089227,124,9,18,16,17,64
S00089228,73,4,5,9,8,47
S00089229,82,5,9,13,11,44
S00089230,92,14,9,10,6,53
S00089231,82,4,10,11,7,50
S00089232,77,1,9,4,4,59
S00089233,63,2,5,7,4,45
S00089234,78,2,8,7,5,56
S00089235,99,3,13,16,7,60
S00089236,78,5,12,10,5,46
S00089237,96,6,10,11,7,62
S00089238,117,16,20,19,7,55
S00089239,87,8,14,10,7,48
S00089240,144,11,20,24,16,73
S00089241,56,8,10,8,4,26
S00089242,102,7,17,17,7,54
S00089243,100,7,11,17,4,61
S00089244,97,11,18,11,13,44
S00089245,76,8,21,8,7,32
S00089246,77,8,10,8,12,39
S00089247,141,24,22,24,15,56
S00089248,180,20,41,38,19,62
S00089249,83,6,4,8,6,59
S00089250,69,10,9,13,8,29
S00089251,84,5,12,9,6,52
S00089252,87,4,8,10,6,59
S00089253,108,10,13,20,13,52
S00089254,107,12,15,10,10,60
S00089255,101,7,15,10,13,56
S00089256,87,9,13,13,11,41
S00089257,82,3,11,14,8,46
S00089258,88,2,15,14,9,48
S00089259,70,3,17,12,5,33
S00089260,108,8,13,13,15,59
S00089261,131,4,15,17,16,79
S00089262,105,8,16,24,8,49
S00089263,88,12,15,8,10,43
S00089264,127,12,9,18,22,66
S00089265,81,5,19,17,15,25
S00089266,85,5,10,7,7,56
S00089267,79,1,11,19,12,36
S00089268,100,2,10,11,14,63
S00089269,91,5,21,14,5,46
S00089270,114,4,19,23,12,56
S00089271,72,5,7,11,9,40
S00089272,55,1,7,9,8,30
S00089273,94,3,17,12,10,52
S00089274,116,7,20,12,20,57
S00089275,64,36,8,7,1,12
S00089276,57,6,9,5,13,24
S00089277,147,20,36,22,11,58
S00089278,66,47,13,2,0,4
S00089279,53,1,13,5,9,25
S00089280,49,9,13,7,5,15
S00089281,69,2,15,11,7,34
S00089282,48,3,5,4,6,30
S00089283,47,2,6,8,4,27
S00089284,95,28,15,12,7,33
S00089285,121,14,10,15,7,75
S00089286,101,3,17,23,19,39
S00089287,87,32,14,7,14,20
S00089288,133,26,18,8,17,64
S00089289,106,39,38,12,5,12
S00089290,61,24,9,10,5,13
S00089291,80,24,25,12,4,15
S00089292,79,16,27,11,9,16
S00089293,133,28,27,18,17,43
S00089294,127,13,19,20,12,63
S00089295,148,45,43,13,7,40
S00089296,139,42,37,17,16,27
S00089297,74,20,26,6,4,18
S00089298,91,24,15,9,10,33
S00089299,52,25,15,6,0,6
S00089300,85,26,25,13,8,13
S00089301,93,25,22,13,4,29
S00089302,90,27,32,11,9,11
S00089303,153,34,39,23,12,45
S00089304,134,35,34,24,18,23
S00089305,67,30,16,7,3,11
S00089306,128,50,29,19,7,23
S00089307,76,21,19,13,4,19
S00089308,53,12,16,7,4,14
S00089309,125,33,41,16,17,18
S00089310,142,50,33,15,19,25
S00089311,92,34,23,10,7,18
S00089312,138,20,21,25,18,54
S00089313,123,20,21,17,9,56
S00089314,113,4,15,16,8,70
S00089315,92,9,18,17,7,41
S00089316,93,10,16,10,10,47
S00089317,77,10,11,11,6,39
S00089318,90,9,15,17,8,41
S00089319,116,11,19,19,15,52
S00089320,101,11,13,17,12,48
S00089321,70,6,11,7,6,40
S00089322,101,12,29,13,11,36
S00089323,73,10,17,12,10,24
S00089324,82,13,21,9,6,33
S00089325,84,16,11,13,10,34
S00089326,108,14,18,14,6,56
S00089327,95,19,9,21,9,37
S00089328,97,27,13,12,5,40
S00089329,88,8,18,6,4,52
S00089330,121,16,12,12,13,68
S00089331,136,13,18,23,20,62
S00089332,143,14,31,23,18,57
S00089333,139,16,19,21,12,71
S00089334,127,21,15,18,17,56
S00089335,120,19,19,17,16,49
S00089336,80,9,11,12,9,39
S00089337,53,8,17,8,6,14
S00089338,135,15,23,13,14,70
S00089339,130,13,27,17,16,57
S00089340,108,34,14,10,6,44
S00089341,67,10,14,7,8,28
S00089342,75,26,14,4,6,25
S00089343,66,11,9,8,9,29
S00089344,55,12,12,9,4,18
S00089345,89,10,12,11,10,46
S00089346,127,9,11,20,9,78
S00089347,87,3,18,11,10,45
S00089348,88,6,13,14,6,49
S00089349,88,12,18,15,6,37
S00089350,102,8,12,17,12,53
S00089351,131,11,22,15,10,73
S00089352,133,18,23,20,11,61
S00089353,100,16,17,15,12,40
S00089354,72,9,6,8,8,41
S00089355,125,12,19,21,7,66
S00089356,56,12,16,7,8,13
S00089357,100,29,18,19,8,26
S00089358,74,26,16,14,6,12
S00089359,103,37,28,14,5,19
S00089360,102,32,16,19,11,24
S00089361,132,42,35,23,12,20
S00089362,116,48,14,11,5,38
S00089363,54,5,9,6,7,27
S00089364,92,9,9,12,15,47
S00089365,114,3,11,21,17,62
S00089366,97,11,18,18,23,27
S00089367,90,31,25,14,7,13
S00089368,55,7,8,11,7,22
S00089369,105,11,15,16,8,55
S00089370,104,49,13,14,5,23
S00089371,116,25,22,23,17,29
S00089372,58,12,13,5,5,23
S00089373,91,8,10,14,14,45
S00089374,90,33,14,5,7,31
S00089375,121,34,16,18,12,41
S00089376,120,28,24,13,7,48
S00089377,70,7,20,8,9,26
S00089378,85,8,11,15,10,41
S00089379,151,23,23,18,20,67
S00089380,131,8,27,20,14,62
S00089381,95,8,14,9,8,56
S00089382,108,14,13,9,14,58
S00089383,94,6,14,8,9,57
S00089384,87,5,13,13,9,47
S00089385,174,59,20,25,6,64
S00089386,193,33,24,33,12,91
S00089387,140,12,20,17,18,73
S00089388,124,18,17,17,7,65
S00089389,88,5,23,9,8,43
S00089390,74,25,10,12,11,16
S00089391,93,33,19,10,9,22
S00089392,66,21,26,5,4,10
S00089393,70,23,21,4,9,13
S00089394,58,27,16,2,2,11
S00089395,101,40,27,11,3,20
S00089396,71,32,15,5,6,13
S00089397,88,17,22,12,9,28
S00089398,90,18,13,15,6,38
